Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium 2 (Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	15:10:00	15:15:04	15:20:03	15:25:03	15:30:04	15:35:03	15:40:04	15:45:04	15:50:04	15:55:04	16:00:04	16:05:04	16:10:04	16:15:04	16:20:04	16:25:04	16:30:04	16:35:04	16:40:04	16:45:04	16:50:04
Diameter Midpoint
 16.8	1843.75	2065.83	2615.73	4078.96	5332.32	4492.06	5091.63	2424.72	1484.87	2095.38	1211.6	1323.4	551.416	1211.6	992.549	771.983	992.549	992.549	441.133	439.617	661.7
 17.5	644.85	1923.56	2085.18	2763.17	2972.7	2746.6	3992.17	2763.17	1701.22	1895.99	1440.33	617.285	823.046	720.165	823.046	514.404	720.165	1131.69	1131.69	1131.69	823.046
 18.1	1153.29	1592.59	3171.54	2426.29	4018.89	3342.45	3672	2263.96	2498.79	1708.63	1249.39	1633.82	961.073	672.751	672.751	768.858	672.751	864.966	961.073	864.966	768.858
 18.8	1260.21	1350.23	1778.26	2961.17	2939.12	3401.91	3131.87	2821.12	1688.24	1781.64	1170.2	900.151	990.166	990.166	810.136	540.091	1170.2	900.151	540.091	698.078	540.091
 19.5	1435.06	1129.68	2416.59	2765.86	2131.06	3155.65	2609.45	2702.11	1182.63	1266.23	1214.1	538.774	1097.4	506.493	538.774	675.324	1012.99	844.155	928.57	864.826	675.324
 20.2	870.666	1792.74	1632.99	2314.82	3249.79	2585.37	3333.57	2158.75	2316.04	1585.26	1079.37	920.847	475.579	317.052	683.057	710.912	475.579	396.316	871.894	713.368	474.351
 20.9	739.052	1109.86	2073.59	2299.36	2596.85	2819.07	3008.9	2490.74	1705.26	936.24	663.627	888.927	1113.02	292.468	665.077	444.396	890.296	1114.9	291.948	889.428	708.527
 21.7	979.233	1669.82	1532.05	2528.62	1533.22	2004.34	2132.54	1910.42	971.524	1081.51	1187.25	907.593	425.066	695.989	499.249	557.368	557.319	556.312	627.493	554.077	233.949
 22.5	841.544	1170.05	1204.11	2040.8	2517.94	2282.22	1917.66	1445.68	1015.45	940.022	711.48	582.372	316.046	853.982	1165.95	786.742	824.774	517.268	760.354	650.007	454.867
 23.3	1050.31	1739.4	1336.17	1815.05	1630.96	2029.87	2805.26	1650.72	1191.76	1320.46	427.894	300.601	552.348	680.281	307.993	550.658	266.723	736.459	760.354	740.143	500.339
 24.1	964.727	1145.69	1887.78	1582.66	1720.58	2439.63	1991.89	1630.72	1154.8	926.946	399.564	818.355	554.108	521.756	379.521	229.423	579.754	576.497	612.1	439.674	634.314
 25.0	618.332	597.442	1094.57	1661.09	1914.08	2075.61	1778.56	1854.5	933.208	1044.94	712.359	480.058	621.141	325.909	462.531	602.443	600.889	715.968	461.03	681.145	326.847
 25.9	782.663	1252.01	1526.6	1257.53	1739.99	1676.92	1838.07	1346.93	933.167	835.561	701.368	545.106	681.903	784.356	518.812	360.703	98.476	432.925	700.501	631.865	519.548
 26.9	780.113	862.386	1013.88	1666.1	1812.36	1725.13	1790.98	1383.39	680.243	638.923	510.257	522.388	850.341	487.966	492.601	191.57	633.511	275.112	318.606	382.584	545.18
 27.9	571.121	999.465	1079.31	1179.32	1217.27	1911.01	1825.33	977.31	1082.62	609.478	904.027	318.918	277.185	93.472	280.586	374.869	287.281	329.267	178.946	627.368	568
 28.9	617.352	479.04	981.703	1263.36	1042.48	1597.7	1284.97	1077.01	703.096	675.646	487.509	266.901	399.136	439.121	308.138	260.282	622.249	492.667	305.904	304.528	304.034
 30.0	550.121	597.004	1062.18	1662.27	851.214	1632.13	1199.15	762.696	740.301	659.563	531.485	399.308	358.463	423.53	421.848	379.327	295.788	215.968	462.894	361.437	381.121
 31.1	740.897	1000.6	808.992	851.599	1244.68	1502.71	1295.1	1056.28	738.902	603.578	409.642	333.804	245.695	395.971	487.272	277.287	283.202	352.44	280.692	495.647	488.959
 32.2	403.91	856.053	1287.98	1154.41	1034.1	1259.24	1065.12	1129.01	773.954	499.982	734.233	586.116	343.264	104.242	270.498	188.251	384.799	542.867	302.169	478.195	339.811
 33.4	324.67	427.427	1111.53	915.557	1174.22	1085.77	1139.04	962.43	625.377	403.574	363.651	517.357	360.314	177.252	141.36	448.311	251.859	479.888	439.546	291.622	220.094
 34.6	232.171	802.831	691.187	1089.61	1373.87	1233.52	1112.78	869.881	706.15	419.874	455.74	454.565	282.968	217.851	246.654	206.988	239.893	394.91	312.701	166.677	102.545
 35.9	666.938	552.905	629.594	1161.83	854.178	1021.39	860.38	637.621	452.297	406.345	402.592	468.487	540.903	322.79	198.206	335.976	404.031	228.088	294.304	370.644	266.573
 37.2	307.956	512.673	916.807	698.878	792.44	1214.52	1087.01	910.839	573.701	310.39	188.895	110.303	152.132	223.534	322.958	316.796	258.063	385.834	204.357	26.4857	288.467
 38.5	388.561	575.925	699.669	662.054	882.123	883.032	1171.34	770.871	778.181	465.682	337.478	327.169	114.46	501.575	339.081	311.412	243.807	215.349	434.726	243.468	240.856
 40.0	283.227	617.835	605.839	574.366	714.757	931.79	1176.2	714.381	526.801	472.137	288.366	419.462	230.559	142.523	116.097	268.878	262.431	86.6761	330.362	147.4	296.334
 41.4	517.108	651.3	701.149	627.476	1077.14	765.534	833.015	678.719	414.934	386.402	318.512	259.41	242.819	314.567	259.348	227.82	374.085	165.241	319.771	256.397	168.874
 42.9	193.406	680.296	607.41	654.4	872.671	706.05	772.715	558.565	431.489	328.095	249.135	243.607	277.168	135.422	215.704	187.446	140.191	213.068	276.589	230.016	161.499
 44.5	467.733	724.451	553.409	687.04	965.267	868.221	928.653	545.335	448.53	339.408	446.174	309.148	431.056	378.665	178.421	263.34	103.355	214.828	155.287	189.56	101.955
 46.1	260	536.576	475.899	671.407	828.823	926.292	815.446	529.849	371.823	313.556	303.662	87.9302	246.364	313.983	116.696	213.75	220.296	229.576	302.316	58.8345	282.372
 47.8	278.707	497.9	527.728	497.264	697.877	920.933	763.717	370.117	260.449	196.019	467.283	294.064	331.764	221.487	196.368	115.374	223.175	196.119	254.236	169.528	195.969
 49.6	373.554	675.522	471.734	667.677	779.251	720.317	694.433	618.638	431.031	272.523	139.753	232.127	262.069	185.629	114.668	241.622	252.959	185.599	205.9	269.547	89.893
 51.4	397.048	538.105	517.199	817.58	636.342	724.398	799.591	464.059	437.924	245.142	231.621	255.638	95.0447	226.347	160.678	184.583	211.459	110.655	349.326	209.243	174.499
 53.3	509.457	386.339	325.066	515.581	780.845	910.721	645.909	363.79	467.596	284.671	168.324	317.653	242.537	155.616	150.198	180.227	135.445	254.649	96.6806	60.0042	170.09
 55.2	349.909	441.886	428.513	607.374	542.004	597.11	636.526	327.875	274.684	216.215	185.604	431.967	172.775	152.331	210.215	142.848	144.553	150.289	72.1047	217.852	216.632
 57.3	348.196	355.118	586.502	553.565	673.648	723.43	723.114	391.292	395.811	272.243	251.839	158.208	229.744	144.013	120.75	75.5591	236.468	58.5071	117.889	82.4539	206.035
 59.4	236.294	357.92	444.487	612.586	928.882	720.682	587.498	304.118	372.345	261.655	310.688	125.297	196.108	183.651	53.9312	133.181	145.544	121.467	69.7035	117.65	91.0252
 61.5	380.698	519.631	347.547	527.072	563.867	761.861	605.782	353.683	374.2	265.225	194.916	119.614	213.594	86.9403	178.055	168.87	153.008	224.16	116.113	163.133	155.845
 63.8	297.389	274.066	414.574	402.293	511.248	637.072	809.563	554.274	244.71	267.33	388.952	256.66	190.471	107.378	137.995	137.719	266.067	141.429	139.013	146.941	76.0239
 66.1	366.363	354.072	483.14	420.824	458.061	636.32	409.073	511.297	224.087	294.147	109.188	230.026	155.94	80.5538	199.554	269.366	181.586	88.6342	81.7598	270.283	118.02
 68.5	331.316	282.539	208.952	316.291	451.074	707.634	711.021	462.614	282.669	326.95	278.466	146.84	201.728	85.0392	142.471	188.275	121.648	61.933	213.983	146.343	143.837
 71.0	266.553	251.007	310.139	452.229	606.074	640.353	382.928	244.883	450.211	367.873	184.275	168.866	49.656	135.801	57.4548	70.8024	171.756	150.454	141.081	71.2812	63.7422
 73.7	244.575	247.419	523.305	488.083	439.542	392.156	527.455	156.605	231.689	153.18	16.4616	96.8783	60.6967	139.535	136.647	105.14	168.458	125.985	72.7403	57.5325	123.8
 76.4	253.833	297.483	382.329	547.572	369.211	340.591	306.894	317.046	213.858	234.333	183.402	188.857	78.2584	160.225	46.0075	80.8025	57.4687	157.278	206.517	117.64	217.109
 79.1	175.827	346.996	331.446	347.425	294.751	402.081	329.4	316.111	140.018	161.256	162.3	71.8359	126.923	31.1482	185.898	77.8158	56.9724	225.661	148.604	67.0955	114.404
 82.0	320.795	222.395	328.2	506.464	379.529	594.577	289.034	313.757	347.854	84.2553	125.067	54.6317	71.0535	98.3886	93.2022	182.198	127.782	1.11403	152.462	76.4928	108.578
 85.1	288.994	267.771	314.9	367.587	315.861	434.736	360.724	232.78	166.764	182.306	180.247	208.545	161.176	96.4497	147.366	59.7126	98.8852	97.1884	105.406	83.526	151.542
 88.2	177.411	264.387	461.412	558.779	484.109	547.263	382.308	351.651	193.586	191.443	100.821	180.011	154.027	114.912	49.1782	171.332	36.6428	57.0456	126.953	99.3334	112.942
 91.4	148.143	230.906	344.543	387.896	283.694	605.028	552.257	350.916	177.649	49.891	130.569	194.355	134.831	112.582	110.327	143.796	184.812	100.233	61.2478	36.5581	93.4508
 94.7	235.944	381.952	395.629	316.853	500.244	371.041	327.408	286.676	167.133	148.718	194.968	62.9563	105.847	107.032	193.796	190.201	119.158	153.15	40.315	154.966	32.11
 98.2	234.131	293.31	365.912	389.951	486.683	316.834	324.251	337.13	243.216	194.585	186.817	70.677	29.3639	104.185	131.836	71.0043	131.307	179.002	132.016	68.9794	165.776
101.8	221.936	141.208	409.025	380.883	439.066	313.379	310.081	282.159	201.454	183.716	111.859	40.5414	114.623	97.8219	38.9878	66.794	96.7013	104.621	146.844	149.684	78.1383
