Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low 2(Candle).S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17	03/26/17
Start Time	11:18:30	11:23:33	11:28:33	11:33:33	11:38:34	11:43:33	11:48:34	11:53:34	11:58:34	12:03:34	12:08:34	12:13:34	12:18:34	12:23:34	12:28:34	12:33:34	12:38:34	12:43:34	12:48:34	12:53:34	12:58:34	13:03:34
Diameter Midpoint
 16.3	11437.8	9776.42	9893.35	10987.6	8707.81	9290.4	10662.9	8149.26	5898.36	6489.5	5218	2458.67	2068.79	2371.08	1187.17	1390.06	1152.95	1659.75	948.431	1120.36	798.916	474.216
 16.8	8841.26	9835.33	7440.16	8897.33	7771.01	7570.57	7868.84	9482.84	6724.25	3968.68	4189.25	2615.73	2536.51	2837.82	2093.87	1213.12	742.434	2205.67	110.283	441.133	1101.32	882.266
 17.5	8636.72	10664.8	10005.3	9948.56	7580.34	8809.34	7763.96	8157.11	4556.28	4923.67	3027.68	3834.15	2601.55	1673.66	1528.6	1234.57	747.731	720.165	823.046	0	514.404	205.762
 18.1	6637.39	7443.8	8716.8	8724.17	8079	8393.53	7337.73	7018.14	5066.1	3887.83	3813.02	1952.03	2471.21	2220.43	1839.69	682.713	961.073	864.966	864.966	961.073	864.966	384.429
 18.8	8286.61	7511.23	8560.04	8264.57	8534.61	7033.16	7430.55	7175.06	5380.7	4090.66	3569.23	3122.54	2160.36	1700.96	990.166	890.82	1350.23	900.151	630.106	810.136	540.091	518.047
 19.5	7925.08	9298.95	6767.3	6101.04	7776.92	6533.09	7052.01	5140.19	4368.84	3630.68	2078.92	2323.93	1772.72	1181.82	759.739	538.774	960.851	759.739	590.908	675.324	337.662	442.749
 20.2	7197.59	5712.69	7789.72	7821.26	6881.77	5928.15	6712.8	6188.27	4079.7	3265.97	2580.46	3126.09	1821.82	1425.51	1425.51	1079.37	1157.41	475.579	792.631	634.105	317.052	396.316
 20.9	9166.56	6828.34	5698.26	5789.2	6761.26	7385.91	6335.22	4595.26	2738.2	3245.26	2635.83	1404.8	1821.13	928.745	957.939	739.672	812.984	514.556	443.811	519.98	296.457	222.494
 21.7	6856.14	5788.92	5623.3	5229.56	6123.92	6517.27	5976.72	4745.11	4341.66	3165.96	2909.55	2103.89	1850.22	1214.54	1052.84	489.054	555.425	415.294	496.627	138.023	354.394	348.07
 22.5	5615.74	5401.04	5184.8	5115.33	5013.55	4777.23	5312	3631.6	2925.32	3156.28	2270.59	1679.71	967.597	761.014	1500.26	453.616	890.596	390.366	448.399	388.333	426.627	194.87
 23.3	5284.21	5786.73	4439.09	4613.49	4839.96	4881.01	5076.73	4681.68	3872.22	3306.08	2153.93	1415.96	1723.11	1695.71	431.694	870.419	453.183	243.589	555.121	57.7996	578.946	369.365
 24.1	5061.9	4782.92	5183.75	4552.57	4363.26	4402.74	4930.96	3958.14	3058.68	2124.83	1662.51	1274.76	1566.81	1182.94	778.014	624.408	517.327	53.0602	230.889	319.388	172.428	262.493
 25.0	5172.02	5090.3	4482.41	5744.69	5260.84	4009.19	4451.97	4308.8	2338.77	1906.23	1971.94	1967.9	1311.46	893.908	1062.2	659.103	823.353	383.078	383.264	295.375	54.7065	130.282
 25.9	4609.3	5255.85	3865.86	4483.36	3995.93	4521.45	4331.09	4421.39	2232.75	2096.54	2049.15	1774.4	897.145	636.658	403.675	835.417	731.926	412.263	313.725	279.867	329.492	262.123
 26.9	3848.57	4913.06	4776.49	4200.65	3514.85	4106.26	3696.37	3530.33	3146.5	2215.85	1428.83	1073.66	912.57	868.809	737.347	794.662	540.984	493.82	195.48	375.414	349.26	249.095
 27.9	4254.55	9785.35	4042.73	3165.77	4508.6	4523.66	3713.56	3259.55	2465.43	1799.32	1514.85	1318.11	1398.42	1168.97	410.868	424.44	1081.97	611.686	421.765	183.322	207.332	141.623
 28.9	3941.27	4210.85	3675.87	3125.91	3990.5	3505.27	3354.06	2610.08	2421.95	1695.81	1726.6	930.968	1011.22	467.087	768.298	709.09	483.225	442.814	312.844	313.461	312.991	130.372
 30.0	4028.95	3508.56	3934.83	2605.55	3033.75	3529.02	3150.14	2643.84	2112.75	1591.22	1410.19	1008.55	771.192	633.216	902.945	415.997	594.42	534.262	248.958	124.102	121.868	79.9811
 31.1	3526.19	3380.44	4076.41	3307.27	3448.91	3239.62	2916.84	2331.5	1672.89	1474.28	983.311	1154.53	899.321	643.297	505.253	150.087	398.898	380.713	160.369	155.651	283.418	197.238
 32.2	3203.56	3509.1	3426.05	3252.5	3348.43	3200.97	2875.95	2343.68	1882.57	1779.78	1112.66	1011.61	728.247	256.255	390.213	419.672	383.418	264.15	305.742	387.153	148.405	150.157
 33.4	3443.32	2710.83	3317.07	3576.93	3529.95	3431	2879.5	2535.15	2168.72	1331.04	1100.23	1074.07	883.459	668.464	552.065	366.963	252.856	256.445	218.49	219.972	180.986	182.825
 34.6	2299.42	2516.21	2813.38	2950.68	3309.94	2910.8	2946.7	2164.49	1712.87	1614.65	1568.45	662.697	1019.79	641.498	426.91	561.536	421.513	247.612	141.194	321.132	143.384	247.404
 35.9	2519.92	2863.99	3104.23	3153.9	2735.82	2739.33	2433.27	1865.95	1625.15	1165.89	1084.15	929.58	514.667	738.398	663.9	287.437	402.766	233.831	236.978	229.29	36.2097	172.418
 37.2	2791.52	2699.54	2603.49	2755.76	2408.37	2937.35	2141.5	1911.32	1679.25	1264.72	1089.86	702.335	745.841	640.77	670.199	326.183	229.266	353.393	88.924	182.974	288.256	63.0577
 38.5	2223.61	2415.01	2127.92	2101.21	2621.7	2175.91	2492.03	1969.96	1956.4	1277.47	1128.61	634.256	703.355	492.278	525.929	299.797	390.471	280.865	180.329	211.588	280.452	62.553
 40.0	2394.22	2834.52	2968.86	1946.63	2592.22	2701.15	2304.48	2238.05	1665.61	1184.96	968.725	700.663	913.236	683.771	626.5	324.9	290.856	293.593	174.707	207.873	172.952	149.527
 41.4	1884.38	2747.56	2091.58	2132.5	2690.87	2230.54	2076.55	2142.48	1542.63	1212.16	715.304	587.332	765.814	437.84	442.431	240.817	458.773	190.217	110.189	110.222	113.738	44.6889
 42.9	2283.84	2505.71	2275.61	2458.64	2421.56	1870.21	2256.24	1750.76	1545.02	1139.18	747.099	570.698	802.91	387.11	301.964	359.011	181.077	220.275	253.467	109.655	192.233	141.549
 44.5	2267.15	2324.74	1908.88	2291.7	2386.26	1888.76	1916.72	1924.01	1134.36	1364.79	903.005	798.248	310.759	553.527	141.121	336.074	316.365	125.371	78.3644	214.54	99.8365	211.001
 46.1	1567.91	1837.09	2361.11	1883.09	2402.68	1818.89	1949.88	1882.23	1058.9	1153.12	677.129	514.963	642.446	405.537	48.6967	328.62	227.572	254.373	231.619	180.838	208.17	148.495
 47.8	1272.54	3025.79	1823.95	1839.53	1832	1682.78	2195.67	1503.28	1156.4	733.494	723.502	417.931	460.952	268.474	261.106	265.958	225.619	174.622	166.77	133.159	174.633	122.98
