Sample File	D:\OlinCollege\All_data\OlinCollege\HEPAir X\Cool2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	14:04:00	14:09:04	14:14:04	14:19:04	14:24:04	14:29:04	14:34:04	14:39:04	14:44:04	14:49:04	14:54:04	14:59:04	15:04:04	15:09:04	15:14:04	15:19:04	15:24:04	15:29:04	15:34:04	15:39:04	15:44:04	15:49:04
Diameter Midpoint
 18.1	2906.83	3579.58	19943.4	27656.8	36638.6	47961.7	58842.5	79817.1	35811.1	15244.4	7080.67	2457.56	692.676	288.322	768.858	96.1073	96.1073	192.215	192.215	0	96.1073	0
 18.8	3457.17	4109.32	12511.4	22095.9	28209.1	32544.4	49173.6	56062.6	23197.3	10791.8	5257.47	2160.36	701.459	630.106	180.03	90.0151	90.0151	0	0	90.0151	0	0
 19.5	2248.57	3260.74	12716.1	17566.5	20430.1	25778	33114.6	42133.7	16607.3	8294.2	3619.07	1194.24	844.155	0	253.246	0	84.4155	84.4155	116.696	168.831	0	0
 20.2	2444.26	3930.39	9809.59	12286.6	21782.8	19507.2	25254.7	29418.9	14335.8	5963.38	2901.2	1256.54	634.105	79.2631	395.088	79.2631	79.2631	79.2631	126.988	79.2631	158.526	236.561
 20.9	2404.39	3637.03	8260.19	10211.8	14539.5	15054.2	16883.3	20940.1	11446.3	5582.64	2087.11	891.394	221.288	296.935	73.9684	148.481	0	0	0.598453	73.9744	0	74.186
 21.7	2276.77	4326.87	5667.9	8068.64	9760.36	9940.72	14019.4	14449.6	7412.82	3240.9	1765.85	700.245	140.352	210.612	0	140.415	279.586	0	0	69.5749	0	68.9323
 22.5	3067.45	3760.64	4296.38	4825.81	6765.75	6693.09	8894.21	10738.7	5271.02	1863.92	1497.86	722.899	328.545	196.859	131.665	0	129.629	63.7939	65.8104	65.1496	65.1675	63.7768
 23.3	2504.26	4192.42	5084.33	5203.12	5482.6	4954.39	6371.22	8129.3	4439.6	1570.63	748.99	122.951	248.632	124.313	61.4328	124.313	61.4082	124.299	62.1598	0	122.842	0
 24.1	2460.3	3856.76	3925.14	3484.58	3789	4127.06	4547.33	5318.01	3224.91	1105.39	809.196	349.514	116.249	0	116.278	58.5122	57.7191	56.183	57.7972	58.4971	0	115.461
 25.0	2165.39	3916.1	4290.62	3645.41	4096.08	3262.77	3838.3	3658.9	1843.23	1100.76	274.322	162.505	221.269	110.255	55.489	0	109.394	54.6357	0	54.753	55.4549	0
 25.9	1404.49	3929.22	2242.59	2604.55	1538.98	2968.82	3536.78	3964.41	1622.83	696.387	207.172	125.025	105.492	0	104.698	0	51.9162	49.333	0	0	0	157.447
 26.9	2016.33	3472.7	2624.64	2160.73	2874.92	2127.02	3178.53	2635.45	1505.29	677.844	141.717	280.41	49.0845	50.1735	250.119	37.2043	98.7652	49.2307	0	50.2415	97.7361	87.3608
 27.9	1705.5	2371.82	2513.56	2174.12	2825.98	2681.17	2895.06	3146.77	1106.58	517.409	195.564	281.975	281.193	46.6186	139.568	58.9721	0	92.9839	94.055	94.8838	0	57.9664
 28.9	5276.62	2596.32	1637.91	2552.44	2094	2218.19	1778.01	2714.64	669.756	265.016	215.563	87.6412	135.013	0	0	0	43.6694	0	135.066	0	85.9282	60.8937
 30.0	1744.77	2618.11	2052.92	1577.08	1404.77	2453.19	2116.75	1479.87	862.215	465.117	39.6316	212.714	171.186	85.7761	128.814	41.8802	85.8349	86.0658	42.0485	41.0521	85.9126	112.358
 31.1	1532.8	2073.96	1691.48	1275.47	1357.67	1810.69	1401.65	1719.03	834.999	277.392	322.102	121.105	0	0	39.1732	0	82.2869	123.318	81.7162	41.2282	81.0539	81.4509
 32.2	1277.22	2084.85	1984.83	1989.28	1210.58	1428.45	1945.98	1712.54	499.126	381.821	116.34	75.2515	37.9648	38.3772	0	38.2565	117.69	116.573	0	39.3234	37.4515	118.436
 33.4	1437.15	2126.58	1777.09	1618.98	1288.92	1628.61	1522.24	1803.9	592.364	326.133	221.547	69.4701	0	0	37.2626	0	37.4541	0	0	74.3106	75.3938	0
 34.6	1419.41	1434.2	1917.74	1449.34	1553.54	1507.91	1385.85	1203.51	599.161	285.084	135.91	68.5297	35.1883	35.8811	34.6306	0	35.2479	107.322	33.1679	0	108.768	71.8217
 35.9	966.119	2074.51	1269.87	1746.8	1441.28	1516.27	872.896	1143.76	500.767	404.139	132.762	168.612	34.1128	33.0744	0	0	68.2327	31.8602	0	31.011	0	31.5783
 37.2	708.881	1362.68	1753.14	1224.32	1622.04	1015.21	1500.77	1699.65	445.85	390.947	131.738	60.2225	0	0	30.6886	100.231	29.2735	130.957	65.357	32.3717	65.3085	31.4898
 38.5	1050.8	1614.21	1039.27	1258.39	1366.22	1018.86	1188.37	1379.31	962.624	182.117	315.548	26.8568	31.0019	0	30.8831	31.5491	61.0517	30.8775	29.9551	0	95.0808	32.0198
 40.0	785.641	1100.24	1116.6	989.618	972.1	1118.02	607.378	987.936	344.013	143.691	54.899	88.6341	120.666	28.8161	92.8051	0	0	60.2051	27.59	0	30.4084	30.3883
 41.4	1018.79	1186.46	1257.06	1052.29	1194.4	1049.73	776.62	1094.12	634.976	193.192	112.456	86.3074	29.2388	0	29.7184	0	50.9708	54.2252	27.4614	28.6663	146.916	27.3288
 42.9	704.804	1025.99	857.516	1028.42	1072.41	775.356	886.6	1339.81	658.672	197.065	66.198	61.6068	27.2028	0	0	28.7684	6.6438	0	28.3332	57.0141	0	26.0185
 44.5	1016.64	1126.02	913.163	1221.43	977.266	578.09	740.586	1075.72	525.144	252.76	199.141	56.1239	0	52.3707	51.4949	27.6976	0	0	0	0	27.6976	26.9846
 46.1	624.093	678.901	960.08	1230.83	1095.28	717.893	858.059	944.943	498.756	254.919	43.3354	69.6407	22.9805	24.3945	19.4364	26.8609	24.1593	52.2907	105.563	0	52.834	0
 47.8	717.997	629.881	774.422	855.046	827.969	607.938	432.557	1048.24	300.681	284.021	67.3725	123.8	76.9104	23.3222	4.51951	25.9132	0	0	73.9073	25.9132	0	24.4815
 49.6	667.621	959.323	819.09	781.16	623.04	846.685	589.416	1177.04	146.549	214.998	170.962	70.4122	24.1856	0	23.0762	0	22.8364	19.5934	69.9514	0	0	0
 51.4	547.855	659.684	691.325	843.142	1045.33	812.996	606.174	740.456	581.163	92.1128	121.242	67.6367	0	29.0175	46.9543	71.3693	0	44.9409	0	71.8513	0	53.4302
 53.3	928.504	680.63	675.195	756.351	2333.91	772.675	459.361	871.09	299.526	130.938	17.6711	100.291	35.1309	15.7685	47.612	0	69.8091	46.7947	21.7162	21.4783	23.806	39.7146
 55.2	471.196	573.109	739.516	684.78	881.648	574.222	375.397	869.549	292.655	197.366	56.8145	94.6711	53.5408	67.7931	22.7039	0	41.207	22.8156	22.3918	0	19.5441	0
 57.3	660.24	461.738	711.259	783.199	534.029	709.418	417.845	809.178	367.344	102.571	83.4519	19.5653	20.1547	40.7987	0	21.7626	42.7567	0	43.6303	0	0	0
 59.4	514.526	633.793	705.006	518.452	738.793	485.866	648.592	611.239	239.825	142.667	103.645	36.5796	0	0	0	0	0	65.4429	42.4146	19.7705	20.6973	21.4908
 61.5	607.737	753.618	644.767	472.27	562.969	618.087	443.328	633.747	205.856	245.848	30.6239	103.086	16.2744	20.0904	0	0	18.6599	58.6756	0	0	19.4999	42.2805
 63.8	482.044	548.108	645.663	522.93	550.193	522.517	442.064	1040.76	162.621	137.147	101.477	120.002	19.7902	40.3546	60.6453	0	0	60.9935	12.7283	15.2856	0	12.8858
 66.1	378.937	544.637	523.371	604.931	436.047	543.139	440.385	541.916	282.217	85.0987	90.1236	179.48	57.3284	20.1838	13.8906	0	36.3265	14.1937	18.9796	39.9923	0	0
 68.5	483.182	946.97	437.441	545.363	526.235	581.669	579.438	780.902	404.531	69.4359	118.369	19.5018	14.7821	29.6227	18.999	0	14.7547	14.1004	18.1234	0	19.703	11.8357
 71.0	295.239	495.572	473.517	586.724	513.556	312.407	532.307	378.381	263.271	52.9582	72.6936	91.149	0	18.1249	0	0	30.7456	31.2696	54.9269	0	0	14.9766
 73.7	486.005	548.24	384.357	494.268	463.318	420.612	527.093	666.323	255.459	70.3048	20.1117	0	16.9062	21.1445	35.9116	19.1237	10.5182	65.5691	42.6493	28.2152	0	0
 76.4	492.467	447.366	389.904	309.223	341.826	435.639	447.693	692.719	248.066	93.9669	0	86.9911	41.5726	0	0	14.8382	0	5.59736	17.8904	0	0	18.5044
 79.1	491.388	547.927	282.452	273.144	630.502	355.617	398.028	432.633	270.622	90.6603	81.7574	50.5804	0	32.9971	0	0	21.4412	6.84668	14.922	31.0207	0	17.7573
 82.0	390.506	631.857	361.514	348.64	241.915	233.739	367.187	642.907	162.465	29.7247	100.315	63.4985	32.9364	0	5.61024	16.2493	47.8653	0	0	9.80996	43.2559	0
 85.1	452.256	554.94	644.833	371.035	559.182	256.766	403.444	459.151	129.014	134.406	19.4333	0	8.20208	46.1581	18.0734	0	0	12.2332	16.1245	14.0423	0	10.9857
 88.2	409.174	484.651	561.822	341.41	485.036	492.56	431.199	508.172	193.813	48.1566	51.9054	68.9663	49.4464	0	52.3633	0	0	0	7.97691	14.9633	12.409	0
 91.4	323.997	476.133	517.785	603.498	329.21	463.125	378.233	469.729	349.679	81.8052	85.4963	10.7663	26.0274	11.6463	13.2606	17.6095	23.7864	48.4796	58.7965	51.2143	12.14	5.47431
 94.7	352.907	318.753	508.099	469.995	324.153	305.965	357.237	345.354	256.098	48.5962	0	40.2112	1.26365	8.35784	12.894	32.8822	33.5389	0	45.6731	28.346	15.452	59.9653
 98.2	363.827	378.488	338.53	313.165	424.281	272.352	362.269	531.87	252.767	107.23	83.4708	22.7071	27.4344	0	42.2493	0	24.0446	43.0265	0	0	14.887	0
101.8	293.818	261.33	491.274	361.94	443.708	407.363	444.677	447.985	138.524	122.238	0	0	28.5458	65.4926	0	0	29.2577	30.2878	12.1844	39.3536	0	51.2197
