Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Medium1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,19:12:35,19:17:38,19:22:38,19:27:38,19:32:38,19:37:38,19:42:38,19:47:38,19:52:38,19:57:38,20:02:38,20:07:38,20:12:38,20:17:38,20:22:38,20:27:38,20:32:38,20:37:39,20:42:38,20:47:38,20:52:38,20:57:39
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
15.1,8614.29,11544,18987.1,18793.1,17152.2,16121.5,13706.3,29827.8,25102.1,20739.4,20934.6,17421.3,17045.2,21351.1,18696.7,19690.7,17494,13910.5,14571.7,15250,14185.8,14087.8
15.7,9097.36,9027.28,19555.2,17332,14312.3,14515.6,15791.9,28150.5,22666.3,21729.3,20875,17107.6,18485,20469.8,16372.6,15800.4,15166.4,16218.4,13842.4,14783.5,13828.3,12063.9
16.3,6779.98,11056.1,14728,16275.7,13020.6,12355.3,12540.6,24406.6,22392.8,20829.2,17656,16241.5,16320.9,15365.6,13307,13893.2,14310.4,12564.7,10379,10635.2,12049.7,12798.5
16.8,7909.33,9114.87,14874.3,13544.8,12069,11545.6,11154.2,21923,22752.5,18350.6,20111.8,15824.8,14617.7,15745.6,14100.8,13143.8,11812.8,12254,11663.6,13437.5,10556.1,11234.9
17.5,5348.15,9625,12588.4,12059.3,12063,12123.7,12090.5,23883.4,20006.8,17456.9,16905.7,16238.7,13578.8,13904,12941.1,12252.2,11634.9,11326.2,13654.1,9766.45,10080.7,10369.1
18.1,5909.76,14335.8,14670.4,10906,12657.2,10192,12541.2,20454.2,18429.9,15575.4,14254.7,14500.9,13834.1,12457.3,10340.7,12602.3,9901.35,9987.5,9094.95,10317.1,8418.52,9946.27
18.8,5382.24,24583.1,13106,11175.7,10248.3,11715.8,9254.73,18876.3,14890.2,16590,15527.1,12283.9,12195.4,10365.6,11223.9,11666.5,9853.47,10424.9,9210.65,10358.8,8141.34,9028.78
19.5,6363.44,16620.6,12642.4,12316.3,10437.7,9063.82,9211.98,15596.9,15119.3,15618.5,13590.8,11862,11505.4,11141.9,11356.4,10711.6,10394.6,10120.7,10045.3,9422.98,8156.84,7852.27
20.2,5355.9,12878.7,10752.8,10878.5,11255,10287.6,7669.49,15981.7,15283.7,15011.9,12159.6,12099,9879.64,12220.3,9859.77,9831.92,8007.64,8403.95,9784.19,7932.06,8760.53,8040.4
20.9,4964.59,10473.6,10453.2,9073.74,9278.49,7522.39,7082.7,16774.6,13763.7,12383.3,10881.3,11652.1,11091.7,11567.6,10489.3,9436.2,8760.6,8342.19,7985.8,6425.56,5752.99,7932.09
