Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\High1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,8:27:00,8:32:04,8:37:04,8:42:04,8:47:04,8:52:04,8:57:04,9:02:04,9:07:04,9:12:04,9:17:04,9:22:04,9:27:04,9:32:04,9:37:04,9:42:04,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
16.8,1293.85,8591.15,117639,390339,452445,431145,404922,355924,228402,108939,46017.8,17574.1,7469.71,2805.23,1213.12,1323.4,220.567,661.7,411.584,441.133,110.283,330.85
17.5,2908.23,12617.9,82702.8,304590,384920,381421,372861,339327,212271,103454,46434.6,16369.3,6905.97,2832.91,1337.45,308.642,514.404,147.016,27.5657,102.881,308.642,102.881
18.1,1836,13459.6,67986.2,254339,317490,332721,335516,307762,202052,90184.9,42586,17420,6598.75,2691,768.858,961.073,288.322,439.307,288.322,0,384.429,480.536
18.8,1408.87,8023.33,49315.3,211197,273391,279442,299821,278385,178438,89917.3,40177,18200.3,7246.41,2340.39,720.121,698.078,90.0151,180.03,180.03,360.06,450.075,338.017
19.5,1708.98,6838.47,32701.8,180488,225158,239827,255526,247963,168371,77978.8,32094.3,14041.1,3660.42,2194.8,1266.23,611.58,675.324,84.4155,253.246,253.246,168.831,221.784
20.2,1980.35,6752.32,69731.5,141404,172950,211145,221011,220676,144941,72573.8,30536.2,13361.3,5357.13,2457.16,1345.02,554.842,475.579,475.579,158.526,237.789,158.526,445.268
20.9,1180.15,18502.1,63835.9,110979,145266,152972,177867,177184,114354,62600.8,25732.9,12498.7,6331.05,2345.49,1308.62,818.098,666.779,446.782,147.366,149.034,263.157,146.293
21.7,1675.75,7090.95,60350.9,96529.1,116635,127012,150899,147701,105108,53437,23816.4,11854.1,4427.62,1572.16,1152.48,978.715,355.135,209.524,279.574,139.875,167.721,73.5622
22.5,4831.36,5352.02,51864.5,70362.6,87243.2,101625,117265,126170,84410.8,45312,19179.8,10016.4,4612.38,2166.71,656.335,326.569,583.252,262.029,196.894,65.1841,324.369,189.763
23.3,2414.83,4934.13,45788.2,58070.1,70627.5,80036.1,93025.9,104733,68495,39154.9,18241,7871.25,3830.16,2108.36,800.828,304.98,555.91,309.451,248.014,186.473,304.288,68.2402
