Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,11:00:00,11:05:04,11:10:04,11:15:04,11:20:04,11:25:04,11:30:04,11:35:04,11:40:04,11:45:04,11:50:04,11:55:04,12:00:04,12:05:04,12:10:04,12:15:04,12:20:04,12:25:04,12:30:04,12:35:04,12:40:04,12:45:04,12:50:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,
15.1,675.683,21292.8,25808.5,35379.9,45336.2,60672.8,71310.5,70167.5,29791.7,12993.8,6428.05,1950.11,1232.86,278.588,278.588,278.588,0,139.294,417.882,139.294,278.588,257.802,0
15.7,1421.05,19771.6,17524.6,26319.3,33734.4,40873.3,51843.8,48598.9,20657.5,9870.92,4681.13,903.653,1033.49,387.559,516.745,129.186,129.186,0,258.372,258.372,258.372,0,129.186
16.3,719.961,16537.9,16701.6,18623.3,21812.2,24644.8,33372.3,33908.6,15382.2,6960.83,3648.9,1440.53,719.961,239.987,599.968,0,239.987,239.987,239.987,119.994,359.981,479.974,46.6786
16.8,892.98,16019,13493.4,15949.1,14244.9,18556.4,22605.7,25011.9,9193.06,4130.03,3082.01,892.98,446.49,446.49,892.98,446.49,308.388,0,334.867,334.867,334.867,111.622,68.2003
17.5,728.911,15557.5,13163.1,12121.8,12300.1,12876.1,13408.8,13617,9469.19,4409.52,937.171,937.171,208.26,104.13,520.65,312.39,128.832,0,208.26,208.26,208.26,104.13,0
18.1,972.743,13637.8,13714.2,12395.7,8796.56,8516.7,9434.82,9240.27,7219.18,2884.55,1210.68,291.823,140.664,291.823,291.823,194.549,291.823,97.2743,194.549,389.097,194.549,97.2743,97.2743
18.8,341.999,13335.4,10620.4,8164.7,7071.4,5532.39,5481.92,5777.68,4015.81,2459.92,1325.98,250.891,506.01,546.649,364.433,182.216,273.324,91.1082,91.1082,182.216,273.324,364.433,91.1082
19.5,619.122,9898.41,11375.2,6798.3,4836.38,5181.36,3206.59,3356.43,3445.08,1626.58,768.965,448.241,341.762,598.084,427.203,515.856,0,256.322,170.881,256.322,170.881,427.203,170.881
20.2,585.37,9576.53,10271.8,7469.89,5630.54,4207.25,3229.8,2106.64,3627.91,1761.95,665.596,320.903,80.2256,481.354,240.677,157.435,344.693,160.451,0,240.677,240.677,160.451,80.2256
20.9,567.669,8112.65,7823.93,6677.01,4672.05,3714.51,2647.15,1720.1,4150.46,1794.06,575.371,221.323,148.012,525.681,185.692,224.49,51.3675,72.5835,71.9943,223.05,224.07,450.915,74.9152
21.7,629.753,7199.47,7053.87,5939.54,4324.33,3242.46,2493.27,1562.69,2273.05,943.958,543.416,494.289,0,140.289,242.185,212.034,138.96,0,121.359,67.3211,210.775,69.2946,140.919
22.5,518.935,8403.64,8180.83,4679.76,4703.38,2647.49,2458.17,1214.27,3220.88,1212.92,873.161,197.286,66.0495,129.249,194.625,261.225,63.207,64.6289,149.495,260.426,519.133,265.32,65.9511
