Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017,3/25/2017
Start Time,9:53:28,9:58:31,10:03:31,10:08:31,10:13:31,10:18:31,10:23:31,10:28:31,10:33:31,10:38:31,10:43:31,10:48:32,10:53:32,10:58:32,11:03:31,11:08:32,11:13:32,11:18:31,11:23:32,11:28:32,11:33:32,11:38:32,11:43:32,11:48:32,11:53:32,11:58:32,12:03:32,12:08:32
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6,42004.1,42885.2,38879,36002.6,38668.7,40122.9,35524.8,37951.4,39194.2,32770.6,29662.9,48190,39148.3,36183.8,32837,25218.6,22053.7,25389.2,20992.1,17198.7,18257.8,11099.2,13593.3,12847.5,10974.4,9311.01,10764.1,9760.82
13.1,37775.7,38139.2,36144.5,36984.1,36048.4,31686.3,33373.9,29613.1,30420.9,35110.3,32774.4,46409,40268.1,36703.7,31985.7,24409.9,25789,22061.5,14445.4,15833.6,16990.2,14888.8,10641,14369.9,10397.3,7738.87,8527.54,10139.6
13.6,31546.5,36614.5,33991.3,33102.5,31429.4,28800.7,36105.7,33546.2,27960.2,28537.8,29558.8,40711,37625.1,33832.1,25718.3,22353,21185.2,15125.7,18788,14067.3,17515.8,14825.4,10387.5,10822.3,10922.9,10762.2,7490.33,10408.9
14.1,35649.7,36127.6,32391.5,33528,30230.6,24391.5,30557.3,25929.5,26643.4,29066.5,28845.3,41953.5,30575.7,29448.3,26336.7,24333.5,20764.8,17076.1,17379,13529.8,13320.3,11721.6,9529.07,11916.6,9841.15,9768.71,8728.38,8787.65
14.6,26014.4,26371.6,27293.9,28767.7,23841.8,26723.6,23716.5,24889.3,26181.9,23559.1,23315.5,37602.8,31740.9,24567.7,25440.7,22459.1,19206.7,15495.6,13184.1,12371.8,10958.8,11962.3,9141.41,7768.92,8945.16,8176.78,7197.07,4423.48
15.1,26319.1,27584.6,27034.9,29963.8,25317.7,20913,25378.1,25965.4,22455.8,20703.5,21521,29241.4,25378.1,23864.3,21799.1,15503.6,17249.4,11982.2,14113.9,12444.5,11437,8920.16,8027.87,7231.94,7233.57,7059.19,7472.88,6065.21
15.7,21746.4,23621.4,22270.6,25000.1,24893.5,20743.3,20122,20513.3,22812.1,21056,19483.7,30390.4,24959.4,20399.6,19220.1,19269.1,14501.6,12547.8,12772.2,10352.8,9185.74,8978.17,9793.01,7913.55,6698.82,7433.82,6165.9,4212.09
16.3,22938,25718.9,20858.6,22236,20923.3,20200.6,22803.5,22025.4,19403.3,20153.8,18595.9,26477.1,23171,19336.5,19070.1,16831,14035.8,10750.5,10427.5,10525.2,11558,8256,7083.9,6099.62,5929.32,4477.35,5596.07,5393.19
16.8,20329.3,23341.2,20279.7,20675.7,21923.3,19088.2,19611.9,21429.1,17845.5,19663.1,17483.6,23376.8,23141,17774.2,16447.8,14512.3,13993.5,9933.15,10110.4,10411.7,7847.2,7188.53,7848.72,6447.61,5152.25,5450.52,6606.05,4487.52
17.5,19536.8,19701.9,17717.8,17958.5,18158.8,20020,17409.2,20947.6,18680.6,16465,17061.8,25906.2,19819.5,18351.6,12487.4,14423.6,11559.6,11333.6,9845.38,8138.88,7372.62,6961.1,5447.41,6933.53,5568.52,4581.89,4828.17,4186.93
18.1,15833.3,19339.8,18690.7,14866.3,17615.9,18539.4,14538.1,15244.4,16068.2,17682.1,15097.4,20872.2,19332.1,17294,14467,13508.5,10852.5,9901.35,8340.03,7845.56,7059.37,6943.33,7157.78,5723.83,4550.61,5411.89,6164.51,4495.74
18.8,16361.1,16631.9,16960.6,16987.8,16997.1,16712.5,15741,17026.7,20561.2,13648.7,14425.6,22234.1,18503.5,15665.6,14597,11328.5,11437.1,9853.47,7296.45,8240.68,7263.23,7147.79,4940.77,5049.45,4910.12,4338.66,4388.7,4640.08
19.5,14035.2,16831.7,16209.3,14276.8,14718.8,17169.3,13728.2,14044.3,13676.8,14170.9,13972.3,17306.7,18318.9,13010.6,12990,10931.8,9581.11,9051.4,7522.86,6585.22,6395.72,5741.89,6014.99,3566.94,4358.14,4644.49,3948.49,3988.2
20.2,14254.1,14761.2,17817.2,15391.6,12128.1,15550.1,12915.8,14092.3,14256.5,16013.2,11780.7,19562.2,17959.6,13728.3,11388.7,11187.4,9131.44,6973.93,6620.42,7388.88,5563.38,5506.44,4770.75,5642.64,4485.23,5027.18,2963.88,3486.35
20.9,13751.3,14239.2,15163.3,13039,14891.4,11902.9,14187,12268.2,11881.2,12640.6,12467.8,16561.3,13964.7,11558.1,10361.8,11497.6,8588.22,6034.79,5527.14,6967.89,6121.88,5372.52,4519.54,3821.4,3774.7,3784.99,3113.64,3561.27
21.7,13913.9,12591.7,11954.6,13950.5,12762.1,12355.5,12261.8,12739.4,11852.7,12081.4,11391.4,14954.6,13541.3,11380.8,8541.3,7963.15,8510.32,6519.33,6851.11,5821.97,5260.3,5057.3,4524.56,4215.52,3359.43,2977.15,3843.75,3775.6
22.5,12679.1,12388.7,10808.7,13490.8,12101,11680.2,9658.83,10664.4,12501.5,8887.94,9945.42,12053.6,12756.9,9952.81,11160.3,9272.83,8239.52,6763.38,5267.41,5880.14,5332.89,3831.85,4896.83,3614.86,3756.5,3650.4,2758.02,3247.82
23.3,11746.9,12353.3,10954.3,10608,11124.5,10427.9,11267,9945.32,10699.2,10054.6,14283,12920.4,12367.4,10462.9,7864.88,8986.08,6995.32,4812.95,6345.46,4123.99,5229.31,4944.36,4127.8,3549.45,3335.64,3908.06,2606.27,1965.73
24.1,10910.2,12511.3,10638.6,10458.4,10717.1,10093.8,9344.5,8449.53,9226.67,9190.83,47582.7,13032.3,10444.1,9704.47,7626.17,8730.29,7180.26,5843.67,5693.72,4773.25,4026.46,3266.05,3094.22,3436.47,2797.76,2326.37,2014.93,2338.12
25,8859.72,10934,11793.2,11420.3,9318.6,9218.14,8172.82,8239.25,9074.17,9269.55,48709.2,11692.6,11235.6,9948.92,8739.72,7075.95,5758.42,5371.91,4385.62,4775.12,3830.21,4215.56,3458.24,2912.49,3036.89,3029.61,2631.32,2095.65
25.9,10329.5,9799.96,9644.37,10050.9,8864.03,9379.97,8749.99,8056.04,9342.3,8364.9,35407.6,11935.9,10347,8424.38,6757.99,7812.89,6043.51,4762.66,5001.82,3564.94,3661.43,3335.98,3555.09,3032.8,2906.62,3149.4,2136.83,2560.24
26.9,9020.13,9519.73,8680.82,9573.55,8593.88,7450.33,8540.76,8525.47,9442.65,8880.97,19878.8,10264,11216.6,8366.72,7112.14,6322.44,5807.59,5684.45,4666.67,4219.03,3662.96,2630.4,3448.61,2798.98,2694.93,2155.43,2330.99,2135.35
27.9,9659.43,8037.04,8892.68,9057.72,7892.84,7431.65,7336.2,8397.78,8084.94,7240.66,17303.2,11438.5,8551.39,8345.66,7241.29,5560.03,5397.58,4627.53,4617.77,3298.86,3800.97,3165.45,3194.47,2649.91,2659.6,2371.18,2351.29,1970.7
28.9,8374.65,8407.42,8318.05,7612.82,7775.21,8231.92,7724.86,7811.2,7498.63,7541.31,17183.3,10374.5,7773.3,7444.82,6348.57,5785.09,5178.91,4539.84,4089.86,3488.06,2695.09,2980.92,2683.44,2524.81,2488.72,2134.53,2347.3,2250.12
