Sample File,D:\OlinCollege\All_data\OlinCollege\Holmes (Xi Xi)\Low 1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017,3/22/2017
Start Time,15:17:14,15:22:18,15:27:18,15:32:18,15:37:18,15:42:18,15:47:18,15:52:18,15:57:18,16:02:18,16:07:18,16:12:18,16:17:18,16:22:18,16:27:18,16:32:18,16:37:18,16:42:18,16:47:18,16:52:18,16:57:18,17:02:18
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
15.7,1675.46,15844.2,43449.3,59508.4,88570.3,125341,111772,120442,114932,62701.7,42723.3,17632.1,8954.79,4267.78,1526.91,1120.6,902.172,624.742,386.645,386.645,644.409,386.645
16.3,1197.11,13213.7,34992.6,42017,64808,90381.2,88437.8,99228.4,81365.1,50527.4,31032,14448.1,6759,5285.54,1731.15,1113.93,837.975,616.821,276.357,36.9351,239.421,239.421
16.8,1002.23,14741.5,22445.2,27494.1,49096,65703.9,65065.8,76418.4,67904.1,41975.8,25099.7,12251.1,6507.93,3062.23,1942.2,890.875,751.602,334.078,188.36,188.36,417.524,222.719
17.5,1350.5,12311.6,21073.9,25516,36025,45929.2,46328.6,55687,50545.4,31497.4,17550,9774.5,5116.39,2770.63,1688.19,658.413,545.463,519.423,311.654,103.885,147.477,103.885
18.1,2092.93,9056.8,14645.5,17985.8,22835.9,33736.7,30378.5,41156.5,35161.7,22191.8,14163.8,5747.84,4033.83,2270.62,1455.68,743.567,540.204,194.09,97.0451,194.09,371.783,152.024
18.8,1857.27,8361.35,14486.6,13447.4,16456.2,22180.8,21670.3,27857.5,26015.8,15905.2,9873.88,5493,3482.65,1761.02,1181.61,727.147,221.186,90.8934,272.68,272.68,272.68,306.728
19.5,1278.59,9465.97,10724.1,13014.9,12518.9,16324.4,14304.2,16640.2,16926.7,12123.7,8934.69,5334.57,3725.06,1283.61,852.392,767.152,340.957,426.196,170.478,85.2392,170.478,260.736
20.2,2050.33,7201.46,10516.3,10316.8,9403.04,11288.8,11507.3,11973.9,13489.2,8215.86,4823.71,3493.71,2514.47,1440.66,1040.48,1040.48,0,160.073,160.073,240.11,80.0365,80.0365
20.9,1815.7,7701.58,8613.89,8809.57,7762.04,8982.83,7246.31,9148.99,9239.63,6430.33,2938.44,2532.7,1124.98,901.75,225.214,222.338,218.397,148.787,225.733,74.7077,73.007,149.395
21.7,1343.8,7233.18,7018.33,7044.95,5722.97,6367.42,4620.68,6280.85,4296.96,3649.34,2470.86,1567.43,1699.17,706.665,211.499,139.181,18.701,380.798,70.903,69.0018,141.723,0
