Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\Low1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17	03/30/17
Start Time	16:33:00	16:38:03	16:43:03	16:48:03	16:53:03	16:58:03	17:03:03	17:08:03	17:13:03	17:18:03	17:23:03	17:28:03	17:33:03	17:38:03	17:43:03	17:48:03	17:53:03	17:58:03	18:03:03	18:08:04	18:13:04	18:18:04	18:23:04	18:28:04	18:33:04
Diameter Midpoint
 15.1	0	4755.55	2410.65	2823.52	2477.21	1825.03	2100.28	1518.35	1997.78	1483.23	1926.72	10340.5	8298.61	3889.37	3068.14	2201.96	1962.65	963.359	724.051	550.491	275.245	137.623	208.684	0	0
 15.7	127.636	3221.82	3507.91	2486.82	2935.64	2042.18	3608.9	1782.74	2904.82	1976.28	2112.36	11549.2	7499.72	5012.9	3164.36	1914.54	765.818	893.454	382.909	255.273	255.273	0	317.004	0	127.636
 16.3	237.108	4238.61	1659.75	2494.52	1541.2	2015.42	1864.27	1422.65	1745.72	1778.31	1950.24	11257.3	6133.84	4118.43	2395.12	1778.31	592.769	592.769	594.399	355.662	237.108	355.662	237.108	118.554	118.554
 16.8	110.283	3717.05	1764.53	2061.29	1293.85	1926	1874.82	1433.68	1102.83	1433.68	2065.83	9720.5	6144.8	4490.55	2423.2	1734.98	1102.83	330.85	660.184	220.567	191.017	0	110.283	191.017	0
 17.5	102.881	3937.04	1646.09	2129.32	1144.64	2259.76	2263.38	764.301	1587.35	1234.57	1850.2	9062.85	5612.65	4186.93	2924.8	1703.18	1954.73	617.285	411.523	308.642	233.327	205.762	205.762	233.327	102.881
 18.1	288.322	3181.5	2038.18	1410.34	1935.79	1880.92	1057.18	1400.38	1977.02	1729.93	1565.01	7296.5	5960.96	2871.88	2285.27	1510.13	1057.18	576.644	192.215	288.322	288.322	106.07	96.1073	96.1073	0
 18.8	90.0151	2737.05	1781.64	1430.91	1238.17	1170.2	1622.11	1148.15	1170.2	1058.14	1620.27	7430.55	5238.81	3212.55	2457.67	810.136	968.123	450.075	540.091	270.045	180.03	170.699	180.03	270.045	90.0151
 19.5	84.4155	2352.84	1214.1	1688.31	1488.02	1278.66	1666.73	981.523	1097.4	1033.66	1298.51	6955.17	4495.51	3356.76	1593.1	1097.4	1033.66	675.324	422.077	168.831	84.4155	0	168.831	84.4155	84.4155
 20.2	158.526	3534.07	1713.48	1821.82	1395.2	1572.37	1681.94	762.321	1425.51	1502.32	1475.69	7118.33	4695.17	2077.03	1315.93	1582.81	474.351	396.316	554.842	396.316	237.789	158.526	158.526	158.526	79.2631
 20.9	222.105	2715.42	1109.07	1261.39	1404.12	1410.46	1299.34	1225.73	1411.72	886.464	1002.85	6129.29	3787.8	3490.54	1558.27	1332.16	963.112	593.007	294.674	72.4789	0	0	296.948	0	222.426
 21.7	138.941	2620.63	1673.3	1471.07	1322.65	1201.17	1078.62	1085.57	1184.53	1323.03	1568.33	6663.17	4973.57	2221.02	1396.98	902.597	553.442	345.971	139.767	208.522	277.675	0	69.5914	137.688	69.5533
 22.5	131.02	1736.39	822.588	1100.69	887.155	1264.54	901.77	1250.67	1173.71	950.938	910.971	6480.65	3761.92	2223.92	1665.84	848.983	629.813	324.309	169.728	323.114	64.4347	0	65.8257	65.1035	196.149
 23.3	122.121	1512.28	330.648	983.109	1189.39	1507.09	1107.23	1045.53	742.62	1005.86	368.743	5202.19	3450.45	2087.38	1397.63	1115.49	212.839	744.465	328.782	371.472	123.642	372.257	0	0	61.4344
 24.1	56.9872	1555.63	654.065	969.999	865.164	921.599	866.329	1492.59	799.116	1053.38	987.021	5916.45	3661.34	2345.83	956.166	982.989	893.739	461.01	146.912	174.763	0	57.739	114.676	58.5122	57.6968
 25.0	53.8982	1093.11	1063.15	1165.84	1042.37	1156.36	988.428	823.389	767.535	1040.57	920.2	5964.66	3310.58	2432.22	813.183	818.727	294.545	214.552	185.04	108.622	220.346	54.6749	0	55.4559	0
 25.9	0	1479.36	521.479	883.722	725.975	690.169	432.048	778.826	662.273	607.824	831.16	5360.88	2460.29	1332.34	1463.89	513.523	413.548	332.733	208.451	263.024	102.982	50.9296	102.953	103.778	52.7207
 26.9	50.2415	1007.36	575.269	713.699	514.848	1122.15	1221.55	987.615	949.517	1495.9	387.332	3768.44	3113.55	2120.62	1370.27	739.926	485.779	228.334	247.368	199.9	200.763	135.023	99.3804	0	0
 27.9	237.255	802.461	564.637	582.483	678.57	744.598	742.864	846.289	694.868	754.661	744.465	4708.33	2417.7	1360.99	1040.41	604.158	336.242	240.533	184.213	139.78	139.693	10.353	187.243	150.009	94.8825
 28.9	88.5388	1059.66	622.638	656.309	522.907	605.394	914.428	844.828	772.827	480.288	908.109	3667.14	2668.59	1239.3	1254.81	945.498	402.156	262.856	177.722	0	179.628	87.6477	90.6035	82.4342	89.6612
 30.0	109.415	851.891	657.014	495.541	972.743	493.295	783.873	628.196	397.666	847.496	577.045	3353.02	2311.86	1745.36	586.094	866.573	511.739	236.759	256.728	154.148	172.132	126.87	84.8069	25.2635	85.1568
 31.1	95.4109	1027.78	768	721.99	729.071	501.95	845.94	390.919	594.405	707.967	466.958	3334.87	2120.98	1605.86	975.568	649.382	532.869	331.099	35.9241	136.074	205.982	0	38.7155	181.027	41.2282
 32.2	36.3846	541.926	502.056	649.838	576.97	774.427	728.646	579.428	651.338	697.188	618.189	2853.33	2163.35	1389.66	817.77	390.15	230.697	277.818	194.932	351.452	77.545	39.1534	0	39.1115	78.8894
 33.4	112.361	509.28	540.387	580.838	748.664	773.476	590.263	506.487	543.166	596.692	210.451	3282.27	1862.06	1261.37	771.717	170.173	589.164	71.9346	258.736	73.0158	34.0395	35.594	110.788	34.2778	36.465
 34.6	69.2171	782.626	748.912	415.467	569.23	344.434	516.613	676.026	597.648	414.941	770.107	3092.48	1715.13	1079.69	798.189	530.621	172.569	321.744	179.755	33.63	106.58	35.1212	107.393	0	34.7466
 35.9	67.2582	713.878	629.035	644.43	508.02	391.052	444.224	406.712	391.174	225.676	608.638	2120.82	1794.2	1020.08	807.912	572.147	258.443	309.958	203.295	100.787	68.9934	33.0095	67.5543	0	136.236
 37.2	28.7264	703.837	209.595	448.893	467.754	616.349	404.222	432.362	477.653	543.078	479.566	3104.9	1494.02	1467.87	479.641	520.35	324.506	186.95	94.2514	30.1979	98.9371	63.5376	98.0935	64.3151	0
 38.5	0	489.411	506.774	520.994	448.261	424.125	467.276	580.77	494.117	288.514	480.357	2144.36	1487.96	881.562	805.98	452.795	139.686	87.3164	121.512	30.5932	0	123.87	31.6585	62.58	31.5315
 40.0	0	728.138	517.374	409.326	380.167	592.278	537.213	370.414	535.169	498.072	459.987	2348.66	1489.83	1192.19	705.862	405.309	235.473	145.278	178.239	86.7641	85.8454	28.1378	89.7954	0	0
 41.4	57.5186	610.859	336.908	557.653	486.442	356.349	226.814	350.819	402.612	494.764	452.227	2420.53	1586.14	961.903	661.365	295.292	170.532	47.8808	111.338	20.54	55.7098	86.9184	0	27.0087	29.0859
 42.9	71.3403	417.104	331.873	527.375	443.951	488.691	449.911	452.232	398.478	590.507	208.665	1983.02	1612.2	1168.01	690.671	395.697	123.71	106.978	20.9739	20.6966	0	55.4457	27.767	27.3399	26.1637
 44.5	69.803	663.45	571.901	457.714	287.45	173.745	440.098	286.766	566.258	368.924	448.152	2030.14	1711.07	1040.9	523.835	455.989	64.6443	163.086	133.95	80.5329	0	54.6707	53.1924	0	0
 46.1	79.6949	385.311	343.822	436.87	331.772	346.388	492.581	420.563	416.254	522.709	478.256	2374.8	1246.4	640.042	395.72	237.213	98.1307	147.574	44.6617	103.297	22.664	0	75.7016	0	0
 47.8	0	444.291	546.936	467.786	232.379	321.975	370.498	518.329	512.274	156.194	346.482	1759.38	1070.59	629.958	389.687	382.33	309.369	66.9399	119.429	45.2358	74.8858	45.3527	48.9052	50.1501	24.0873
 49.6	68.6099	305.172	303.147	355.319	306.748	441.981	383.814	276.841	396.322	307.561	431.423	1470.44	1479.28	665.11	751.276	219.065	99.1817	62.163	14.0991	45.8113	49.5632	19.4752	24.3374	124.396	21.1586
 51.4	20.5936	312.504	371.398	303.291	622.959	335.203	298.527	241.563	287.332	258.573	407.619	2012.4	1026.04	848.641	389.827	274.606	335.344	140.525	69.8524	46.7163	0	21.2918	23.3056	0	44.5312
 53.3	71.418	412.66	442.54	402.854	487.298	252.327	316.48	317.562	387.119	322.879	165.347	1926.85	1274.54	1024.53	425.18	281.129	216.245	106.421	91.9156	66.4282	20.6446	42.9853	44.1997	44.2898	21.7672
 55.2	66.6219	231.601	423.886	179.687	478.341	338.187	157.002	439.61	258.899	502.738	413.636	1505.52	1006.24	731.423	265.372	301.694	221.519	130.593	83.1064	0	16.0032	65.2173	0	19.6977	0
 57.3	19.7181	497.594	536.086	224.493	251.547	333.827	238.56	355.777	242.13	301.174	520.158	2114.55	1074.43	577.524	367.797	353.795	211.623	101.933	111.271	65.9613	104.387	43.6546	16.703	21.8877	22.5753
 59.4	36.0464	428.087	281.653	475.795	271.059	357.105	284.09	354.245	357.141	478.812	312.84	1443.59	1092.66	431.05	352.725	369.728	39.9587	161.27	62.5844	102.795	60.4644	20.8319	84.2009	40.5105	0
 61.5	0	292.071	305.352	386.703	147.496	372.843	329.226	369.547	282.557	229.801	224.646	1321.84	951.807	403.432	259.977	136.393	191.798	100.927	142.708	125.833	17.2874	38.2852	18.3336	18.7978	21.4628
 63.8	0	403.452	306.314	348.228	242.366	256.668	226.004	273.305	122.036	255.625	269.433	1075.45	766.347	543.64	419.357	212.723	282.413	75.5351	0	35.0628	32.121	0	0	11.7512	41.8922
 66.1	0	401.949	299.757	327.242	329.211	267.368	465.452	438.369	336.236	351.781	198.841	1271.06	981.184	602.629	292.253	195.028	71.9704	88.4652	115.696	15.8037	35.1129	18.4691	56.1609	38.7397	58.8543
 68.5	19.7036	290.803	244.39	401.202	248.759	227.76	282.977	255.082	379.904	284.585	336.522	1138.29	871.435	544.924	294.219	227.69	117.133	93.6425	57.1083	72.3567	49.4535	33.7969	38.4456	20.086	0
 71.0	50.322	284.578	184.229	149.087	358.599	212.134	325.1	225.089	213.467	350.91	229.484	1101.28	792.526	428.574	335.022	154.796	73.6151	108.195	135.251	49.3796	1.54869	89.3005	14.9106	10.7186	35.6204
 73.7	70.049	390.551	236.012	238.428	284.578	272.548	221.318	216.22	330.832	285.98	359.943	983.719	842.966	554.755	308.437	265.262	163.901	124.958	59.9181	30.2851	11.9091	11.9142	0	14.848	34.5827
 76.4	0	127.586	192.638	110.714	266.403	252.639	176.286	235.685	187.93	289.895	260.467	928.875	580.942	392.756	440.66	151.809	38.221	76.8168	3.67595	8.2733	22.7048	37.9468	17.5517	0	37.5982
 79.1	0	344.634	234.184	187.751	144.789	261.807	277.516	220.171	279.477	246.425	146.292	1177.53	604.182	202.759	212.185	193.974	126.807	38.4055	41.4323	60.5188	25.7228	34.2365	32.7907	44.2735	0
 82.0	34.582	323.986	325.516	226.778	284.842	224.849	283.442	265.557	172.625	159.61	179.354	1230.97	745.575	389.149	295.068	149.822	66.9489	76.7369	41.261	35.2835	69.3613	29.9129	21.7035	13.748	0
 85.1	11.9601	141.138	130.969	132.51	293.651	172.861	192.699	156.146	215.377	356.994	180.621	1191.73	784.061	372.521	255.958	240.314	197.849	77.1221	36.0136	0	53.2458	0	50.771	0	0
 88.2	70.2435	300.906	189.404	250.019	241.882	188.689	184.276	140.07	272.344	327.363	99.8847	842.458	829.619	546.717	294.673	141.85	178.954	104.351	16.5544	68.6038	29.012	11.1318	13.6861	33.206	0
 91.4	32.4843	328.632	91.5848	251.612	118.634	155.271	198.415	255.088	52.9317	319.495	62.031	903.258	672.18	404.123	256.18	247.995	110.114	16.209	57.8896	0	44.6243	35.3263	21.572	10.5258	0
 94.7	34.8603	159.999	176.162	146.836	180.802	220.899	139.96	246.179	184.472	167.816	150.505	1228.9	514.676	516.421	228.837	222.952	50.7269	62.3183	107.72	52.1559	48.3342	61.4937	37.5493	67.1625	0
 98.2	14.863	241.361	128.617	227.378	202.768	77.9276	118.905	158.692	146.587	187.564	142.799	937.011	427.339	217.208	186.292	135.159	56.4079	77.5059	3.06874	20.3915	25.5639	0	27.4104	0	17.2266
101.8	0	313.782	226.924	235.212	187.954	88.543	328.546	136.829	255.637	289.006	79.5077	820.38	544.715	485.457	210.491	80.1586	136.692	29.7592	37.9769	46.3309	9.94018	39.5785	6.34029	0	17.0732
105.5	46.4276	371.958	243.351	227.246	190.727	213.002	174.66	293.856	210.794	147.659	181.261	1006.22	872.465	490.019	115.16	116.561	111.227	43.5289	15.1133	48.9622	31.6415	40.2709	24.07	46.4276	16.9244
109.4	33.5599	321.152	253.949	179.732	321.152	218.139	294.857	93.4148	184.579	251.699	151.019	1112.23	685.296	289.843	227.654	83.8996	184.579	134.239	50.3398	33.5599	33.5599	33.5599	16.7799	16.7799	16.7799
113.4	16.7166	300.756	260.168	365.358	401.056	200.6	341.487	183.883	200.6	200.6	150.45	1112.29	794.957	542.087	300.899	167.166	159.869	66.8665	66.8665	33.4333	66.8665	0	0	9.41879	0
117.6	33.1586	305.665	272.506	182.372	179.723	265.269	215.531	305.12	116.055	179.178	132.634	1136.57	518.547	593.66	318.505	172.486	173.031	49.7378	49.7378	66.3171	49.7378	0	16.5793	56.9757	16.5793
121.9	0	231.301	166.691	181.737	158.546	280.866	181.737	259.151	297.387	317.092	234.253	1045.51	703.756	452.216	411.027	224.632	99.1291	148.694	49.5646	0	16.5215	16.5215	16.5215	16.5215	16.5215
126.3	32.9324	246.993	321.548	181.128	246.993	230.527	306.553	179.657	197.594	240.688	260.517	957.426	806.844	373.333	294.92	164.662	65.8648	43.0941	82.331	16.4662	0	32.9324	49.3986	16.4662	16.4662
131.0	0	311.851	350.431	245.933	278.759	246.198	170.416	278.759	229.519	236.069	213.372	946.794	639.849	494.57	246.198	229.254	114.627	88.3502	49.2396	16.4132	16.4132	16.4132	16.4132	0	0
135.8	16.3624	245.436	199.928	131.164	229.338	229.074	229.074	147.526	180.251	147.262	215.761	920.668	477.825	333.613	313.936	180.516	114.801	65.4496	133.949	0	49.0872	49.0872	16.3624	32.7248	16.3624
140.7	0	180.282	308.341	262.228	278.617	180.282	278.617	167.53	229.45	207.584	308.341	962.073	545.066	305.286	210.005	36.4163	180.282	81.9463	78.8912	49.1678	0	0	16.3893	16.3893	16.3893
145.9	0	198.461	264.135	346.227	264.135	247.716	213.439	275.468	197.021	218.925	264.135	991.267	519.541	313.39	311.949	127.703	213.439	99.9509	16.4184	82.0919	32.8368	0	32.8368	0	0
151.2	16.3732	162.296	260.535	178.669	224.206	256.953	245.598	180.105	222.06	176.523	162.296	931.008	453.431	387.938	291.136	130.986	81.8661	80.4295	81.8661	16.3732	29.1641	65.4929	16.3732	0	0
156.8	16.4062	223.125	136.172	131.25	331.714	216.87	234.609	164.062	236.866	172.574	328.124	801.857	725.463	336.636	249.683	147.656	65.6249	65.6249	16.4062	16.4062	19.9958	49.2186	65.6249	16.4062	0
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
