Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017,3/30/2017
Start Time,14:25:00,14:30:03,14:35:03,14:40:03,14:45:03,14:50:03,14:55:03,15:00:03,15:05:03,15:10:03,15:15:03,15:20:03,15:25:03,15:30:03,15:35:03,15:40:04,15:45:04,15:50:03,15:55:03,16:00:03,16:05:04,16:10:04,16:15:04,16:20:04,16:25:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
14.1,5122.73,12201.1,8533.44,9871.42,8887.67,7561.58,8221.37,6793.85,6458.01,4535.36,8827.12,5012.1,2714.14,2105.71,485.932,161.977,0,0,323.955,161.977,0,0,161.977,161.977,0
14.6,5041.12,5169.88,7933.19,7454.18,7031.24,4398.12,8207.21,7039.7,5807.67,6105.5,7792.73,4954.89,1208.23,744.573,595.658,744.573,148.915,0,0,0,0,0,0,0,148.915
15.1,5478.78,7784.87,7748.12,7231.94,7197.63,5647.84,4612.61,6851.32,5855.71,5651.53,8232.05,4724.92,1789.1,1238.6,963.359,759.175,275.245,0,0,275.245,137.623,0,0,137.623,275.245
15.7,4374.82,5871.27,5422.46,6729.73,6954.09,6641.36,5875.54,5268.18,5453.37,5167.28,7178.55,4432.28,3063.27,1148.73,1021.09,572.277,510.545,255.273,127.636,255.273,127.636,127.636,0,0,0
16.3,4407.28,6286.62,5929.32,6133.84,3912.28,7049.68,5039.15,5899.99,4591.01,5273,6487.87,3762.76,1187.17,1778.31,355.662,592.769,0,118.554,0,0,0,118.554,0,0,118.554
16.8,2867.36,5452.03,5262.53,6056.15,4352.23,4902.13,5397.82,6854.65,4602.35,4158.18,5726.82,3527.55,770.467,1102.83,661.7,330.85,0,110.283,0,110.283,0,220.567,0,0,0
17.5,3997.74,6345.78,4436.83,6724.16,5404.93,4258.63,4056.49,3992.17,4289.81,4216.46,5298.44,3718.62,2057.62,823.046,205.762,411.523,411.523,205.762,102.881,0,205.762,0,0,0,102.881
18.1,3089.08,6541.29,4848.9,4048.77,5189.79,4242.37,4187.49,4941.32,4303.52,2930.44,5168.49,3860.24,1922.15,576.644,192.215,192.215,96.1073,0,96.1073,0,0,96.1073,0,0,0
18.8,2250.38,4956.05,4022.69,4015.2,4388.7,4748.76,3376.49,3451.22,3897.92,3447.84,5406.13,2966.39,1080.18,540.091,630.106,90.0151,360.06,0,0,180.03,180.03,90.0151,0,0,180.03
19.5,2564.74,5139.37,3408.9,4822.38,4137.18,3566.12,4684.19,4189.31,2320.56,3249.13,4146.24,2964.42,707.605,928.57,590.908,253.246,84.4155,84.4155,0,84.4155,84.4155,168.831,0,0,0
20.2,3376.78,4980.68,3691.37,4264.86,3030.64,4038.74,2931.51,3375.55,3326.6,3246.1,3930.39,2743.9,1000.11,554.842,395.088,79.2631,79.2631,158.526,158.526,79.2631,0,0,79.2631,158.526,0
20.9,2260.71,3257.62,4195.14,3687.95,3635.19,3860.74,4018.97,3624.57,3107.94,3375.49,4784.72,2150.73,1155.93,412.707,0,371.477,264.74,74.5172,148.465,74.5172,74.17,0,148.465,0,0
21.7,2608.37,4265.24,3122.43,3493.97,2921.49,4121.29,3622.66,2456.33,2234.04,2967.97,3677.03,2172.99,1003.88,659.111,209.35,279.628,171.285,68.9845,0,0,70.205,70.2179,0,0,0
22.5,2128.09,3379.95,3151.75,3283.41,3625.86,2995.28,3248.61,3126.7,3346.39,2518.41,3690.37,1871.19,775.811,585.796,194.155,65.2241,131.069,65.2041,107.234,0,0,0,65.8394,0,131.679
23.3,1198.51,2079.66,3171.37,2449.72,2421.96,3380.3,3154.71,2789.54,2478.3,2403.96,3352.31,1852.27,734.17,488.407,308.612,0,185.738,131.029,85.2252,123.593,0,0,62.1598,0,0
24.1,3058.17,2918.23,2306.72,3113.58,2741.35,2988.05,2418.26,2595.13,2403.41,2453.2,3884.31,1550.41,1253.01,347.202,229.369,55.3455,173.964,106.996,0,0,0,116.29,56.949,0,56.1953
25,2690.81,2542.85,3211.92,2951.52,2365.33,2144.08,2851.33,1705.04,2266.52,2810.76,2473.63,1271.08,950.509,661.629,161.524,106.922,54.6376,166.527,110.194,0,111.035,55.5192,0,54.6656,0
25.9,1391.23,2502.44,2294.07,1981.13,2355.43,2954.82,2563.96,1922.83,1846.45,2454.36,2889.3,1425.66,514.102,419.007,154.246,210.221,102.965,51.9675,0,0,52.6428,52.7709,52.7709,51.9063,0
26.9,1434.47,2695.49,2123.79,2792.27,2124.53,1784.1,2219.92,2268.35,2614.18,1896.06,3233.39,1308.49,1029.74,383.23,150.365,249.457,49.0897,100.342,0,49.4059,0,0,50.2415,100.483,100.483
27.9,1633.54,2673.15,2355.05,2480.66,2401.58,2512.77,2180.54,2290.08,2228.23,1591.06,2584.87,1406.97,613.873,196.509,184.935,46.4867,0,45.4052,46.5496,0,0,0,47.4883,0,0
28.9,1244.48,1810.21,2321.69,2198.68,2425.38,2280.91,1399.76,1766.61,1354.06,2147.9,2176.37,1237.81,792.437,260.64,238.517,0,87.0782,0,0,0,15.4706,0,0,43.7206,44.2678
30,1339.74,1685.91,1742.72,2012.01,1902.2,2012.65,1823.2,2199.78,1822,1739.6,2151.43,776.306,271.016,123.786,194.836,83.8991,43.0077,0,43.0329,0,26.2576,0,43.0329,42.6171,41.8802
31.1,1317.55,1646.24,1837.54,1975.85,2220.33,1813.12,1728.22,1532.68,1808.85,1753.56,2297.01,730.267,656.054,242.181,79.9866,79.551,0,81.6361,40.8724,82.4563,0,0,0,0,0
32.2,1148.17,2093.11,2189.3,1446.19,1811.78,2057.65,1654.22,1660.85,2204,1567.07,1921.01,1355.25,816.982,388.604,194.212,34.1883,35.491,35.3084,0,0,39.55,0,0,0,0
33.4,1036.28,1712.21,1418.55,1805.24,1581.61,1132.39,1536.26,1075.65,1576.88,1765.33,2104.44,990.121,594.703,451.161,110.33,36.2891,37.6969,35.8597,0,37.2472,37.4628,37.1728,0,37.4646,0
34.6,1318.38,1880.87,2136.44,1882.66,1285.37,1782.19,1575.5,1997.69,1336.09,1405.28,2013.34,629.779,429.939,174.95,212.419,142.994,72.1958,141.423,0,0,34.9955,34.0802,72.512,0,107.473
35.9,1217.2,1434.76,1290.99,1527,1869.66,1491.33,1100.9,1621.7,1334.39,1850.69,1594.6,835.923,699.072,204.188,206.022,172.59,33.1597,0,34.3188,0,0,0,0,34.6564,0
37.2,822.292,1456.95,1363.22,1643.1,1463.81,1507.55,1536.52,1060.39,1578.99,1284.53,1646.3,724.967,487.843,97.0798,157.14,29.656,97.8396,31.0485,31.9673,0,3.3719,0,0,33.4103,0
38.5,1067.85,1509.08,1721.61,1718.22,1353.46,1616.3,1579.76,1417.45,1158.9,1367.6,1296.46,929.386,421.601,210.619,0,59.673,28.1997,0,0,29.6992,25.6631,0,0,0,0
40,1094.86,1355.48,1744.14,1305.57,1542.21,1275.06,1001.44,1218.71,767.12,1164.14,1640.18,764.808,559.256,265.686,152.167,30.3077,151.896,59.5832,27.7526,0,29.8158,30.3752,0,0,0
41.4,967.655,1313.8,1530.67,1372.33,1351.4,1203.11,1326.96,1199.24,1091.16,1145.63,1305.14,687.059,585.1,223.851,131.348,26.8282,0,87.9424,31.2226,29.7184,29.0763,0,0,49.2689,29.7184
42.9,767.982,1565.97,1313.11,1168.87,1352.96,1430.4,1267.51,1177.49,986.108,1152.27,1327.01,603.335,309.091,134.352,125.399,53.8501,0,25.9539,0,28.073,27.0769,27.336,0,7.66298,28.7684
44.5,784.534,1304.6,1166.12,1409.7,1505.84,1145.7,969.443,1160.52,1051.94,838.165,1386.96,639.702,480.225,116.531,51.5368,53.4846,4.54937,2.95341,0,0,26.6649,53.0773,0,27.0378,27.6976
46.1,677.099,1657.24,1114.71,1129.03,1124.38,1030.86,1300.87,1072.42,1030.07,776.236,1383.84,587.45,259.24,120.711,78.3779,130.153,102.195,101.297,50.7441,0,0,26.8609,0,25.0327,26.8609
47.8,1185.06,1498.75,999.447,1112.26,1605.11,1171.3,974.426,1131.66,834.205,1083.66,1022.65,525.761,251.779,117.961,48.5788,21.9799,0,24.9621,0,6.76439,0,0,0,0,0
49.6,1105.53,938.087,1432.75,1016.93,1223.84,878.05,1000.2,1254.22,1058.54,901.617,1086.62,633.648,214.728,59.3763,68.6333,45.9877,0,74.646,0,15.7002,22.0142,49.2865,0,21.8467,22.4242
51.4,567.586,968.465,1116.76,1348.09,1488.08,1125.89,669.574,798.783,933.196,786.974,989.939,486.813,299.884,38.3665,161.549,0,24.4711,23.6445,0,0,22.3432,0,0,0,23.6485
53.3,674.164,1281.85,1034.11,1123.43,1340.7,1098.96,1167.68,1119.67,1108.17,929.141,843.054,611.622,255.667,128.048,41.6188,44.7132,23.806,22.9028,21.8178,0,23.806,0,0,0,0
55.2,691.628,1436.53,891.251,779.568,713.669,1001.21,1061.54,1051.02,764.673,858.086,1126.76,375.625,319.44,103.431,105.332,86.2119,67.1584,67.9226,21.0104,46.3497,23.1748,46.3497,22.4367,0,0
