Sample File	D:\OlinCollege\All_data\OlinCollege\Box Fan\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
Date	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17	03/31/17
Start Time	17:40:40	17:45:44	17:50:44	17:55:44	18:00:44	18:05:44	18:10:44	18:15:44	18:20:44	18:25:44	18:30:44	18:35:44	18:40:44	18:45:44	18:50:44	18:55:44	19:00:44	19:05:44	19:10:44	19:15:44	19:20:44	19:25:44	19:30:44	19:35:44	19:40:44	19:45:44	19:50:44
Diameter Midpoint
 14.1	161.977	161.977	962.668	1619.77	809.887	1781.75	647.909	1124.65	1925.34	1781.75	1133.84	1619.77	7582.66	3383.13	2744.42	1448.6	1913.45	626.831	323.955	647.909	323.955	152.781	485.932	161.977	485.932	161.977	323.955
 14.6	0	148.915	157.369	893.488	1340.23	1003.52	744.573	1497.6	761.482	1489.15	1935.89	1489.15	3692.43	3700.89	2093.26	1348.69	1199.77	1340.23	744.573	297.829	595.658	157.369	148.915	297.829	148.915	297.829	0
 15.1	137.623	275.245	550.491	1238.6	963.359	861.673	1447.29	963.359	1789.1	1034.42	1376.23	1513.85	3822.81	2997.07	2201.96	1238.6	896.797	688.114	963.359	275.245	137.623	137.623	208.684	0	208.684	137.623	412.868
 15.7	255.273	510.545	765.818	510.545	382.909	673.269	1465.73	638.182	765.818	1338.09	928.541	1056.18	4308.82	4181.18	2042.18	1531.64	827.549	510.545	255.273	127.636	382.909	382.909	699.913	510.545	317.004	510.545	127.636
 16.3	237.108	355.662	355.662	829.877	948.431	678.733	829.877	594.399	711.323	1422.65	1034.39	1034.39	3407.1	2934.52	2372.71	1304.09	592.769	355.662	474.216	237.108	118.554	0	474.216	355.662	118.554	355.662	118.554
 16.8	330.85	330.85	441.133	742.434	661.7	771.983	411.584	1182.05	742.434	882.266	1985.1	441.133	3637.83	2253.82	2505.45	661.7	551.416	661.7	742.434	551.416	220.567	220.567	441.133	330.85	0	441.133	220.567
 17.5	102.881	147.016	102.881	747.731	823.046	617.285	439.089	541.97	644.85	1234.57	1028.81	925.927	3939	2627.15	2643.72	1322.84	617.285	411.523	644.85	308.642	102.881	102.881	411.523	102.881	0	205.762	0
 18.1	192.215	150.985	288.322	586.606	576.644	961.073	692.676	961.073	1153.29	490.499	586.606	672.751	3846.6	1836	1784.81	1070.83	586.606	384.429	192.215	288.322	96.1073	96.1073	480.536	96.1073	384.429	96.1073	96.1073
 18.8	180.03	180.03	90.0151	1026.76	450.075	900.151	791.474	720.121	878.108	710.79	778.762	540.091	3572.61	2601.11	1620.27	450.075	440.745	270.045	540.091	90.0151	0	90.0151	90.0151	180.03	90.0151	180.03	90.0151
 19.5	253.246	253.246	506.493	547.836	675.324	1012.99	454.358	422.077	1033.66	675.324	1118.07	369.943	3071.24	2395.91	1298.51	1012.99	422.077	337.662	422.077	0	168.831	253.246	84.4155	168.831	0	337.662	0
 20.2	158.526	157.298	79.2631	237.789	396.316	713.368	681.829	237.789	554.842	554.842	712.14	683.057	3612.11	1791.51	920.847	951.157	475.579	396.316	317.052	79.2631	0	158.526	317.052	0	317.052	0	79.2631
 20.9	297.19	221.306	221.901	146.181	443.77	591.704	518.4	887.502	675.764	592.494	485.042	858.15	2783.02	1851.3	1334.57	592.885	336.458	219.056	298.069	0	223.01	0	71.9071	221.853	72.4914	73.96	222.426
 21.7	70.1853	139.704	490.273	559.48	838.896	416.23	555.55	354.859	487.743	628.601	588.802	869.529	2329.94	1881.47	841.87	696.647	380.668	278.894	208.855	140.31	0	137.319	138.855	70.155	0	139.8	0
 22.5	131.679	64.5142	65.2027	298.615	629.786	786.018	521.275	451.086	647.055	430.45	585.941	784.624	2414.68	1347.12	939.813	429.721	257.301	169.753	195.514	128.307	328.545	129.608	62.444	261.378	131.018	0	0
 23.3	61.4649	62.0654	183.512	330.355	452.424	497.37	427.784	558.173	563.3	634.474	442.744	428.672	2341.33	1440.45	758.885	574.511	556.59	214.828	61.3252	0	60.7436	184.299	122.084	124.299	186.473	0	62.1534
 24.1	0	264.86	172.571	0	522.104	511.897	436.178	281.01	803.756	229.514	387.163	283.456	2329.1	1746.97	866.998	695.196	463.7	398.01	171.069	172.212	57.7217	147.825	56.9692	288.589	57.7585	56.9507	57.014
 25.0	54.7143	188.289	220.291	332.795	716.871	382.917	460.277	717.187	327.177	489.102	440.871	940.325	1946.33	1316.24	879.039	494.734	329.86	386.336	221.621	51.9021	0	74.9077	110.21	165.98	55.5192	54.5445	55.4908
 25.9	105.492	102.931	312.487	413.521	521.525	151.366	468.628	305.379	463.36	522.485	247.686	253.224	1634.75	1474.14	762.116	573.319	121.402	153.554	312.858	157.04	157.209	157.557	0	105.392	52.7709	0	51.9788
 26.9	49.2987	149.524	348.031	234.102	233.001	344.814	519.422	340.6	241.679	495.21	602.78	392.731	1730.05	1249.98	444.249	480.939	376.33	143.206	198.13	45.7634	198.324	50.0955	99.5384	47.4583	50.171	98.7203	49.2343
 27.9	46.4807	90.0291	139.594	286.625	150.778	418.055	445.281	276.007	318.722	326.007	511.779	372.751	1738.17	986.088	709.29	478.731	183.831	90.1463	142.632	188.051	45.6476	0	94.1059	140.588	94.0754	189.764	44.4945
 28.9	15.1576	40.5074	132.879	173.012	266.199	223.169	173.516	578.52	305.692	304.668	399.518	318.828	1651.08	564.847	408.378	308.98	354.919	222.633	131.082	43.5237	224.893	45.3615	181.328	44.4205	45.1183	134.068	133.184
 30.0	66.4803	257.161	124.838	215.814	252.068	335.31	330.852	507.018	294.086	275.581	376.094	249.322	1462.14	966.992	509.611	245.975	254.752	340.021	0	257.468	40.9436	42.9	197.391	128.499	153.199	42.1411	85.1148
 31.1	0	40.1303	78.8565	142.796	237.918	325.168	399.142	240.155	185.743	213.473	240.006	253.719	1151.79	922.872	538.844	358.182	77.2363	119.839	119.019	0	0	204.884	98.2093	0	14.9392	40.698	246.844
 32.2	0	76.3488	35.4477	355.262	238.393	229.45	308.569	147.652	238.967	344.719	380.204	312.104	1221.38	625.922	930.988	384.158	351.123	191.713	114.248	196.366	38.0099	116.381	195.704	115.324	38.1557	75.888	36.3761
 33.4	35.6181	4.14732	151.795	176.637	293.06	373.29	373.152	443.595	179.95	519.139	365.819	327.609	1812.45	624.23	509.142	406.153	142.793	107.529	41.7411	148.701	72.2403	110.704	112.834	0	0	74.1597	0
 34.6	36.256	140.034	135.33	319.915	204.548	353.477	330.465	208.076	386.012	200.448	389.57	419.369	1433.28	374.38	487.137	317.925	201.05	210.799	206.583	150.462	35.121	138.247	70.8427	183.692	34.961	71.5257	69.4954
 35.9	33.9885	65.8663	97.8328	0	196.622	230.851	297.466	175.558	232.907	438.588	130.554	131.534	804.947	662.077	375.919	197.858	129.535	104.433	27.8086	165.475	68.4095	167.719	32.2419	24.4067	0	40.1255	0
 37.2	0	99.0526	128.2	324.824	226.17	254.957	225.083	411.707	428.741	187.011	194.455	392.431	1190.58	886.879	705.605	257.534	190.716	156.134	127.933	27.6165	37.1692	29.1891	65.9886	0	0	24.8898	28.8722
