Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	14:26:39	14:31:43	14:36:43	14:41:43	14:46:43	14:51:43	14:56:43	15:01:43	15:06:43	15:11:43	15:16:43	15:21:43	15:26:43	15:31:43	15:36:43	15:41:43	15:46:43	15:51:43	15:56:43	16:01:43	16:06:43	16:11:43	16:16:43	16:21:43	16:26:43	16:31:43	16:36:43	16:41:43	16:46:43	16:51:43
Diameter Midpoint
105.5	94.3022	31.4944	71.9445	53.2091	177.113	123.492	115.015	84.7051	250.145	129.7	92.0949	165.705	189.692	528.56	456.942	300.375	119.51	94.3022	48.9622	30.2267	0	13.3023	0	15.9848	13.3023	0	32.0377	0	0	16.9244
109.4	117.459	50.3398	100.68	83.8996	160.618	220.473	136.49	119.793	67.1197	162.868	184.579	59.8549	167.799	577.519	429.097	151.019	162.785	16.7799	16.7799	33.5599	33.5599	16.7799	0	16.7799	0	0	0	0	0	0
113.4	50.1499	0	83.5832	133.733	40.5875	90.7374	234.033	118.994	33.4333	140.887	83.5832	93.002	76.2853	599.247	324.77	150.45	217.316	66.8665	16.7166	0	0	0	0	16.7166	0	0	0	0	0	16.7166
117.6	33.1586	66.3171	99.4757	49.7378	116.055	49.7378	116.055	170.927	129.44	99.4757	89.5891	246.041	106.714	478.151	414.482	116.055	149.214	132.634	33.1586	33.1586	16.5793	0	33.1586	0	33.1586	16.5793	33.1586	0	0	0
121.9	82.6076	66.0861	49.5646	16.5215	181.737	66.0861	66.0861	115.651	102.312	133.648	110.457	158.546	165.215	490.452	446.081	115.651	52.5167	34.5191	33.043	16.5215	33.043	16.5215	16.5215	1.47607	16.5215	0	0	49.5646	0	0
126.3	65.8648	65.8648	98.7972	82.331	98.7972	108.959	115.263	82.331	141.891	80.8599	212.589	148.196	125.425	578.703	191.29	148.196	171.881	80.8599	16.4662	49.3986	16.4662	16.4662	16.4662	31.4613	16.4662	16.4662	0	16.4662	0	0
131.0	49.2396	16.4132	49.2396	98.4792	114.892	268.895	147.719	114.892	71.937	114.892	180.545	229.254	88.3502	504.434	334.548	98.4792	137.59	49.2396	49.2396	32.8264	16.4132	49.2396	0	0	0	0	32.8264	32.8264	32.8264	16.4132
135.8	0	65.4496	49.0872	49.0872	81.8121	114.537	202.449	199.399	163.624	229.074	147.262	118.116	147.262	543.539	313.936	179.987	65.4496	49.0872	32.7248	32.7248	16.3624	0	32.7248	16.3624	16.3624	16.3624	0	16.3624	0	0
140.7	81.9463	69.1948	81.9463	65.557	72.8326	98.3356	125.004	128.059	85.5841	52.8055	180.282	144.448	134.752	554.18	426.703	131.114	138.39	65.557	32.7785	32.7785	3.63776	0	32.7785	0	32.7785	0	32.7785	0	16.3893	0
145.9	16.4184	62.0293	49.2552	98.5103	41.9667	49.2552	114.929	82.0919	111.284	129.143	82.0919	165.624	111.284	446.178	244.072	180.602	141.918	114.929	49.2552	82.0919	45.6109	65.6735	49.2552	49.2552	16.4184	17.859	0	16.4184	0	16.4184
151.2	65.4929	32.7464	65.4929	130.986	147.359	78.2838	130.986	49.1197	163.732	171.504	111.03	211.415	98.2393	550.234	244.162	261.972	158.713	130.986	65.4929	16.3732	32.7464	32.7464	16.3732	12.7909	49.1197	31.3098	0	32.7464	0	0
156.8	65.6249	21.3281	114.844	131.25	82.0311	151.245	164.062	65.6249	164.062	138.429	85.6206	98.4373	98.4373	554.838	283.828	168.984	36.402	65.6249	16.4062	32.8124	0	32.8124	0	8.5114	32.8124	16.4062	16.4062	21.3281	16.4062	0
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Inlet Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
CPC Sample Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Low Voltage	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554	25.5554
High Voltage	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87	9357.87
Lower Size(nm)	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831	6.97831
Upper Size(nm)	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634	159.634
Density(g/cc)	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
Title																														
Status Flag	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan	Normal Scan
td(s)	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93	2.93
tf(s)	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657	0.783657
D50(nm)	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41	1284.41
Median(nm)	10.247	8.6828	8.44467	9.15924	8.77189	8.411	9.45504	8.96357	8.59564	8.77975	8.41155	9.05555	8.63656	9.03049	8.72099	8.56657	8.80172	9.17722	8.57287	9.53621	8.36907	8.657	8.14178	7.9975	9.57328	9.36484	8.62428	10.4258	8.01226	8.71549
Mean(nm)	16.1191	13.7216	13.9945	15.9345	13.6787	13.2687	14.9546	14.056	13.8576	13.6322	13.1638	14.6468	13.0509	13.9124	13.0166	12.7521	13.3766	13.561	13.4395	14.5247	12.7524	13.3544	13.9232	12.9373	15.6982	12.593	12.9449	17.3887	13.0132	12.2709
Geo. Mean(nm)	12.2675	10.6911	10.5781	11.6773	10.8396	10.3965	11.4199	11.0553	10.7609	10.7216	10.3979	11.2378	10.3461	11.0877	10.5036	10.3234	10.7175	10.8554	10.708	11.43	10.2519	10.4967	10.7269	9.87795	11.742	10.4352	10.4611	12.9407	10.2687	10.179
Mode(nm)	10.1815	7.63506	7.36525	8.50526	7.63506	7.10497	7.10497	7.10497	7.36525	7.36525	7.10497	7.36525	7.10497	7.91476	7.10497	7.10497	7.10497	7.36525	7.63506	7.36525	7.36525	7.63506	7.36525	7.10497	9.47464	7.91476	7.63506	8.81683	7.10497	7.36525
Geo. Std. Dev.	1.80992	1.74886	1.78385	1.87419	1.72753	1.73102	1.79687	1.74762	1.76301	1.7287	1.71092	1.78221	1.7084	1.71091	1.67801	1.66676	1.69697	1.68785	1.72199	1.74295	1.67046	1.71094	1.78067	1.73324	1.81801	1.59899	1.65379	1.83055	1.73353	1.62632
Total Concentration(#/cm³)	586.732	806.584	861.403	756.191	1986.47	2081.31	1701.98	1917.51	1969.82	1946.57	2294.75	1972.04	2248.66	10078.2	7245.62	4181.47	2431.66	1423.32	810.64	492.134	437.518	303.416	241.462	195.625	201.591	222.583	211.916	113.699	157.381	223.359
Comment																														
