Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017,4/8/2017
Start Time,12:15:00,12:20:03,12:25:03,12:30:03,12:35:03,12:40:03,12:45:03,12:50:03,12:55:03,13:00:03,13:05:03,13:10:03,13:15:03,13:20:03,13:25:03,13:30:03,13:35:03,13:40:03,13:45:03,13:50:03,13:55:03,14:00:04,14:05:03,14:10:03,14:15:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,3179.9,2619.86,5822.74,5093.11,7689.98,6006.47,4280.37,5547.06,5669.07,3856.48,4533.07,4285.84,3356.56,1589.95,353.322,853.247,706.644,353.322,0,176.661,0,176.661,176.661,0,0
14.1,1619.77,2732.54,6742.5,6943.95,5143.8,3697.89,3857.18,5002.9,4129.78,5153,4979.14,5446.68,4049.43,3077.57,1133.84,788.808,971.864,485.932,161.977,323.955,161.977,323.955,485.932,0,161.977
14.6,2382.63,2382.63,5377.83,5432.07,3700.89,6538.72,4585.92,6381.35,4445.46,4624.81,4279.64,3888.69,3127.21,1042.4,744.573,1489.15,595.658,0,407.858,297.829,148.915,0,0,446.744,0
15.1,1513.85,3165.32,5647.03,6815.39,5540.85,4235.68,4648.55,4510.92,5132.48,4062.12,3338.88,4963.42,2273.02,1100.98,688.114,275.245,825.736,275.245,173.56,275.245,550.491,137.623,137.623,275.245,275.245
15.7,1786.91,2680.36,3767.45,3829.09,2622.9,2904.82,4273.73,3925.91,3697.28,3125,2935.64,4458.92,2649.55,1786.91,255.273,708.356,673.269,255.273,0,255.273,255.273,255.273,0,255.273,127.636
16.3,1659.75,3795.35,4917.34,3438.06,3968.91,5662.88,3321.14,4238.61,4269.57,3438.06,2846.92,4388.12,2694.15,1066.99,1307.35,527.588,323.071,237.108,118.554,118.554,0,118.554,0,118.554,118.554
16.8,1764.53,5262.53,4268.47,4271.5,4128.63,3134.57,3637.83,3055.35,3659.47,2948.1,3769.75,3387.72,1845.27,1102.83,768.951,301.301,330.85,220.567,110.283,110.283,110.283,441.133,110.283,110.283,0
17.5,970.063,6127.06,3775.41,5112.86,3391.45,3949.99,1851.85,3363.89,2801.73,3525.51,4389.08,3569.65,1614.91,970.063,1234.57,130.447,411.523,0,102.881,205.762,205.762,0,205.762,102.881,0
18.1,1314.23,5738.85,3872.8,3630.77,2938.1,3599.5,2817,1698.66,2841.99,2498.79,3473.51,2169.24,1304.27,929.805,672.751,480.536,672.751,202.177,192.215,192.215,192.215,96.1073,96.1073,96.1073,0
18.8,1138.82,8575.32,4503.41,2637.7,3510.59,2380.37,2696.35,2939.12,1868.27,2790.47,2070.35,2498.38,1710.29,1408.87,810.136,180.03,270.045,170.699,157.987,90.0151,0,0,180.03,90.0151,0
19.5,780.411,6815.25,3429.57,3144.86,2629.31,2975.21,2659.04,2384.3,2669.83,1648.6,2564.74,1351.47,1551.76,358.334,168.831,538.774,168.831,84.4155,20.6718,84.4155,0,0,0,168.831,84.4155
20.2,554.842,4438.73,3454.81,2790.4,2761.31,3170.52,3030.64,1823.05,1787.83,1938.37,2029.3,2634.32,2028.07,1584.03,475.579,286.742,634.105,317.052,0,158.526,79.2631,79.2631,78.0351,79.2631,0
20.9,670.219,4936.7,2370.17,2516.92,1885.79,2216.8,1935.29,2185.49,1850.96,1889.67,2037.15,2595.38,1782.63,1189.78,668.117,0,146.237,147.92,296.377,297.736,74.5172,73.3832,1.15448,73.95,0
21.7,1107.2,5009.12,1939.83,2728.72,3048.04,2384.73,1740.55,2129.67,1756.38,3033.58,2255.34,2446.26,1114.6,978.696,204.829,209.352,68.3014,136.052,208.86,209.167,139.815,0,70.2179,148.061,0
22.5,761.706,4291.12,2122.02,3299.63,2064.52,1561.05,1563.65,1616.66,2047.14,1336.42,2080.06,2342.48,1409.87,652.383,258.034,409.404,63.8353,130.256,130.867,65.1486,0,196.869,131.679,58.6698,65.1993
23.3,946.915,4334.14,1871.55,1920.48,1795.94,2319.87,1764.77,1849.14,1990.49,1833,1782.74,1620.13,1200.03,490.76,679.425,414.72,120.674,248.626,59.9498,59.9911,61.4066,0,185.806,0,0
24.1,781.578,3418.72,2863.36,1885.42,1465.21,1967.9,2442.57,1995.07,1689.13,1827.64,1696.65,1631.58,1091.66,640.545,553.663,179.248,232.361,233.999,350.262,0,233.287,175.52,56.6742,0,117.024
25,787.658,3334.34,1720.59,2163.54,1554.11,1695.62,1855.31,1501.37,1584,1481.75,1980.42,2060.64,982.182,879.229,409.063,322.035,218.131,164.065,108.599,108.585,109.411,54.6899,54.1125,276.798,55.487
25.9,853.852,2590.64,1981.57,2181.41,1895.38,1736.01,1473.41,1623.14,1654,1582.46,1264.85,1580.73,989.718,647.9,361.484,387.711,124.95,261.438,158.16,104.644,0,51.7535,0,0,51.8277
26.9,507.298,2622.07,1909.6,1739.18,1344.26,1402.87,1329.66,1453.99,1279.37,1656.46,1237.16,1451.69,643.476,772.292,400.154,175.613,179.137,49.3692,47.3362,48.4,0,47.5388,50.2415,0,0
27.9,756.589,2315.83,1206.68,1819.91,1504.69,1265.56,1324.45,1836.4,1262.66,1170.1,1453.69,836.666,649.765,750.635,285.088,284.452,283.615,188.662,44.7623,189.036,0,0,47.2363,46.4931,45.6936
28.9,335.632,2415.92,1428.25,1591.41,1769.81,1114.86,1307.01,1330.37,1794.34,1071.63,1938.82,1607.94,677.45,682.792,174.557,187.405,175.615,131.154,135.965,181.335,43.3933,0,42.6671,0,0
30,713.411,1754.03,1261.91,1435.03,1516.13,1415.58,843.354,1305.59,1254.55,1222.77,1340.3,962.121,611.817,275.768,191.943,239.172,211.594,84.253,127.984,25.1925,0,85.7594,0,42.8961,85.6062
31.1,493.786,1938.91,1697.97,1106.5,1614.78,1143.85,1409.73,1481.77,909.88,1063.14,1445.94,1226.9,567.983,279.277,379.298,78.4074,119.991,287.44,114.588,97.5515,41.0633,79.8336,0,0,0
32.2,219.056,1868.28,1493.63,1525.31,1179.92,1242.22,1085.42,842.279,1201.14,1246.03,1531.05,738.417,813.078,344.324,302.2,150.418,114.229,76.8982,44.908,38.2152,157.266,36.1764,0,0,37.2814
33.4,436.119,1616.96,1582.6,1500.21,1092.71,1330.14,1109.53,1174.84,1100.87,1134.97,1385.94,910.353,581.525,330.995,219.361,222.614,185.841,0,112.866,110.811,37.181,36.7012,34.5292,34.4843,36.4895
34.6,588.349,1728.5,1074.32,942.752,788.942,974.562,1097.6,965.214,769.974,765.151,1217.79,1221.25,590.967,134.865,312.988,253.023,74.6031,0,35.3241,35.0066,33.7981,0,83.946,35.321,0
35.9,531.486,1429.3,986.107,1052.01,1010.46,1034.92,1016.37,865.674,691.942,695.875,1706.77,694.927,719.145,373.989,126.831,94.8056,164.081,101.445,102.993,102.336,67.4585,33.6291,58.0554,30.9819,0
37.2,420.573,1348.57,1214.88,858.225,886.473,980.788,861.384,1215.06,1273.84,802.214,1596.7,848.922,469.426,225.609,290.395,96.1264,61.0621,91.6077,0,30.8067,30.7386,33.4103,32.3855,65.7645,32.6697
38.5,429.731,1312.47,1347.81,961.405,991.162,709.611,1079.35,1112.87,876.766,622.759,1375.24,752.97,294.762,375.178,53.7195,177.512,60.2305,28.7162,95.6869,62.9037,30.9276,96.0593,0,31.5403,61.4792
40,442.497,738.509,810.786,982.739,1013.8,825.017,999.717,792.66,947.933,850.736,1726.14,908.357,580.524,399.431,112.773,120.635,25.6763,27.2785,90.3168,30.3752,92.8051,0,0,29.7836,59.4603
41.4,417.523,1269.29,1095.09,763.24,1067.1,991.04,564.968,978.82,729.236,900.947,1425.18,676.419,421.672,289.643,78.3151,201.404,166.802,144.651,0,0,57.1565,0,77.8192,29.7184,0
42.9,312.331,1176.88,956.82,1023.33,588.556,782.893,679.297,959.344,447.509,970.499,1609.65,697.134,488.434,248.37,160.023,83.3563,90.021,48.7532,27.8009,25.7159,23.8891,0,35.9462,0,0
44.5,386.299,1115.24,1150.7,757.527,936.758,841.484,764.817,1017.5,941.065,360.399,1272.92,617.563,184.445,207.301,152.237,79.995,80.0747,21.5183,26.9439,23.0466,0,55.3951,26.2422,24.7331,83.0927
46.1,381.232,1073.44,977.239,600.372,935.64,706.784,771.968,914.793,471.294,534.947,992.357,709.977,333.62,227.683,313.449,152.377,101.233,50.6781,51.7808,22.8524,23.5128,79.6949,25.0122,51.891,52.0542
47.8,354.747,990.201,899.905,928.493,903.033,669.87,458.407,722.37,586.12,655.716,1074.73,687.08,482.741,172.966,200.215,75.4904,45.7831,21.6079,0,48.8524,0,23.8186,75.7792,76.8536,22.9966
49.6,447.261,753.808,890.202,929.853,766.2,598.412,714.343,747.612,616.763,585.277,972.673,410.792,450.166,194.369,168.494,134.633,68.6295,47.7059,21.1089,22.3727,48.515,0,0,0,23.1449
51.4,390.525,1088.18,743.522,700.339,363.38,849.44,676.014,814.491,475.809,514.178,1024.88,367.662,177.954,122.12,206.207,41.9745,46.1382,0,0,20.2604,24.4711,22.2793,0,72.3627,19.6542
53.3,323.742,740.795,894.269,536.895,806.47,814.966,673.255,658.502,545.384,530.02,961.287,720.687,427.194,103.428,147.75,113.972,103.954,163.14,63.0975,45.1773,46.918,0,21.1918,21.8397,0
55.2,165.521,965.964,888.875,968.817,542.41,731.878,708.756,583.552,687.048,669.537,835.085,668.838,277.048,176.601,170.746,191.924,39.6088,39.7503,0,22.6857,21.814,0,0,0,40.1043
57.3,254.956,812.134,643.349,874.78,388.989,588.627,536.614,491.054,463.177,623.65,1296.2,649.055,534.733,10.0598,81.9081,11.6813,84.427,60.7264,17.2198,0,0,0,0,22.1701,25.5453
59.4,238.311,514.614,609.477,681.566,531.896,416.357,465.488,584.008,537.715,470.219,824.829,490.188,234.107,86.5293,176.443,98.196,34.3537,19.7593,62.6495,22.0053,0,22.0053,64.2687,0,42.5679
61.5,332.268,718.571,676.614,641.716,685.571,377.201,700.802,561.63,307.061,580.383,723.069,509.386,271.597,99.6395,121.74,47.4722,59.8543,98.048,17.7133,19.5779,77.3751,17.8251,0,0,17.0477
