Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\High2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	10:04:00	10:09:04	10:14:04	10:19:04	10:24:04	10:29:04	10:34:04	10:39:04	10:44:04	10:49:04	10:54:04	10:59:04	11:04:04	11:09:04	11:14:04	11:19:04	11:24:04	11:29:04	11:34:04	11:39:04	11:44:04	11:49:04	11:54:04	11:59:04	12:04:04
Diameter Midpoint
 17.5	1449.47	2169.73	1998.91	1771.77	1225.8	1676.61	1718.92	1308.54	1282.12	1916.17	2421.71	1324.42	197.248	98.6242	0	0	0	0	0	98.6242	0	0	0	0	0
 18.1	975.782	2151.78	1219.13	1631.5	1437.32	8136	1345.01	1394.18	1301.87	975.782	3573.5	1160.4	92.3074	92.3074	92.3074	92.3074	0	92.3074	0	92.3074	92.3074	0	0	92.3074	92.3074
 18.8	1039.37	2615.68	1194.64	1376.84	1797.68	12179.2	1212.6	1550.07	1594.27	1039.37	2708.02	758.315	86.6139	86.6139	0	0	0	0	0	86.6139	0	0	0	0	0
 19.5	763.422	2480.87	1871.45	1608.21	2054.11	1759.76	1639.33	1057.78	1097.63	1057.78	3558.57	864.714	81.3674	0	0	0	81.3674	0	0	0	0	162.735	0	81.3674	0
 20.2	1194	1529.37	994.864	1472.03	1376.32	1348.24	905.884	1760.14	1300.98	918.336	3441.39	736.015	153.056	0	0	0	0	0	0	0	0	0	0	0	76.528
 20.9	1147.27	1831.01	1399.53	1504.5	1224.24	1362.44	1072.48	1039.26	1002.65	855.448	2972.24	140.9	0	0	0	0	0	0	0	0	0	0	0	0	0
 21.7	673.334	1582	1387.68	1288.02	1084.08	1085.14	668.918	1034.07	1148	815.458	2455.34	752.416	66.7588	67.9845	0	0	0	0	68.0049	0	0	68.0049	0	0	67.4043
 22.5	950.167	2129.04	1321.49	874.683	845.293	1488.89	949.395	1198.28	627.517	1129.87	2080.57	539.488	62.5148	63.1978	0	0	0	0	0	0	63.8426	0	63.2362	127.713	0
 23.3	661.05	927.693	1570.57	606.279	1176.98	924.755	1258.02	586.078	530.6	1319.02	2209.3	330.102	58.9531	0	0	60.3705	0	0	0	0	0	67.5722	0	0	0
 24.1	550.134	1573.71	1232.25	1341.06	1502.07	872.294	899.19	681.336	446.191	1131.96	2073.08	671.538	56.1465	56.8862	0	0	0	0	0	0	0	50.1145	0	0	56.9025
