Var1, H UFP, H PM_1, H PM_{1-1}, H PM_{HEPA}, L UFP, L PM_1, L PM_{1-1}, L PM_{HEPA}
AA NP,0.11195649097674,0.127735170708072,0.179828961024014,0.148912696198623,0.0658556062042905,0.0659758646657698,0.0663010314929418,0.0685888553443795
AA P,0.143753248310165,0.14785451577668,0.151493933934823,0.157726536989355,0.058010406171534,0.0556171181709847,0.0540954797811328,0.0541180715272843
Box Fan,0.0461012048930015,0.056331053400791,0.0918429727854324,0.081781576467943,0.0513313363151785,0.0622974666387389,0.0779323404469605,0.0718837519951044
Holmes,0.0343295531640083,0.0310900225341173,0.0299569828747047,0.0361768272543765,0.0289735960411377,0.023709489824342,0.0213692337281848,0.0273278682541711
HEPAirX,0.134327497767149,0.138207162905645,0.141400680053533,0.146826328373667,0.0952335750031309,0.0983249682623578,0.100599920042091,0.112497217834063
IQAir,0.168399010802961,0.165857621716643,0.174428101063589,0.18514587426728,0.082635681891248,0.0772014373732809,0.0740693428086311,0.0732310353499065
Sham,0.016352475884919,0.0130964997623052,0.0164413268476593,0.00453891373074938,0.0272742476093259,0.0154465084620557,0.00945757897682955,0.00413444672837224
No filter,0.0249461435430018,0.0123171336094131,0.00889591574403228,0.000998114291604765,0,0,0,0
Avg,0.106477834319004,0.111179257840325,0.128158605289349,0.126094973258541,0.0636733669377533,0.063854390822579,0.0657278913833236,0.0679411333841514
