Sample File	C:\Documents and Settings\bostonair\Desktop\OlinCollege\No Filter\Baseline2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	51
Date	03/10/17
Start Time	18:18:34
Diameter Midpoint
7.37	5091.37	0	312044	1.9832e+006	2.53458e+006	1.68253e+006	1.15391e+006	875833	893293	1.01875e+006	1.11345e+006	1.12236e+006	1.12562e+006	1.21174e+006	1.26043e+006	951048	877222	749501	501140	379105	201984	186710	158866	205642	175890	108549	85240.1	113840	84603.7	96178.3	80905.2	60538.7	65034	30746.9	43276.7	52106.9	21558.6	28002.5	15472.8	28997	17819.8	13722.9	5091.37	28997	15274.1	12728.4	15274.1	7637.06	12728.4	2545.69	5091.37
7.64	0	0	242711	2.14723e+006	2.47719e+006	1.90707e+006	1.31417e+006	861270	893235	1.02799e+006	1.0495e+006	1.08882e+006	1.05853e+006	1.12826e+006	1.1465e+006	1.00391e+006	932309	866267	531436	394575	198741	202943	182497	164909	147539	105079	92003.5	75758.9	77948.3	58040.7	61063.5	64378.6	59729.3	47663.5	32613.6	51017.3	34618.1	43484.8	22752.2	22921.9	26090.9	23106.7	23106.7	15219.7	23916.6	14224.9	19568.1	6522.71	13230.2	7702.23	4348.48
7.91	4.71928	1870.78	209083	1.93618e+006	2.41864e+006	1.89727e+006	1.24775e+006	814838	827615	947499	936906	1.06111e+006	949015	1.00194e+006	1.04847e+006	997173	799820	758228	468551	393154	241752	201465	192400	157875	123172	135098	131680	89825.7	95260.1	82164.7	46624.6	65482	51207.9	44908.1	56128.1	36410.1	46774.2	22454.1	34544.1	19573.1	24324.8	34380.3	15667.8	14966.2	28066.4	10219.2	11224.7	14966.2	14811.9	17692.9	9353.89
8.20	4858.44	2363.11	199396	1.93182e+006	2.07889e+006	1.84536e+006	1.09249e+006	749001	799308	887186	860302	899583	888105	907665	1.01721e+006	879050	808472	689343	475215	336590	192571	208222	149290	140576	137074	98714.7	116267	80745	75762.6	80761.4	70153.7	47606.3	48352.7	59690.4	45243.2	47738.6	32412.8	43486.1	37267.1	36256.3	26671.7	21062.8	20052	12966.8	27550.3	12958.6	16208.4	18571.5	17825.2	16950.7	11209.6
8.51	2829.81	5011.67	109534	2.03046e+006	2.00784e+006	1.64601e+006	1.03224e+006	724389	778224	744092	779141	871004	804881	853840	895774	874406	723062	673215	471322	329951	172081	204970	157651	164608	138609	106617	117148	90145.3	91937.9	97737.1	102490	50019.7	56446.2	56704.9	34974.3	49771.3	42447.2	33419.8	48875.1	33299.4	34336.7	21223.6	26224.9	30869.3	14149.1	12734.2	21223.6	5011.67	20964.9	9127.06	19927.7
8.82	2480.79	439.435	177206	2.09325e+006	1.78643e+006	1.57817e+006	940755	668578	748424	769915	740280	781071	816844	818892	739620	771353	663751	616765	421556	319298	190411	161761	167531	140653	118922	142829	117837	109438	71482.1	94461.3	59595.5	58277.2	76443.6	56087	55548.2	50069.3	47212.9	39210.4	32455.6	42364.7	19385.5	32328.2	30322.3	22553.9	21526.1	28968.5	21965.6	14083.8	19272.1	11276.9	14884.7
9.14	3051.67	705.085	269276	1.81341e+006	1.6234e+006	1.40047e+006	813610	660364	636123	716723	654360	663642	689376	724671	744807	665967	687285	559881	441826	255724	165315	167452	144507	143776	123771	133345	102439	89730	74059.3	73285.6	61816.8	69304.8	60508	63613.8	42997.3	45636.5	46435.8	47975.9	26944	36580	45893.4	23729.6	25790.7	25533.8	28422.7	36066.2	14289.1	12492.1	15992	17470.7	5235.51
9.47	2133.79	2902.81	170964	1.26362e+006	1.55063e+006	1.2912e+006	752277	649640	624166	615612	589314	655010	606282	680192	654855	590156	598485	527312	404144	225013	147986	162646	140198	124217	120941	128605	89407.2	82664.1	80427.2	57060	61921.9	50653.9	59169.9	56116.3	41205	45375.7	37611	39149.1	33716.7	22599.5	37064.5	24611.1	21535	21137.9	22327.9	22327.9	16125.1	20740.7	20542.1	10643.7	11064.7
9.82	3439.03	1719.52	95750.4	975891	1.34591e+006	1.14256e+006	663351	618988	598725	640554	562883	582755	578956	602369	626211	573004	574607	501190	364765	228497	146924	141890	138485	133300	111627	97589.6	105023	87039	94553.1	62889.3	60972.1	60295.4	56501.7	61576.5	36917.6	46656.4	34543.3	34562	35326.6	34166.7	24907	31868.8	26143.3	23856.9	21098.7	20805.8	20238.9	22430.2	16137.8	12896.4	13265.7
 10.2	769.375	769.375	54962.1	907432	1.2435e+006	1.06899e+006	647918	539357	519074	571742	525908	524634	556195	532678	568449	524001	508776	451507	329326	232931	144368	137713	115279	107976	104753	103386	95147.7	75886.1	73006.7	68437.7	51511.4	52257.8	48171.9	51803.9	48673	41066.2	42016.9	31934.3	28413.4	26612.6	34370.3	31443.7	24321.2	28739.4	17182	25651.4	10963.1	24374.7	8527.07	13912.7	12699.9
 10.6	2070.39	1380.26	39398.3	901426	1.20051e+006	972283	569798	484616	502216	561569	476963	503944	481278	549493	497159	475070	460290	453844	302415	199744	124347	125784	116470	94266.5	104733	91562	75172.3	73332.4	81324.7	51936.3	72640.2	69650.3	55041.4	45322.2	51015.7	47392.6	42963.6	33361.2	30195.7	32956.2	30137.3	29562.9	26400.5	27031.2	18751.7	14492.7	18462.5	16219.6	12366	16161.2	19556.6
 10.9	1240.98	2481.97	40258	791598	1.06553e+006	890823	482744	475069	440609	505689	437880	448346	460236	488975	500721	452417	455484	369731	283937	190690	119257	117783	121612	84877	93966.2	86374.2	83254.2	75677.8	61097.6	57740	58980.9	53396.5	55677.8	53816.3	38907.9	44509	36078.2	35401.3	30074.9	27190.7	22227.7	25895.1	24343.4	20731.5	26825.4	25842.4	23359.5	16387.1	19691.1	10858.1	15765.7
 11.3	2243.68	3365.52	52249.9	720950	972836	779601	438033	419277	417285	403785	439856	417826	447990	404625	435524	448734	414804	357502	270896	177966	122258	106279	102487	98650.2	96248.3	89191.6	72632.1	62680.4	63624.5	70483.9	53656.3	52001.3	52024.9	44555.2	41896.5	38973.7	36957.1	30125.4	33512.5	31482.5	26434.2	24034.3	32625.9	17971	21079.7	19446.3	20362.7	17232.4	13226.8	16622.2	15371.9
 11.8	3415.44	3560.51	38313.3	734450	816014	759894	364877	376375	394837	437769	360627	399334	406349	374985	403167	385631	368287	324150	265881	186736	93800.4	100162	88905.5	98233.2	78571.5	80401.8	79193	63399.9	56366.6	64997.4	47413.4	59087.1	56431.2	50198.5	41906	38039.3	43399.8	33653	28301.6	27130.2	26184.5	26370.8	28244.3	26693.2	22147.6	21420.4	17827.7	16462.9	15171.6	13266	11247.5
 12.2	4291.5	4159.68	24658.6	584363	698863	662132	309041	309855	358743	362933	335488	357664	336506	377393	362725	358472	355475	308761	238623	156881	111948	97262.5	97374.8	97192.5	90197.9	80824	66230.9	58227.3	63889.1	58940.1	49230.9	51590.7	44975.3	38865.9	41489.3	43906.1	39497.4	34149.7	37235.3	29544.1	28603.5	18946.4	23519.4	22643.9	19623.4	16124.4	15545.1	17807.2	13994.1	16770.5	11964.8
 12.6	3798.39	2110.22	23536	461655	597974	517177	295655	284840	309348	330323	336276	345039	320593	338570	334875	347128	311109	281674	202128	118846	103009	95670.9	87213.5	90221.7	62141.5	71820.8	69316.3	59949.4	52317.3	53124	48922.5	45304.4	45878.6	34600.7	45304.4	38171.8	38873	33611.3	25979.2	31095.9	24119.9	24928.7	22853.8	21327.4	16532.4	16738.8	15967.4	17493.7	12689.4	13262	6825.37
 13.1	2320.81	2320.81	16327.1	290178	487916	422228	276495	231253	255992	298842	261215	281313	285601	299737	319542	299967	304150	272060	200653	130559	85438.9	89838.5	76236.5	66537.4	74695.6	76571	60049.4	60247.1	63176.1	44734.3	49864.2	52261.1	40692.4	39656.7	44190.6	31880	36603	28943.1	26101.7	30442.7	31327.8	21367.1	20602	22733.6	21105.6	18752.5	12970.5	14989.1	12575.3	10614.4	13965.6
 13.6	1772.42	3000.69	12776.9	248717	405175	301872	218247	216444	231562	238499	241121	234902	275332	291863	296284	263632	258785	233028	183139	106520	73011.2	83191.2	71790.5	73499.4	67804.6	76661.2	61211.1	57064.6	53201.8	53763.1	39622.1	44458.4	46924.5	35697.6	34163.1	32668.3	32271.8	38501.1	28443.1	33085.9	27791.7	21422.4	21694.5	21529.7	19996.9	22062.4	16306.2	11060	12110	10492.8	8107.26
 14.1	3442.55	2124.01	10384.8	196382	294629	261546	167260	160539	180107	203044	205284	228008	240605	242744	237791	241718	267905	212422	164411	89660.9	74467.5	73423.2	66425.6	68749.8	58532	53539.9	63041	52674.7	53615.5	46482.6	50880.1	40106.3	41170.7	39380.7	39233.9	36574	35768.5	27942.7	24905.9	24518.6	22916.3	19700.4	19716.3	20577.2	16544.3	18478.5	15793.3	14708.3	13657.7	13234.4	10368.9
 14.6	3673.29	2091.66	8012.94	134925	215621	193602	125622	124346	143027	158708	172616	188990	191429	208586	220257	211582	211713	190352	140561	85322.2	73229.1	73323.3	59773.8	62666	59293.2	55321.1	53775.5	51280.3	53160.7	42688.5	40119.6	35587.6	39080.7	28519.3	34005.9	29595.9	29786.6	21617.3	24600.4	23059.8	26978.7	14657.1	17964.5	15570.7	14761.9	16499.9	12287.2	9788.6	8559	10070.2	11526.6
 15.1	2043.27	1933.05	6982.2	94199.2	168496	145435	93050.1	96045.8	109882	140409	129598	154648	163026	175503	188289	184530	187991	161972	132966	80177.2	63533.8	54847.1	60566.8	52625.7	54388.2	56091.8	48881	44961.4	43612.4	38963.6	35556.4	33767.5	32527.8	34459.9	31642.7	22200	29156.4	21063.7	20765.7	20085.2	20922.7	21901.2	17040.7	15653.1	16117.9	18129.4	14436.1	13779.4	9198.25	13996.2	9244.94
 15.7	2232.25	2718.95	5207.31	73378.7	112731	104404	75228.1	77091	88479	94002.8	107246	122817	143121	146380	149702	162218	169467	162314	110340	71776.9	49831.4	49511	56720.9	49807.9	50726.5	44149.7	41071.7	37401.9	40356.2	40231.5	32928.9	30496.3	31059.6	34000.6	29245.1	29574.9	26137.7	23705.1	21473.8	19475	18865.4	16082.2	17781.4	16129.4	12475.8	14964.2	10997.8	14305.5	12160.2	13330.1	11831.3
 16.3	4014.87	1280.72	4581.93	58678.2	83577.5	80310.3	49063.6	57080.2	72347.3	87722.4	87706.7	91581.2	105824	119622	131947	132360	146704	128780	86896.4	67555.6	45694.6	53035.7	38843.4	40068.8	44246.9	36713.9	39237.7	37148.9	33511.8	33744.9	28025.8	31263.8	29459.9	27626.7	26898.4	25197.3	23056.3	22352.5	21869.9	20728	20128	18484.2	18280.3	18531.7	13328.4	15187.7	11391.4	11179.6	11213.6	12417.6	8834.69
 16.8	2018.79	2987.76	4287.19	32444.5	55417.3	57366.8	32762.1	41780.7	46399	51074.7	57351.1	74807.7	81487.4	102124	103282	109674	122385	100314	76897.9	55928.8	35213.3	44546	33816	31657.9	36166.4	37509	33843.7	35281.2	33013.3	36042.3	29707.5	27230.3	20827.6	28559.2	19389.5	22764.4	20329.5	20025.6	20662.3	16664.9	16720.9	14963.5	13843.5	16885.6	12198.8	13124.8	11327.3	10800.9	11838.9	11271.8	11672.5
