Sample File,C:\Documents and Settings\bostonair\Desktop\OlinCollege\No Filter\Baseline2.S80
Classifier Model,3080
DMA Model,3085
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01905
DMA Characteristic Length(cm),0.04987
CPC Model,3775 Low Flow
Gas Viscosity (kg/(m*s)),1.822e-005
Mean Free Path (m),6.642e-008
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
10,03/10/17,16:46:18,,358922,1.01875e+006,1.02799e+006,947499,887186,744092,769915,716723,615612,640554,571742,561569,505689,403785,437769,362933,330323,298842,238499,203044,158708,140409,94002.8,87722.4,51074.7,44180.7,28629.5,18218.7,14011.9,8944.91,7449.18,3411.09,1700.89,2854.88,2580.59,2136.21,2729.96,1968.61,1507.65,1949.13,2961.29,2243.41,2559.13,2538.53,2156.64,2599.43,2004.3,1954.9,1572.19,1928.54,1820.31,1953.25,1335.37,1386.6,1715.91,1211.33,1220.84,1507.28,1687.01,1501.75,1616.92,1270.97,1046.97,1179.54,924.549,918.992,1550.86,988.618,923.745,1082.92,1121.71,649.604,866.851,802.208,1062.78,832.526,1108.35,1215.71,873.681,949.172,780.14,1040.49,861.006,1183.19,556.561,1209.29,1073.89,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.17851,10.1264,9.66839,7.63506,1.29558,193456,
11,03/10/17,16:48:33,,378612,1.11345e+006,1.0495e+006,936906,860302,779141,740280,654360,589314,562883,525908,476963,437880,439856,360627,335488,336276,261215,241121,205284,172616,129598,107246,87706.7,57351.1,49549.3,34364.8,24855.6,14983.9,9920.49,7835.93,3576.36,2709.81,2905.75,2587.73,1956.85,2282.2,1599.81,1379.98,2891.11,2274.07,1739.64,2659.12,1886.5,2087.55,1963.51,1943.3,1240.9,2152.45,1927.73,2195.02,1934.16,1837.47,1849.26,1231.4,2024.2,1606.33,1053.86,1414.38,1223.63,908.399,874.669,1132.37,1226.49,893.562,1148.17,949.951,1130.77,1098.99,1006.11,1278.76,839.365,669.74,663.799,913.012,1147.06,1090.59,1106.9,1020.36,855.28,1275.75,1166.87,1122.37,959.634,863.395,809.937,927.121,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.06634,10.1044,9.62895,7.36525,1.30251,188541,
12,03/10/17,16:50:48,,333746,1.12236e+006,1.08882e+006,1.06111e+006,899583,871004,781071,663642,655010,582755,524634,503944,448346,417826,399334,357664,345039,281313,234902,228008,188990,154648,122817,91581.2,74807.7,60552.2,42104.3,29384.2,15495.3,10706.1,7265.51,6245.83,3477.93,2427.98,2018.86,1823.2,2815.89,1475.21,1751.97,2506.68,2081.14,2300.23,2435.9,2586.97,2137.45,1746.34,2081.58,1694.99,2132.33,1571.55,1952.26,1396.61,1411.36,1812.27,1435.15,1581.72,1376.18,964.657,1660.76,1203.59,1054.18,1143.52,690.31,1369.39,837.944,804.145,505.606,823.242,951.296,399.708,617.185,835.153,859.964,885.683,871.688,778.809,1175.69,726.76,1009.19,1162.79,1056.55,838.162,1272.54,794.493,834.49,720.003,763.75,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.06926,10.1034,9.65111,7.36525,1.2986,198162,
13,03/10/17,16:53:03,,335434,1.12562e+006,1.05853e+006,949015,888105,804881,816844,689376,606282,578956,556195,481278,460236,447990,406349,336506,320593,285601,275332,240605,191429,163026,143121,105824,81487.4,60759.8,45246.6,29713.5,18028.8,14208,6718.21,5998.01,3429.02,2864.88,2643.61,1829.9,1662.6,2393.1,2179.75,1703.09,2528.64,2000.79,1876.44,2719.19,2340.78,2035.26,1624.35,1911.04,1744.7,2127.29,1704.81,1655.04,1471.61,1678.98,1673.25,1300,1200.46,1259.71,1593.61,1379.63,978.15,759.541,1482.94,639.479,705.791,944.223,1029.65,719.123,1040.67,895.14,969.156,673.594,776.243,646.66,630.555,1237.46,930.678,955.519,970.818,1063.34,861.005,1027.72,1149.87,1120.03,758.268,951.657,732.892,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.13377,10.1846,9.71621,7.36525,1.30369,197007,
14,03/10/17,16:55:18,,355781,1.21174e+006,1.12826e+006,1.00194e+006,907665,853840,818892,724671,680192,602369,532678,549493,488975,404625,374985,377393,338570,299737,291863,242744,208586,175503,146380,119622,102124,70530.3,55344.5,43221.1,23550.8,19302.1,10375.4,5690.03,4331.69,3911.97,2942.73,2390.93,2516.72,2578.22,3290.7,1737.57,1963.15,1788.44,1383.68,1758.57,2365.59,1319.76,1451.67,1862.07,1663.09,1587.52,1486.91,1704.79,1973.36,1025.18,1398.19,1609.76,1151.93,1185.36,1439.41,1167.51,1073.44,1313.99,1154.06,1093.51,885.578,816.493,774.521,913.613,1006.16,825.337,1148.56,914.373,1007,946.928,743.187,1006.64,816.552,1110.99,533.965,1294.3,809.728,898.674,1015.22,732.752,739.154,764.367,853.322,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.13504,10.1899,9.72422,7.36525,1.30546,206982,
15,03/10/17,16:57:33,,351749,1.26043e+006,1.1465e+006,1.04847e+006,1.01721e+006,895774,739620,744807,654855,626211,568449,497159,500721,435524,403167,362725,334875,319542,296284,237791,220257,188289,149702,131947,103282,77845.4,58649.2,42775.7,34717.9,19394.6,12301,9395.72,5581.25,3137.44,2839.2,2472.81,2303.36,1672.92,2339.39,1831.67,1938.34,1983.98,1279.4,2809.82,1955.81,1936.13,2237.24,1627.09,1630.25,1407.3,2138.23,2097.86,1516.01,1395.96,1292.07,1311.16,1138.32,1780.88,1356.91,1188.51,956.122,1159.85,752.851,785.756,741.29,858.161,904.405,521.906,711.229,648.207,787.639,1001.23,879.637,545.173,619.445,946.596,1034.48,832.51,998.503,1100.08,969.509,822.725,956.187,948.249,762.307,866.922,715.744,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.12183,10.188,9.72534,7.36525,1.30616,212022,
16,03/10/17,16:59:48,,266285,951048,1.00391e+006,997173,879050,874406,771353,665967,590156,573004,524001,475070,452417,448734,385631,358472,347128,299967,263632,241718,211582,184530,162218,132360,109674,92138.4,69773.5,53193.8,36350.1,22188.9,15884.3,10890.7,5911.28,2811.34,2895.71,2140.44,2493.85,866.551,2678.15,1898.16,1935.99,1675.8,1588.93,2298.89,1190.04,1687.92,1819.25,1796.52,1533.21,1909.89,2431.95,2105.32,3455.79,3149.74,3178.08,3760.55,2701.06,2636.45,2008.65,1511.32,1447.49,2243.25,967.259,1253.54,1849.14,1601.09,1374.74,2400.12,2165.73,1619.67,2591.52,3484.09,5493.72,5608.95,4806.17,4948.58,4323.07,3061.61,2791.05,2910.83,2822.97,2939.97,1941.89,1920.61,1982.88,1842.24,1811.99,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.25532,10.7728,9.98362,7.63506,1.36719,197003,
17,03/10/17,17:02:03,,189446,877222,932309,799820,808472,723062,663751,687285,598485,574607,508776,460290,455484,414804,368287,355475,311109,304150,258785,267905,211713,187991,169467,146704,122385,105317,82085.4,57161.7,43557,30388.7,26297.2,17923.7,14876.3,12310.7,10822.6,7827.18,7065.16,7745.41,7732.99,7525.3,6427.86,7694.11,6472.79,7283.44,7337.73,7146.36,7442.17,7075.95,6374.75,5059.6,5749.79,5844.43,6052.76,5358.06,6380.85,4777.7,5247.56,4363.48,5403.24,4591.81,3561.16,4487.48,4622.26,3129.26,3139.36,2808.42,2693.09,2737.5,3065.18,3215.42,2845.37,2654.09,2329.28,2280.95,2423.04,2344.62,3069.74,2693.67,2579.3,2052.84,2405.02,2156.3,2418.86,1790.49,1827.95,1542.56,1284.58,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.49748,11.2065,10.2901,7.63506,1.40414,187979,
18,03/10/17,17:04:18,,194791,749501,866267,758228,689343,673215,616765,559881,527312,501190,451507,453844,369731,357502,324150,308761,281674,272060,233028,212422,190352,161972,162314,128780,100314,87029.8,72200.1,52366,43782.9,32318.4,27991.9,18018,14652.5,11206.5,9501,9319.25,9680.39,7642.02,6929.82,7841.86,9181.95,7728.58,6757.3,6523.45,8096.03,7355.48,4484.73,5641,6553.97,5883.62,4466.31,4810.01,4215.03,4079.26,4089.01,3927.17,3914.8,4273.98,3388.34,3213.51,3775.35,2463.68,2508.29,3628.8,2070.79,2481,2409.96,2041.03,2488.84,1737.82,2122.35,2319.11,1943.31,1870.15,1866.28,1867.85,1884.7,2259.59,1717.99,1914.67,1662.61,1435.7,1218.85,1466.37,1363.39,1444.47,1048.93,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.46984,11.1144,10.2548,7.63506,1.39631,167484,
19,03/10/17,17:06:33,,102951,501140,531436,468551,475215,471322,421556,441826,404144,364765,329326,302415,283937,270896,265881,238623,202128,200653,183139,164411,140561,132966,110340,86896.4,76897.9,71381.2,63125.3,42367.2,36511.3,22255.5,19893.8,13165.3,9816.38,9714.21,7427.05,8548.83,9435.7,8752.16,7298.39,6410.65,5437.76,6531.03,6665.95,6054.68,6042.2,6116.23,5839.98,5086.19,3996.76,6053.15,5094.96,4368.52,3588.01,3742.88,3569.9,3208.23,3629.6,3507.72,2884.64,3082.34,2017.67,2661.58,1933.07,1974.66,2448.3,2308.49,1327.38,1647.25,1430.73,1501.65,1377.1,1738.79,1449.22,1522.69,1118.48,1215.78,1521.74,1392.64,1640.77,1658.97,1381.53,1410.19,1316.05,1053.55,835.734,1239.83,979.794,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.65225,11.4045,10.4672,7.63506,1.41087,119448,
20,03/10/17,17:08:48,,115468,379105,394575,393154,336590,329951,319298,255724,225013,228497,232931,199744,190690,177966,186736,156881,118846,130559,106520,89660.9,85322.2,80177.2,71776.9,67555.6,55928.8,48074.6,37237.4,25173,15758.2,13514.7,11188.1,9595.75,8419.87,6367.49,7908.31,3932.91,4611.66,5574.63,4849.97,4948.84,4396.14,4460.4,4324.83,3733.5,2961.82,3548.73,3583.72,4628.58,3243.09,3153.61,3233.48,3225.35,2825.27,2325.04,2336.63,2438.56,2910.87,2532.49,1896.22,2455.02,1768.21,2642.44,1696.64,1636.66,1110.59,1567.76,1570.73,1005.82,1261.08,1554.53,1159.38,929.469,1082.99,1207.21,1129,948.303,1041.04,1074.41,1252.25,1027.48,1624.39,1098.31,994.36,894.572,1170.93,1071.56,1255.64,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.44897,11.3287,10.3089,7.63506,1.42493,81794,
21,03/10/17,17:11:03,,30144.4,201984,198741,241752,192571,172081,190411,165315,147986,146924,144368,124347,119257,122258,93800.4,111948,103009,85438.9,73011.2,74467.5,73229.1,63533.8,49831.4,45694.6,35213.3,33899.5,22670.6,21076,13570.4,13227.6,9515.76,7511.56,4471.92,5896.89,6668.04,5429.74,3967.48,4568.57,4186.39,4141.8,4493.11,4393.76,3495.05,4362.65,3778.19,4047.6,3211.32,3154.84,2907.97,3056.65,2741.52,2968.91,2548.75,2615.05,2639.61,2486.9,2541.45,2371.18,1703.78,1953.27,1814.27,1996.28,1604.96,1421.08,1388.59,1040.28,822.61,1317.35,1585.49,1522.22,1175.94,927.795,1162.16,1395.91,1236.83,1315.92,1608.78,1579.67,1327.53,908.706,1175.9,1207.86,792.025,981.135,1043.73,671.004,752.644,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.86636,12.2136,10.8333,7.91476,1.48579,50990.1,
22,03/10/17,17:13:18,,49975.1,186710,202943,201465,208222,204970,161761,167452,162646,141890,137713,125784,117783,106279,100162,97262.5,95670.9,89838.5,83191.2,73423.2,73323.3,54847.1,49511,53035.7,44546,29510.7,28197.4,21253.2,15585.6,9934.79,10206,9231.75,5998.56,5274.37,5415.28,4700.42,4080.78,4266.65,4566.17,4306.88,5370.31,4592.36,4415.3,3027.54,3243.36,3297.79,3230.76,2811.86,3807.24,3065.78,2991.15,2481.31,2422.16,2920.9,2986.99,2355.07,2144.36,2091.65,1921.01,2152.78,1557.64,1741.8,2061.77,973.742,1313.68,1112.28,1411.42,1423.71,1323.55,1533.33,1166.67,1315.29,1108.38,1192.61,1123.76,1387.09,1276.73,873.152,930.51,913.168,1084.17,1191.15,1261.8,1096.4,1109.62,862.929,909.287,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.84151,12.236,10.8483,8.2047,1.48766,50742.5,
23,03/10/17,17:15:33,,38489.4,158866,182497,192400,149290,157651,167531,144507,140198,138485,115279,116470,121612,102487,88905.5,97374.8,87213.5,76236.5,71790.5,66425.6,59773.8,60566.8,56720.9,38843.4,33816,31845.6,26340.6,23001.4,17490.9,14563.6,10920.1,9048.06,5659.72,4730.26,3771.63,3591.52,4282.02,3278.56,3820,3548.24,3767.05,4215.54,3569.4,3279.17,2592.06,3623.68,3476.15,2355.16,2739.75,2505.01,2791,3313.05,2540.66,3225.12,2544.45,1891.89,2353.17,2580.32,2028.64,1741.64,2167.68,1420.12,1684.02,1560.27,1450.85,1220.97,996.994,1435.17,1344.83,1348.66,957.921,1204.11,676.144,604.43,1302.23,1023.78,1337.51,1021.52,1016.23,1096.49,1175.9,1202.5,1096.17,1109.36,1142.57,994.345,876.366,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.97494,12.4493,10.9836,7.91476,1.49867,45608.1,
24,03/10/17,17:17:48,,15002,205642,164909,157875,140576,164608,140653,143776,124217,133300,107976,94266.5,84877,98650.2,98233.2,97192.5,90221.7,66537.4,73499.4,68749.8,62666,52625.7,49807.9,40068.8,31657.9,31816,26127.7,18896.2,16936.7,15608.4,9961.99,8072.43,7581.58,5272.32,4892.19,5186.86,4830.17,3637.56,4478.93,3370.59,3261.63,3474.13,3509.89,3024.3,3737.14,2909.26,3315.27,3220.7,3515.01,2370.73,2788.76,2828.28,3314.18,2853.81,2389.67,1984.65,2589.99,1584.5,1757.3,1495.04,1574.05,1289.38,1420.87,1127.88,1268.61,1501.62,1066.92,1190.01,863.559,1266.87,1050.79,1057.64,969.986,832.916,1321.95,1095.47,1276.73,1046.02,1335.78,1518.31,836.108,1078.15,1165.15,1003.35,1220.03,1090.59,782.272,120,15,FALSE,1,0.071,3,0.3,0.3,0.3,25.3075,9448.65,6.97831,159.634,1.2,,Normal Scan,2.93,0.783657,1284.41,9.97552,12.5644,11.0408,7.36525,1.50908,43147.4,
