Sample File,D:\OlinCollege\All_data\OlinCollege\No Filter\Baseline1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017,3/10/2017
Start Time,14:03:00,14:08:03,14:13:03,14:18:03,14:23:03,14:28:03,14:33:03,14:38:03,14:43:03,14:48:03,14:53:03,14:58:03,15:03:03,15:08:04,15:13:04,15:18:04,15:23:04,15:28:04,15:33:04,15:38:04,15:43:04,15:48:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
15.1,3219.64,357423,702121,395536,166046,173393,196966,180347,69815.2,69009.5,64432,61754.3,51972,46532,26206.3,16728.7,13197.1,14980.9,14022.8,6304.52,4541.55,4958.92
15.7,3318.54,412365,666059,362732,156791,155305,170562,147690,67259.5,59157.8,53589.6,54299.3,49311.5,38827.2,21943.9,16218.4,14184.7,9132.45,10505.6,7715.74,5465.99,4080.19
16.3,5099.45,323308,652650,345155,144284,142471,151871,124237,59809,52567.1,51687.9,49135.5,41520.4,38746,17260.8,12088.8,12783.5,11132.3,12644.1,5810.77,6541.25,4157.53
16.8,4520.1,285656,620888,305450,142544,134028,132784,110807,49663.6,48263.7,41180.5,44427.2,42238.6,30037.7,17019.3,14762.5,9443.87,10829.4,9422.23,7548.93,6447.61,4484.49
17.5,4115.23,298649,518292,276757,121328,120225,124014,103917,41577.3,41762.8,40702.8,37811.2,35630.5,31950.6,17317.3,13793.7,9926.42,9930.03,8270.98,7565.43,5140.43,5215.74
18.1,4036.51,414163,487836,256707,115850,111780,115093,89573.4,38417.2,41310.4,36500.1,34632.8,31338.8,29590.3,17538.7,12341.3,10799.9,8620.69,8693.19,5574.22,4005.24,4283.6
18.8,3196.46,403931,462933,231379,106637,105697,102743,87504.7,38357.3,37087.7,32663.2,30862.9,28365.3,26352.8,13125.4,10406.3,10599,8289.99,8953.32,5042.69,4649.41,4726.71
19.5,4157.85,277636,416845,216479,103064,96534.2,91718.4,78217.1,38715.9,32215.9,33905.1,30352.2,25075.5,21118.7,13477.5,11471.3,9372.57,8137.8,8050.84,4673.4,4643.67,4125.57
20.2,4851.24,300389,360176,209600,98748.9,93772.5,83853.1,74547.2,34054.5,32074.1,26821.7,25725.1,24889.1,19968,14127.1,9672.16,8215.12,7378.44,8468.26,4482.78,4692.71,4326.7
20.9,9783.93,250368,347844,200897,91651.9,88047.7,84901.9,69870.8,35690.9,27406.5,27675.9,25045.8,20979.8,17888.4,15026.4,8611.47,9514.77,8207.71,6395.88,4268.81,4363.1,3500.92
21.7,5198.54,196394,320934,191679,89843.3,81735.6,76563.4,61009.2,30030.6,28096.4,26686.1,21317.5,20312.2,18750.4,11789.7,9186.55,7593.94,6718.34,7611.27,4301.2,4552.81,3243.53
22.5,4270.98,197157,290117,174306,86389.7,76520.8,73041.9,60517.7,28267.7,28076.9,24306.5,21013.6,20219,17162.2,11501.5,8845.14,6604.38,7522.3,6284.37,4255.15,3571.84,4627.03
23.3,4168.02,200906,282579,172654,80947.3,76733.1,69404.9,59237.5,28212.8,27192.8,24187.2,21914.4,21377.3,19113.6,11376.2,9971.15,6683.03,6957.79,6238.02,4857.37,4399.37,2706.78
