Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017,3/24/2017
Start Time,11:25:00,11:30:03,11:35:03,11:40:03,11:45:03,11:50:03,11:55:04,12:00:03,12:05:04,12:10:03,12:15:04,12:20:04,12:25:04,12:30:04,12:35:04,12:40:04,12:45:04,12:50:04,12:55:04,13:00:04,13:05:04,13:10:04,13:15:04,13:20:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
13.1,2313.2,21949.7,361291,507153,668070,758335,800353,888903,914805,659571,441439,294215,178698,128911,81729.1,51790.4,39090.4,25380.8,15407.8,8539.63,9030.35,5175.01,3084.27,3855.34
13.6,1589.95,38937.8,324620,436431,575906,685408,733057,846023,824291,609318,432088,290616,180882,112991,72052.8,56661.9,41615.6,27352.4,17653.6,11191.5,8119.34,5070.12,3886.54,2826.58
14.1,1457.8,36422.5,293911,386687,516311,621296,693590,755427,760264,584512,395519,261232,178892,118652,69564.9,50410.7,43993.3,26191.7,15366.8,11367.4,9477.72,6479.09,2888,2429.66
14.6,1450.26,27602,257035,340111,418123,541034,607291,684302,699293,540482,368979,252820,170786,120407,77811.7,54256.1,38479.4,21831.4,18083.2,12527.6,7362.89,6364.44,4900.66,2343.75
15.1,2650.77,37979.8,230657,304272,372258,479580,546607,640194,645993,499907,363975,248580,169537,107793,77667.1,51983.1,35980.4,22319.8,17640.6,12054.9,9195.41,4586.49,3756.25,1962.65
15.7,2587.81,28533.3,212404,261429,325848,400875,486830,578964,605232,468488,330628,234476,156538,105655,69579.5,49889.5,35337.3,26808.1,20646.5,11883,9616.35,5933.1,3477.09,2460.18
16.3,2224.82,26019.5,173338,224254,282530,369819,415019,539169,532904,441434,324460,218287,155054,101688,74128,49078.9,32326.9,25309.8,17746.8,9527.51,8499.63,7052.94,3525.66,3169.99
16.8,2612.7,23799.6,151906,198329,249867,320652,389545,483288,479334,411774,303892,217878,147998,101207,71727.9,49914.9,35640.2,25481.9,16997.7,11710.1,8255.75,5590.35,3086.42,4409.81
17.5,1982.3,23626.1,125493,169624,211271,282572,343747,418031,447617,362614,273890,201764,138526,96604.9,66844.2,44379.3,30567,23672.2,16382.3,12355,8208.63,5465.64,2366.26,2983.54
18.1,1643.79,27030.7,112286,140149,184477,240647,296809,379450,379559,345891,259789,188884,138397,91135.1,63571.6,43767.6,35127.3,23561.8,14146,10574.1,7629.73,5607.79,4517.04,2134.28
18.8,2151.03,29746.1,92216.9,121221,161314,201407,257736,320710,347744,309532,232827,179905,130868,86953.5,60370.3,43952.8,32145.1,20914.5,15924.5,10777.5,8319.83,5000.14,2948.45,2637.7
19.5,2174.95,21603.7,80860.4,104944,129770,169517,218925,281893,300113,285545,225162,165207,118468,82439.6,61192.8,42509.6,29097.6,19847.4,15837.7,9210.26,7785.98,3968.34,4072.61,1794.21
20.2,2394.08,22473.5,64909.6,87127.3,110885,146320,194945,242685,263768,255533,200601,150405,113667,77317.7,56750,38860.9,28859.2,20599.4,13063.1,9019.41,6832.81,5246.32,2770.53,2158.75
20.9,2101.08,16588.5,56106.3,69379,94594.4,120331,164618,204757,231510,220400,176871,138005,97952.9,66759.6,52551.7,34064.9,26506.5,18512,13163.9,10307.6,6984.04,3960.17,3265.09,1737.51
21.7,2282.9,13932.4,43444.1,56784.2,76186.2,98687,139281,174619,194716,197487,157290,129977,90496.4,63743,46479.4,34875.8,25880.3,16554.7,12111.9,8349.53,5058.1,4919.68,3631.26,2766.64
22.5,3209.58,10631.4,35966.2,45811,59335,82899.8,108366,141365,174413,164520,134304,106200,81227.2,55548.5,42514.8,29960.3,23464.4,16338.7,11862.4,7914.83,7072.64,3362.47,2639.71,1744.1
23.3,2461.66,9856.83,27574.4,37596.4,50243.1,64787.7,88370.3,117168,135434,142947,121183,96678.2,72923.9,53719.2,39855.8,28061,21487.6,16133.2,10180.7,8537.81,5413.94,4690.43,2888.89,1731.41
24.1,2674.92,10159,22430,29112,39731.3,50825.2,69498.7,97111,108557,117060,102407,80398.2,65561.7,44654.1,34020.1,25679.2,19334,13724.1,7691.05,6500.58,5382.18,3117.76,2755.81,1917.16
25,2354.04,8963.43,18361.1,23173.4,30705.7,41791,55866,72467.5,88747.2,97847,89925.4,65857.6,54702.8,39945.9,29426.6,20810.2,14672.7,10650.6,8586.43,4976.48,5603.11,4199.11,2238.75,1693.34
25.9,2497.81,8280.96,14723.9,19539.3,25026.3,32616,44027.8,55750.3,70357.9,76857.7,71372,58587.3,45516,34054.3,24039.2,18434.8,14691.9,9207.29,8000.13,5673.39,4222.58,3748.63,3042.12,1716.97
26.9,3254.29,8741.79,10800.8,16985,18701.7,27412.5,32020.8,43500.7,53626.3,64980.1,56111.3,46484.3,38625,28077.2,20721.2,15891.9,12292,8471.45,6992.96,4294.04,3565.29,2733.49,2381.18,1542.2
27.9,3246,7823.87,9378.01,12470.7,14626.8,18317.4,25187.8,33799.3,42186.4,47564.6,44405.5,38077.3,32196.8,23282.6,17936.7,14013.6,9410.06,8308.85,4877.93,3880.29,3349.24,3098.63,2036.35,1316.55
28.9,3202.86,7388.48,8089.02,9174,13756,16010,20034.7,25648,31650.1,37054.8,36153.1,29599.9,24844.4,17917.9,14025.6,10394.4,8570.39,6669.98,5313.06,3348.78,2226.12,2228.15,1514.64,1538.28
30,2908.76,6389.62,7009.14,8570.47,9146.83,12416.7,15566.6,17381.5,25773.1,29955.9,28565.2,20503,19606.3,14535.4,10015.6,8870.75,6240.78,4615.53,3559.35,3039.13,2411.35,2606.63,1295.64,1372.1
31.1,3657.56,5918.74,5639.34,6283.8,8283.23,8323.06,10306.6,12655.6,18457.8,21130.6,21023.9,19143.1,15112.9,11867,9041.68,7320.51,4854.66,3794.09,3660.83,2764.35,2237.83,2171.8,1286.44,1148.48
32.2,3299.81,6000.24,5822.78,5592.62,6656.77,7653.65,8842.63,10366.8,13045.4,15050.6,15833.9,12801,10962.2,7939.7,6792.08,5779.34,4157.92,3725.31,2557.59,2258.31,1639.83,1243.7,604.977,1095.85
33.4,3940.03,5706.92,4762.43,6150.92,4786.94,6207.48,7286.72,8753.84,11086.5,11972.2,12215.8,10103,8156.15,5816.33,5977.44,3771.94,3346.82,2272.61,2048.73,1961.5,1598.86,1213.91,844.747,834.466
34.6,3799.89,5373.88,4634.44,4862.22,5556.69,5303.01,5943.12,6343.25,8731.45,9140.32,9584.38,6942.58,5876.87,4753.51,3419.48,3412.04,2144.96,2265.58,1644.4,1374.57,1265.06,952.321,569.768,723.154
35.9,4432.08,5117.04,3843.24,5004.46,4480.51,4529.47,5149.91,4754.47,7805.67,7405.73,7401.24,5338.55,5632.42,3240.06,3110.7,2634.82,2320.5,1635.56,1106.99,1506.54,1137.55,873.761,833.065,797.405
37.2,4799.4,5107.01,4482.56,4287.72,5088.94,4679.79,4346.82,5212.27,7356.94,5052.46,5400.87,4753.22,4338.64,2976.88,2573.75,1886.63,1359.43,1340.35,1062.73,876.476,1125.54,658.786,669.237,471.09
38.5,3537.07,4495.53,3956.55,4857.95,4693.84,3971.51,4749.48,5047.45,6571.11,5054.24,3866.6,4239.44,3337.12,2278.99,1987.63,1499.69,1160.19,1163.42,1079.61,943.723,767.726,756.844,605.311,859.052
40,4370.6,4871.66,4243.69,4270.17,4416.18,3956.99,4259.32,4628.51,7260.96,5067.49,4265.43,2954.07,2182.28,1840.7,1675.06,1465.88,982.72,1094.72,951.701,817.441,883.866,937.677,523.245,514.321
41.4,3974.93,4286.3,3998.07,4446.12,3586.14,3971.31,3996.89,4504.43,6216.17,4919.56,4067.07,2808.35,2326.34,1760.18,1412.2,1202.07,1067.92,921.14,670.385,862.911,566.721,583.129,414.715,438.297
42.9,3922.48,3972.45,4023.14,4717.89,3400.67,4735.48,3926.7,4081.48,6815.99,3785.24,3572.93,2348.66,1851.86,1693.09,1363.85,932.766,862.862,587.312,870.303,591.996,900.872,305.032,424.517,602.752
44.5,3561.28,4151.86,3790.18,4600.74,3616.94,4095.43,3635.94,3628.7,5436.01,5074.54,3001.77,2532.39,2240.46,1826.21,1257.04,1234.59,1076.83,757.905,781.66,947.462,915.27,472.433,298.822,710.721
46.1,3885.31,4139.51,3555.21,3805.05,3814.02,3862.54,3717.93,3914.48,5894.97,4038.48,3169.13,1599.39,2160.73,1476.02,1343.11,810.902,617.874,874.174,824.029,650.226,570.836,581.5,712.908,654.183
