Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17	03/24/17
Start Time	17:47:44	17:52:48	17:57:48	18:02:48	18:07:47	18:12:48	18:17:48	18:22:48	18:27:48	18:32:48	18:37:48	18:42:48	18:47:48	18:52:48	18:57:48	19:02:48
Diameter Midpoint
 23.3	6018.95	5616.42	6974.91	6455.8	5246.14	6296.76	5473.94	4756.68	4922.03	6228.4	5015.54	4104.94	4849.45	4886.59	4324.42	3018.6
 24.1	3552.7	5965.59	6109.53	6741.34	5654.52	5430.4	5829.86	4654.29	4523.44	5377.89	4354.27	4639.75	4639.41	3900.84	4067.27	4253.72
 25.0	3426.99	5217.25	6605.96	5394.8	4424.33	5610	4587.76	4376.59	4492.93	4306.77	4015.05	4443.21	4065.04	4458.51	3906.81	2578.43
 25.9	3516.98	4642.24	4807.4	4198.79	9253.07	4354.65	4049.4	5105.39	4975.95	3916.24	4046.1	3781.17	3108.33	2858.76	3623.37	4474.78
 26.9	3229.29	5925.21	4647.19	4510.93	6740.21	4615.45	3389.28	4506.17	3669.76	3887.8	3611.84	4391.49	4049.87	2967.5	2887.26	3345.84
 27.9	1966.76	3907.38	4969.01	5021.96	3982.97	3441.25	3871.2	3729.69	3572.86	4933.88	3257.53	3515.03	2881.7	3720.98	2575.62	2774.59
 28.9	2670.09	2847.04	4748.34	4681.07	4452.67	3719.9	3210.76	3715.52	3423.2	3506.07	3553.63	3320.36	3210.93	3043	3138.42	2989.2
 30.0	2000.14	4090.53	4303.58	4516.24	4540.04	4006.41	4065.01	3403.45	3124.68	2870.09	3007.87	3168.98	3011.28	2301.94	3216.19	2249.35
 31.1	1998.03	2983.54	3587.21	3688.8	4737.41	3519.42	3676.05	3524.52	2775.2	3372.82	3455.22	2335.37	2889.86	2699.65	2521.66	2843.76
 32.2	5482.24	3730.28	3583.27	4643.76	3624.46	3621.45	2908.85	2907.89	2957.4	2439.67	2883.59	2906.81	3136.46	2419.6	2561.09	2679.27
 33.4	2413.91	3462.14	3227.22	3534.6	3448.44	3277.46	2838.07	2992.86	3192.17	2404.24	3229.49	2913.89	2604.32	2330.66	2911.07	2491.93
 34.6	1978.73	3150.62	3196.24	3432.03	3304.07	3116.44	2775.96	2625.93	2623.25	2458.49	2349.38	2550.73	2464.53	2204.6	2517.73	2127.74
 35.9	1584.81	2909.55	2948.46	2461.37	3008.34	3122.5	2713.23	2921.07	2753.15	2571.29	1816.76	2855.96	2778.1	2193.58	2434.33	1871.68
 37.2	1408.17	3530.84	3189.5	3147.65	3175.54	2443.81	3238.21	2370.59	2034.57	2220.82	2083.53	2541.18	1667.54	1939.34	2142.65	2321.34
 38.5	1889.58	2854.07	3245.52	2551	2211.1	2681.59	2331.44	2631.09	2609.88	2475.92	2676.58	2305.99	2225.25	2083.84	2072.1	1502.45
 40.0	1229.15	4622.5	3474.34	2915.96	2641.17	2309.67	2335.15	2361.6	2750.89	2958.2	1850.79	2006.44	2230.84	1831.57	1901	1745.54
 41.4	1358.17	4583.05	2965.2	2457.02	2541.68	2845.18	1819.93	2454.54	2096.06	2299.69	2841.62	2288.15	2076.03	1825.82	1742.35	1585.35
 42.9	1830.9	2355.29	2444.95	1835.52	2411.6	2895.58	2491.83	2185.41	2434.14	1867.68	2075.65	2063.65	1889.3	1808.39	2195.53	1748.33
 44.5	1300.82	2233.75	2409.99	2564.49	2423.97	2090.06	1811.43	1697.92	2155.89	2020.98	2019.29	1864.47	2012.11	1134.01	1533.62	1335.87
 46.1	3415.46	2606.29	2402.41	2521.51	2184.41	1823.01	2280.39	2077.38	1956.3	2058.06	1987.75	1646.6	1802.46	1717.88	1552.57	1312.47
 47.8	2338.39	1979.06	2718.21	2660.65	2031.4	2604.08	2180.89	1997.69	1897.18	1845	1753.08	1372.83	1539.38	1643.27	1722.29	1416.02
 49.6	1634.28	2114.28	2441.03	2052.11	1993.66	1954.75	2180.54	1869.27	1805.28	1661.9	1656.61	1963.79	1432.65	1630.02	1605.9	1467.42
 51.4	1410.27	2003.42	2387.36	2497.06	2260.91	1751.65	1883.83	1716.63	1839.48	1493.14	1841.47	1740.6	1421.78	1470.86	1523.48	1672.08
 53.3	929.753	2077.82	2516.94	2358.54	2044.61	1769.65	2099.81	1453.23	2227.91	1620.86	1865.63	1446.11	1814.14	1367.88	1376.82	1368.41
 55.2	1130.34	2318.41	1987.77	2269.27	1689.84	1908.73	1606.8	1542.7	1481.26	1708.89	1910.58	1800.99	1320.2	1439.89	1475.64	1244.48
 57.3	1367.06	2004.96	1559.42	1760.82	1588.13	1631.8	1674.27	1633.83	1495.76	1628.74	1665.28	1701.43	1666.96	1378.25	1205.25	1455.98
 59.4	1181.33	1753.84	2024.78	1731.04	2210.85	1696.76	1569.79	1908.33	1480.07	1427.69	1673.09	1139.09	901.046	1304.81	1345.27	1198.57
 61.5	1127.38	1830.45	1958.78	1798.95	4023.22	1509.08	1646.73	1686.62	1514.74	1613.57	1331.76	1394.2	1491.6	844.464	1194.47	1397.23
 63.8	1044.85	1568.84	2096.68	1631.31	2163.21	1852.43	1437.58	1552.15	1249.3	1268.44	1536.48	1159.81	1010.71	1235.4	1211.33	1515.04
 66.1	813.603	1767.88	1569.9	1614.66	1681.18	1703.88	1509.24	1136.99	1689.46	1551.97	1468.09	1226.53	1212.64	956.703	998.948	1017.02
 68.5	879.283	1472.34	1678.96	1560.28	1450.52	1580.44	1179.33	1281.05	1348.93	1223.94	1198.29	1418.29	1131.24	994.657	1501.8	1020.37
 71.0	1373.68	1737.88	1581.48	1659.44	1457.3	1108.57	1318.4	1412.97	1223.4	1476.06	1111.37	1040.43	906.075	839.765	874.363	1247.94
 73.7	1197.94	1173.35	1554.32	1028	1358.59	1582.08	1393.82	1315.08	574.675	986.85	1165.75	1061.52	1247.26	1297.02	1091.97	1172.31
 76.4	829.908	1454.84	1296.16	1405.26	1194.03	1047.5	1400.85	1060.41	892.296	1015.17	1122.79	910.838	1003.73	939.723	1076.34	916.929
 79.1	474.024	1133.64	1599.66	1395.68	964.545	1117.24	1241.57	1200.4	1072.72	1071.78	859.902	860.488	964.821	1185.51	926.256	836.337
 82.0	690.076	1096.01	1289.61	1178.29	1180.57	1025.45	1096.99	869.601	1143.67	1091.24	880.018	874.672	786.436	950.633	758.307	713.195
 85.1	583.043	1587.03	1818.21	1425.96	1291.18	993.779	1342.34	1095.78	1135.88	1106.45	994.435	929.215	821.838	962.763	1028.48	867.49
 88.2	703.977	1671.94	1379.9	1056.54	1246.63	992.977	1081.98	882.861	1127.87	889.026	822.395	949.389	916.702	804.02	702.563	1017.65
 91.4	704.789	1039.17	1439.65	977.71	1145.34	1462.42	955.987	1013.46	962.771	885.378	805.382	1122.75	871.677	779.234	1154.93	849.306
 94.7	596.411	1092.56	1428.13	1173.28	1161.45	1064.64	990.057	938.214	1034.36	1057.3	966.442	858.11	967.383	675.198	654.002	664.141
 98.2	601.83	1172.05	1428.1	1054.2	1007.09	813.723	1321.03	1090.1	736.339	1089.02	1084.32	860.917	791.535	675.724	681.928	710.24
101.8	626.962	866.705	1005.59	713.987	1047.72	819.893	1074.72	782.544	991.398	857.064	927.49	734.514	747.48	828.193	724.247	965.204
105.5	628.456	2422.19	1345.2	1129.2	1570.58	1424.8	1126.11	1005.81	914.97	1006.04	934.643	836.897	996.414	978.27	929.885	885.692
109.4	812.521	2274.1	1328.03	1454.49	1253.3	1256.06	1236.95	1059.12	1322.84	1188.78	982.488	1071.32	1203.22	879.725	1071.23	1145.62
113.4	873.867	1604.3	1496.91	1229.45	1487.21	1310.62	1353.62	1078.85	1263.24	1136.44	1112.29	1045.56	1200.4	923.874	942.351	1012.27
117.6	909.212	1524.04	1394.6	1384.71	1445.19	1414.37	1026.66	1209.58	1107.62	973.185	1133.38	1019.97	1068.15	926.336	1025.65	939.722
121.9	2538.84	1249.91	1408.99	1376.66	1386.74	1261.54	1015.65	1453.36	1342.9	1013.64	1134.26	959.19	1165.59	1010.77	715.084	932.816
126.3	2209.14	1785.51	970.035	1292	1370.97	1259.57	1068.83	1081.38	961.283	1021.82	1125.45	1178.71	936.546	945.793	928.35	921.551
131.0	767.576	1562.81	1345.09	1295.58	1302.66	1397.03	1115.04	1249.84	1075.05	964.269	892.066	953.874	1028.86	973.601	1026.08	767.045
135.8	961.22	1237.65	1191.09	1404.06	1403.27	1105.96	1351.93	1075.76	1256.27	903.247	1073.24	978.112	848.006	1054.35	860.26	814.488
140.7	794.491	1484.06	1271.58	1309.83	1155.05	1112.58	1345.67	1093.14	1093.14	1047.66	1076.16	929.243	1005.71	931.715	759.292	794.491
145.9	739.505	1478.73	1435.92	1227.65	1003.64	1114.92	1354.67	1240.51	1061.35	1315.99	920.107	852.23	919.068	820.156	925.593	836.575
151.2	778.022	1057.8	1671.97	1324.67	1355.27	1053.39	850.578	886.198	966.627	1023.62	1022.08	1031.39	891.926	1139.67	987.292	990.773
156.8	986.322	1560.54	1190.99	2758.81	1080.76	1325.83	1512.25	1336.7	956.075	897.728	818.879	1157.56	980.068	840.307	1017.8	761.458
Scan Up Time(s)	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240	240
Retrace Time(s)	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
Down Scan First	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Scans Per Sample	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Impactor Type(cm)	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071	0.071
Sheath Flow(lpm)	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Aerosol Flow(lpm)	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3
