Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	18:47:00	18:49:19	18:51:34	18:53:49	18:56:04	18:58:19	19:00:34	19:02:49	19:05:04	19:07:19	19:09:34	19:11:49	19:14:04	19:16:19	19:18:34	19:20:49	19:23:04	19:25:19	19:27:34	19:29:49	19:32:04	19:34:19	19:36:34	19:38:49	19:41:04	19:43:19	19:45:34	19:47:49	19:50:04	19:52:19	19:54:34	19:56:49	19:59:04	20:01:19	20:03:34	20:05:49	20:08:04	20:10:19	20:12:34	20:14:49	20:17:04	20:19:19	20:21:34	20:23:49	20:26:04	20:28:19	20:30:34	20:32:49	20:35:05	20:37:20	20:39:34	20:41:49	20:44:05	20:46:19	20:48:34	20:50:49	20:53:04	20:55:20	20:57:35	20:59:49	21:02:05	21:04:19	21:06:34	21:08:49	21:11:05	21:13:19	21:15:35	21:17:50
Diameter Midpoint
9.14	10347.7	8985.33	9640.81	10392.1	7543.23	10487.9	12113.5	25749.8	8669.68	8993.39	6895.81	6712.25	8101.94	8058.55	8809.83	8478.06	6712.25	9271.79	8618.22	8198.71	11230.2	7455.48	7962.74	5637.26	4334.36	6616.45	7123.71	7315.32	7454.52	7454.52	7175.16	5497.1	6152.58	6991.61	6476.29	8897.58	11884.7	13467.9	14718.4	15233.7	13423.6	10950.8	11738.4	10907.4	9221.29	9500.65	6940.16	11230.2	8154.35	11510.5	8478.06	10811.6	8993.39	12489.7	11134.4	11510.5	9456.3	10296.3	7498.88	11082.9	6851.45	10767.3	7734.84	9361.45	9832.42	8573.87	6895.81	9080.18
9.47	8578.91	7190.02	8178.63	11647.4	8618.16	7605.36	9152.17	13344	8939.94	9897.51	7817.6	8923.96	9686.19	7378.06	7205.08	10219.3	5682.45	5872.33	7644.61	9763.78	10008	10046.3	8539.65	4615.34	6671.98	10886.1	7778.34	5415.9	8485.34	5604.86	9952.74	5871.41	6255.72	4937.12	7417.31	9457.98	9113.83	10274.5	10926.3	10604.5	17213	11153.6	8217.88	9685.27	9457.98	14277.3	6043.48	10887	9379.47	11341.6	5737.68	12087	6177.21	10085.6	7763.28	8939.94	11287.3	8845.46	9152.17	9191.43	9073.67	8139.37	6538.24	9206.49	8578.91	8618.16	9096.95	9074.58
9.82	9339.38	8101.03	7994.47	9902.35	6612.14	10321.3	7394.08	8795.04	7631.52	6537.3	10246.5	12861.3	8701.41	9501.98	7087.34	6612.14	11191.1	5742.43	7975.68	6918.88	8213.28	10265.1	10502.7	7193.9	6868.37	8520.02	5886.41	12354.6	6812.32	7068.55	5085.84	7631.52	10953.5	8413.46	9120.57	13643.3	6468.16	12229.2	14988.2	9934.07	7068.55	12936.3	7938.26	10990.9	11353.8	8031.89	9539.56	9101.78	6305.56	9176.61	7450.13	12135.6	9520.77	7575.47	5974.33	9176.61	6411.96	6649.56	11372.4	7337.87	6868.37	7450.13	9157.83	4779.1	8576.23	12154.4	9790.09	7450.13
 10.2	10723.4	8510.88	8339.29	8744.29	8185.69	9089.43	6667.43	6168.68	6571.7	7415.6	7283.91	7627.08	6531.8	6186.65	9588.18	7800.64	6015.07	6898.87	9107.41	9300.92	5610.07	7242.04	5975.17	8724.34	6531.8	5955.22	7455.5	8858	3632.97	5610.07	7090.4	4016.04	5111.32	5803.58	7916.32	10164.8	14851.1	8359.24	13664.1	7840.54	9241.07	8301.37	6186.65	8012.13	8704.39	10914.9	8666.46	5073.39	11395.7	8339.29	8530.83	6896.89	9819.62	7589.15	9819.62	6148.73	9817.65	8856.02	6531.8	4899.84	10182.7	5610.07	9087.46	6360.21	5552.2	9069.48	8724.34	6725.31
 10.6	9694.53	9956.05	10286	7008.79	7376.9	9094.16	6591.3	5156.99	6659.75	4148.01	7804.58	9015.52	6669.94	5031.32	9607.01	6320.9	7455.54	2113.32	7279.2	6282.75	5399.44	9509.3	3779.9	8996.45	4003.27	8210.84	6301.82	6367.93	7930.25	6795.6	6078.45	8027.96	7106.5	4556.61	6833.75	12380.3	11613.7	9568.86	8502.67	11295	8336.51	9383.63	9345.49	7474.61	11109.8	9694.53	7987.47	5031.32	7736.13	5650.77	7842.73	8191.77	6776.53	9034.59	8521.74	5971.85	6795.6	7531.83	4924.73	9471.15	6446.56	4352.31	5650.77	9345.49	6610.37	6320.9	8074.99	8047.03
 10.9	6864.64	7806.11	6394.98	6154.86	5308.89	9105.61	5864.21	7763.28	4820.96	9865.92	6061.51	6018.68	5591.85	8729.31	7651.65	8336.88	6240.52	7926.18	7582.11	8926.6	8139.59	9335.15	4941.02	5941.44	6728.46	5650.8	7515.47	6667.34	7019.1	6138.74	4215.12	5925.32	2470.51	7259.23	5061.08	8241.37	9337.31	7139.16	12397.5	7985.13	9019.95	5685.2	10020.4	6394.98	9198.97	8686.48	7942.3	8473.06	9695.33	7257.06	8062.36	4983.85	6728.46	10020.4	6984.7	6771.29	8473.06	6317.75	7336.46	8001.25	6472.21	7549.87	7822.23	7275.35	6018.68	4924.9	7565.99	3001.28
 11.3	9648.81	6143.33	4355.05	8188.33	8040.36	7623.43	6610.74	9637.56	9201.02	6984.55	8297.07	6306.45	5558.83	6006.62	4429.03	4845.97	7167.28	5613.2	8188.33	7475.47	5239.39	4237.95	8507.77	7549.45	6910.57	5067.91	6326.06	4768.08	5348.14	8168.72	3303.14	5932.64	6836.59	4919.95	5741.56	6208.96	9107.43	12002	8616.51	9805.13	7156.03	9820.29	6625.89	10105	6345.67	6571.52	7230.01	8651.28	8445.03	5963.5	6271.69	7358.36	4355.05	2310.06	8901.19	8636.12	3696.56	5971.86	4261.46	8071.22	6252.08	5593.59	4674.49	6591.13	8114.35	6197.71	5823.89	7027.67
 11.8	9373.72	8132.49	5764.42	5937.45	10303.2	7028.88	4285.87	6070.56	6018.45	8120.3	4781.73	7190.87	7295.09	5273.07	4579.81	5804.34	6924.66	6497.61	4846.02	7374.93	4406.78	6324.58	5365.1	6855.85	6855.85	4180.48	5579.21	6029.48	7057.77	5712.32	2997.03	6843.66	6376.69	4579.81	6139.37	11862.7	8668.27	7416.01	11037.5	9396.94	6722.74	10465.2	8894.57	6722.74	8692.65	6364.5	4712.92	8178.08	5966.34	10904.4	6070.56	9558.94	5764.42	4765.02	8559.54	6803.74	7242.98	6122.67	8813.57	4354.67	7895.17	6578.61	5192.08	6855.85	5671.23	5152.16	3101.25	4285.87
 12.2	7279.22	5350.93	7596.94	6578.98	7033.95	6399.47	7876.43	4650.69	7583.18	6833.99	6985.97	9315.15	5851.21	4498.71	5533.49	6092.46	6385.71	4526.24	5530.44	4908.75	7990.17	4985.23	7113.48	4498.71	8590.43	4729.25	4526.24	8804.16	4819.49	5264.72	7558.71	5954.24	5250.95	5812.98	4219.23	8106.97	7954.99	8883.68	9777.19	6233.73	8731.7	7951.94	10056.7	7279.22	8590.43	6706.48	5098.97	5685.47	6144.46	3466.99	4957.7	7724.45	7848.9	5112.73	3466.99	4498.71	6423.95	6996.68	6706.48	6551.45	5826.74	2918.73	5826.74	4791.96	5060.74	4971.47	4946.99	5557.96
 12.6	6584.54	8783.44	5283.56	3567.38	5685.56	7523.35	5578.4	8770.04	4827.28	5445	6584.54	3727.22	6866.16	5189.81	4599.94	8850.76	6410.06	6759.19	5202.84	4693.88	7187.44	6102	6866.16	8193.57	6986.53	5082.65	3942.76	5148.56	3004.12	5364.28	6597.76	4975.5	4814.25	7429.59	3674.35	7818.19	5364.28	9145.6	6879.38	6115.22	8850.94	6061.12	7549.96	7335.48	7362.09	3191.82	8555.92	5364.1	4988.72	6772.41	7630.32	7818.19	7012.97	7510.13	5458.04	6128.44	5471.25	6610.97	6665.26	6410.06	5820.38	5551.97	8167.14	6222.2	5833.6	4894.79	4506.19	4707.09
 13.1	6012.3	7344.94	5698.44	6001.5	9161.34	6510.98	3914.26	5799.57	4987.03	7955.39	5358.84	3712.33	3430.69	6330.3	4354.99	5517.93	5810.2	4524.7	5980.08	4535.5	5597.47	7243.98	4195.9	4875.27	5969.28	4062.55	4333.57	7042.05	3802.5	4174.31	6250.93	5618.89	4604.25	5055.6	4795.72	9028.16	9049.58	6951.71	6521.78	9410.77	9771.78	7334.15	6813.87	6420.81	5878.94	5741.45	5597.47	5879.11	5507.13	6611.94	6771.2	5618.89	5969.28	4073.35	5055.77	4806.35	4275.45	5980.08	5969.28	4806.35	5698.44	4264.65	5416.96	4174.48	4694.59	4976.23	5608.1	4073.35
 13.6	32908.3	9586.02	6834.18	6301.9	8381.24	3993.56	4146.23	5629.4	5944.73	4271.95	5167.43	6332.82	3378.92	5571.54	6669.07	6611.21	4647.6	3232.28	6167.71	6669.07	4418.59	4645.15	4482.48	4956.9	3213.81	4938.43	5235.29	3898.76	4494.93	4366.76	4868.12	5091.1	3657.31	6776.32	5571.54	8317.35	11106.1	7574.54	5889.32	5647.87	7244.32	8228.58	8455.13	8152.24	6852.65	6396.71	5253.76	6072.9	5198.35	6149.24	9170.99	5128.04	4531.87	5571.54	3638.84	5610.93	6225.57	6687.54	4290.43	4849.65	4012.04	5128.04	7852.93	6965.93	4158.68	5014.76	4271.95	4791.79
 14.1	6795.21	6581.57	3344.01	6065.79	5033.49	4677.99	3575.36	5923.2	6723.69	4304.79	4589.23	4820.57	4980.85	4447.37	4073.44	4802.87	7043.53	5407.42	5300.96	5567.7	4944.73	4269.39	4890.9	4428.94	5638.03	4091.14	3664.12	4091.14	5336.36	5034.22	4909.33	3486.6	4820.57	3575.36	4553.83	6083.48	7542.34	7755.26	6208.37	5905.5	6972.73	6421.29	7631.83	8058.13	4216.03	7044.26	5994.26	5923.2	4838.27	5674.16	7613.4	5158.37	5941.63	5443.54	3486.6	3984.68	4820.57	5799.04	7275.6	4286.36	4945.46	6297.13	5283.26	4749.05	4233.73	3735.64	4375.12	5407.42
 14.6	5521.93	5999.55	5283.12	3689.21	3222.18	5419.85	3903.96	5551.28	7705.85	7139.9	5760.74	4435.27	5624.02	4668.78	6847.4	5336.81	4177.41	4040.69	4196.46	3187.54	3085.46	4859.2	3782.83	5473.54	4021.64	4859.2	5419.85	4620.39	5468.24	4196.46	3324.27	3343.31	5098	4142.77	4805.51	6053.24	4381.58	7652.16	6818.06	6560.2	6326.69	7676.5	4907.59	7300.97	5253.78	7671.2	3884.92	6452.82	4566.7	5766.03	5473.54	5712.35	4853.9	5014.97	5755.45	6925.43	5868.12	4566.7	3426.35	5078.96	3767.24	3611.47	4435.27	5556.57	3767.24	5677.7	4367.83	3377.95
 15.1	5722.51	6641.6	7534.54	6081.1	4239.9	4239.24	3957.81	6180.75	6615.45	4520.67	4265.4	4851.4	6359.52	5210.65	4138.94	4239.9	6511.48	3550.58	5055.02	4010.12	4443.51	5566.23	4573.64	4876.91	5644.04	4213.74	2427.21	3117.18	3450.27	5133.49	4673.29	3906.15	4929.22	5362.61	3576.08	3780.35	5822.16	5492.08	6589.29	6489.64	6537.63	5337.11	6819.07	6459.82	6433.66	4751.1	5414.27	6054.94	3090.37	3728.69	4443.51	4469.67	3653.89	5593.04	5261.65	5593.04	6663.44	6103.59	5618.54	4698.79	3957.81	3549.92	4135.93	4317.71	5211.3	3983.97	4595.47	4851.4
 15.7	5091.23	5879.01	4771.62	5682.74	5214.56	3641.74	3765.09	5979.85	5879	3100.66	5806.07	4157.61	2926.89	4869.73	5166.86	4353.88	3616.53	5239.78	3961.35	4477.22	5264.99	4872.47	3885.72	3765.09	4502.44	5486.47	3075.45	3885.71	3664.24	5534.17	3961.36	5315.42	4230.53	4157.61	2952.1	4894.96	5780.85	5265	5904.21	6812.61	6691.99	4698.7	3148.37	4502.44	4502.43	5141.65	6274.24	4920.18	5093.95	4600.57	5954.64	5486.48	4993.08	6641.55	3986.57	6888.25	4182.82	4945.39	3369.84	2755.84	5413.55	3543.62	3518.4	5559.39	3097.95	4600.56	3322.14	4404.31
 16.3	5302.94	7217.12	5045.62	4594.42	6025.11	21901.1	5549.61	3740.63	5045.62	4858.57	5052.45	5045.62	4337.1	4812.61	3696.77	4618.73	5780.53	3012.56	5523.21	4449.15	4242.53	4004.78	3852.68	4858.57	3910.21	4242.53	3903.38	5472.51	3175.3	2226.95	5021.31	3842.04	4310.71	3226	2202.64	6872.07	8654.65	4858.57	6702.49	7725.85	4814.7	5617.78	7111.91	6735.72	4951.05	7274.65	4876.04	4662.6	3364.44	4757.17	3842.04	3313.74	3413.06	5377.94	3903.38	4814.7	4781.47	4713.3	4286.4	4174.36	4550.55	2774.8	3287.35	5465.68	3960.91	3226	2673.4	5448.21
