Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium1.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17	03/21/17
Start Time	17:12:21	17:17:25	17:22:25	17:27:25	17:32:25	17:37:25	17:42:25	17:47:25	17:52:25	17:57:25	18:02:25	18:07:25	18:12:25	18:17:25	18:22:25	18:27:25	18:32:25	18:37:25	18:42:25	18:47:25	18:52:25	18:57:25	19:02:25
Diameter Midpoint
 16.8	992.549	20322.9	19221.9	28038.5	67451.9	150966	261562	320749	234315	147020	84161.9	48293.3	30065.4	19574.4	8918.97	6947.84	3909.58	2204.15	1543.97	992.549	661.7	220.567	330.85
 17.5	1131.69	17986.1	17199.8	20536.1	49769.5	118522	201631	259231	193149	118076	72399.9	43501	28667.4	13020.2	9707.7	5291.06	2671.29	1793.11	1234.57	661.42	617.285	823.046	102.881
 18.1	1163.25	13673.1	13641.9	16822	30204.2	76236.3	139736	205822	163390	104136	65149.3	34575.2	21354.1	12251.5	6912.07	4005.24	2103.02	1592.59	192.215	631.521	576.644	96.1073	480.536
 18.8	1880.99	13894.8	12805.3	13770.9	24363.1	53751	103336	159462	124546	82191.3	49411.6	29351.7	19863.1	10747.7	7386.46	3299.18	2830.45	990.166	720.121	360.06	450.075	67.972	67.972
 19.5	1857.14	10836.5	11765.1	10120.7	18360.2	36287.6	69109.9	116795	94396.4	66183.7	40203	24499.2	13527.1	10691.8	6691.13	2818.81	1877.81	1499.62	590.908	422.077	422.077	358.334	105.087
 20.2	1980.35	9732.78	8545.06	9273.39	12734.3	24247	47563.7	84522.5	76907.6	51975.4	34197.7	21306	13504.6	6837.33	3757.74	3949.03	1109.68	968.571	1347.47	475.579	317.052	237.789	158.526
 20.9	2322.57	9824.5	10599.6	9607.61	12431.7	15763.2	35115.1	77038.6	50294.5	41606.8	26244.4	14399	8103.42	4858.71	2720.54	1413.69	1563.24	1532.19	1039.89	521.064	189.164	371.519	190.255
 21.7	1966.44	9172.03	7342.72	7804.96	8873.92	14243.9	21311.9	67759	39044.1	27899.7	16834	11783.1	7442.07	4272.27	2698.37	1627.15	777.03	528.853	630.672	139.199	100.441	279.031	169.609
 22.5	2138.32	6851.09	7389.49	7185.61	7518.14	9805.3	13955	52265.6	26779.5	19587.5	11492.4	8393.87	4598.05	3025.34	2221.94	1493.34	951.983	515.5	262.725	260.649	129.715	0	263.298
 23.3	2275.76	8340.29	6121.53	6858.18	6412.58	7274.29	11062.9	30337.3	18531.5	13577.7	9141.52	5577.41	3373.42	2280.57	1359.61	868.784	452.375	184.307	433.038	184.292	185.86	184.356	184.281
 24.1	1926.55	7687.53	6636.81	6484.99	6506.98	6715.24	7177.93	19101.2	11321	10517.2	5082.53	5438.13	2130.74	2177.25	1485.79	349.672	380.362	349.64	289.356	115.404	116.402	117.024	56.3514
 25.0	2598.3	5547.57	5683.17	5358.85	5102.22	5145.02	6030.58	15166.9	9857.94	7198.91	3757.55	3073.7	1468.38	1175.78	569.043	548.975	465.869	276.858	216.384	164.33	54.6241	222.015	110.32
 25.9	2074.43	6040.33	5605.26	5651.84	5150.07	5482.31	4715.4	12529.9	8424.33	6155.88	4219.85	1811.38	1742.73	845.66	677.87	574.246	257.636	156.485	48.507	104.454	153.908	103.873	51.8848
 26.9	2168.94	5449.1	5868.57	6030.73	3927.47	4668.62	5280.76	12358.7	7261.63	4355.92	2996.51	1679.98	1355.61	913.972	288.376	384.788	445.729	93.8805	150.667	46.8893	49.4608	99.6438	46.7081
 27.9	1777.08	6439.33	4591	4884.99	4588.94	4068.1	4309.97	13229.8	6258.37	3973.93	2666.24	1470.72	981.68	751.761	177.381	292.434	231.645	182.363	94.1588	46.6338	93.1526	140.485	93.7728
 28.9	2196.19	4641.68	4151.68	4820.44	4516.7	4107.62	3334.91	13992.1	6042.42	3896.37	2566.95	1915.33	838.894	1082.88	548.988	164.914	219.741	177.486	43.9846	89.8323	225.283	42.0473	222.812
 30.0	2297.47	5758.55	3409.91	4068.76	3264.5	4228.86	3652.6	11184.6	6025.69	3939.29	2773.47	1526.65	841.175	568.717	639.61	336.024	122.96	80.9915	253.569	42.1127	123.115	80.7345	40.5561
 31.1	1946.29	4513.26	4324.39	3728.82	3636.73	2822.01	3395.93	10408.1	5262.76	3666.83	2420.21	1689.5	961.721	600.69	537.207	197.583	195.425	76.0275	77.0769	80.5096	38.8088	119.201	111.003
 32.2	1961.85	3827.61	3568.47	3116.31	3358.32	3092.24	3560.85	12300.4	5834.23	3864.12	2267.88	1376.25	603.64	332.128	538.011	382.134	229.39	234.035	35.2638	156.056	113.577	114.67	1.20969
 33.4	1600.25	3991.32	3019.99	4024.78	2533.11	2933.91	3046.34	11251.6	5671.1	3153.09	1933.62	1855.4	653.916	546.904	400.477	71.0167	295.653	109.205	106.305	110.693	30.7179	107.814	112.664
 34.6	1416.74	3725.86	3197.12	3206.98	2459.88	3178.31	2454.57	11542.4	5864.63	3496.16	2271.03	1336.4	698.453	664.376	495.366	58.9655	210.78	65.8512	143.383	73.0847	28.1609	0	99.5707
 35.9	1429.14	3095.29	2439.6	3031.36	3141.4	2348.01	2478.99	10781.6	4128.56	3283.25	2285.24	1099.99	908.81	540.681	405.164	267.298	61.2221	28.768	233.541	92.6217	30.7759	0	29.2139
 37.2	1324.73	2907.32	2609.99	2859.91	2677.07	2050.45	2353.26	10879.5	4830.36	2965.33	2367.42	1265.91	715.609	720.398	276.337	219.75	227.105	57.4422	164.779	34.8382	168.82	62.959	26.6618
 38.5	940.883	2624.46	2321.53	2340.53	2266.29	2718.61	1742.11	11449	5133.79	2642.31	2005.73	1395.21	603.522	701.753	432.484	147.534	214.73	214.529	0	116.993	22.9023	25.0737	123.277
 40.0	1298.11	2281.4	2512.88	1893.22	1652.04	1498.01	2331.23	10747.7	3893.35	2946.85	1464.26	1171.56	827.456	338.273	383.36	357.249	170.744	240.173	24.149	25.6596	57.7526	56.6407	27.5207
 41.4	1111.34	2348.65	2110.54	2022.67	1789.46	1574.29	1900.73	10037.4	3935.55	2486.59	1942.11	1336.71	643.384	512.108	309.111	255.648	198.69	105.444	27.4672	24.7138	24.9829	83.5532	115.26
 42.9	730.249	2117.93	1838.02	1370.62	1945.1	1760.25	1480.97	10866	3903.31	2752.94	1449.93	1041.92	459.395	459.759	417.768	208.812	135.172	120.65	111.668	19.5478	164.897	136.49	54.4064
 44.5	730.227	1811.23	1982.78	1944.5	1946.39	2027.67	1356.66	9923.88	4131.38	2078.56	1813.95	1131.06	636.946	376.667	342.776	178.039	260.902	159.588	135.336	43.5931	46.0953	106.549	106.067
 46.1	783.999	2129.74	1880.23	1392.61	1384.14	1753.17	1282.92	9671.46	3999.75	2357.07	1481.92	1006.25	573.798	527.436	299.738	274.414	141.875	68.836	48.0436	45.9943	100.103	73.1938	142.639
 47.8	527.396	1662.09	1778.29	1182.27	1530.84	1204.73	1810.25	9367.79	3765.16	1741.5	1370.75	622.019	606.074	328.586	310.348	159.713	137.84	60.6632	149.579	36.3074	125.513	122.726	61.7153
 49.6	695.3	1708.92	1777.96	1364.08	1386.54	1561.62	1052.48	9070.52	3417.32	2520.62	1479.59	829.888	343.672	452.773	210.234	193.857	110.971	126.908	146.048	82.8021	162.918	13.7554	111.652
 51.4	604.79	1704.15	1668.77	1489.49	1247.42	1306.52	1127.66	7593.41	3122.91	2235.92	1958.29	999.181	641.013	348.304	227.28	137.417	143.761	81.9079	70.4571	115.235	69.8775	36.1054	81.6819
 53.3	796.368	1521.35	1401.23	1385.52	1361.21	1281.68	1510.45	7189.42	4138.47	2379.91	1110.56	735.357	627.446	254.49	414.216	233.76	94.4834	136.475	22.0215	36.794	42.5585	40.3171	108.329
 55.2	876.143	1607.24	1325.38	1393.81	1507.98	1235.67	1435.12	7958.27	3108.7	1804.45	1393.11	602.702	572.794	339.541	179.907	152.609	119.046	150.477	65.3895	94.4348	60.8897	103.536	81.7668
 57.3	654.72	1453.79	1328.51	705.183	1376.49	1356.03	1313.16	7303.94	3422.23	1892.53	1259.73	813.682	475.993	379.683	191.381	227.686	159.436	95.9737	59.6508	74.6059	61.2163	81.4899	32.7552
 59.4	726.876	1557.01	1529.17	1463.78	1221.31	1253.08	1412.38	6825.96	3392.35	1471.69	1393.14	759.645	470.72	519.952	268.375	84.3621	171.441	91.3134	57.5378	55.0547	36.8766	39.1952	67.3354
