Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Medium2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Date	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17	03/23/17
Start Time	18:12:24	18:17:27	18:22:27	18:27:28	18:32:27	18:37:27	18:42:27	18:47:27	18:52:27	18:57:27	19:02:27	19:07:27	19:12:27	19:17:27	19:22:27	19:27:27
Diameter Midpoint
 26.9	1990.82	2583.06	2832.01	2041.21	961.212	851.342	531.306	239.133	240.381	189.54	145.458	145.072	76.4038	93.412	47.8717	194.336
 27.9	989.09	3545.23	3982.37	2253.66	825.798	919.665	463.324	373.001	317.245	132.009	326.565	227.39	134.548	135.407	180.942	137.181
 28.9	1828.84	3703.19	2390.09	1864.07	1053.82	777.581	527.443	434.09	172.228	219.724	302.665	174.679	131.258	219.799	130.877	218.656
 30.0	1279.89	3638.17	2609.94	1465.18	1120	307.568	308.655	202.035	203.156	79.9722	78.3496	123.763	167.138	124.317	81.389	123.401
 31.1	1525.57	2786.34	2960.81	1930.08	631.533	527.43	352.692	278.978	237.293	0	155.447	237.06	35.6705	159.565	39.9976	38.8854
 32.2	835.128	3150.75	2044.71	1441.85	1058.26	573.65	303.529	227.786	345.756	70.2038	188.153	113.163	110.882	0	114.491	189.583
 33.4	1797.15	2506.01	1905.11	1501.44	743.449	513.708	660.048	251.878	110.243	71.9828	69.3783	110.303	147.746	218.758	35.9628	108.443
 34.6	1404.96	2676.03	2187.04	1612.82	1007.64	378.181	319.604	382.805	132.952	71.036	104.52	138.264	279.726	315.216	40.213	175.499
 35.9	992.746	3140.64	2003.62	1365.85	796.413	470.949	429.024	162.371	160.556	93.3018	65.7099	132.232	132.482	100.71	170.729	99.6422
 37.2	1107.26	2134.57	2059.63	1419.61	633.245	502.337	209.066	158.176	158.201	194.822	131.134	65.3962	158.612	160.099	91.3098	31.2276
 38.5	976.038	2283.3	1689.59	1196.77	667.617	389.982	270.326	212.64	151.957	216.946	54.5897	60.6981	61.8425	156.902	29.1972	59.7849
 40.0	956.331	2077.56	1786.99	1048.51	369.193	348.534	229.458	47.2902	237.403	234.63	52.8803	145.228	149.48	120.551	149.19	57.9096
 41.4	948.406	1978.11	1400.59	1062.36	637.093	496.007	388.003	154.318	135.72	50.8229	114.219	78.8026	53.7391	55.8603	57.696	87.0695
 42.9	896.067	2157.94	1238.83	1338.86	691.498	324.17	335.221	236.313	197.439	108.017	148.7	54.6905	23.4005	52.1273	82.8454	83.1645
 44.5	810.918	1938.87	1238.14	973.792	725.322	333.539	268.007	85.3319	125.294	102.82	142.935	135.255	104.899	50.2952	2.72694	22.2153
 46.1	530.203	1690.42	1020.05	860.945	553.682	178.372	144.689	97.0707	69.1287	182.611	125.257	49.6614	122.334	25.8579	43.5385	99.7954
 47.8	535.75	1296.22	1363.02	397.815	699.614	137.083	126.432	130.831	73.9971	20.4128	99.6263	23.4896	76.9641	48.1572	19.1826	50.6406
 49.6	352.872	1539.48	1058.1	742.505	437.99	185.789	76.5001	163.885	92.9434	111.9	47.0465	70.1837	34.1744	121.046	23.3504	44.7137
 51.4	479.001	1677.19	1212.84	725.266	478.581	182.264	252.657	142.739	178.968	71.1711	21.6582	88.826	45.3958	4.58708	0	50.0522
 53.3	583.419	1720.79	958.765	689.407	360.475	249.108	200.328	95.3082	105.384	18.8728	94.2442	0	113.188	85.0124	22.6803	18.9116
 55.2	461.165	1414.38	913.69	720.858	323.392	317.459	303.42	88.0547	60.3346	82.8205	38.4624	19.2681	17.4922	10.2403	19.9326	40.2184
 57.3	532.907	1299.09	814.836	648.784	340.239	190.211	114.487	171.142	124.854	79.0691	87.4967	65.1471	16.0319	10.8655	62.2996	59.1093
 59.4	460.739	1558.74	715.944	447.199	296.191	293.252	177.296	190.994	0	124.139	54.2013	150.797	83.0232	32.1874	0	0
 61.5	677.907	1890.47	712.754	403.375	455.861	276.126	171.598	121.98	101.797	41.2183	75.9159	38.1703	15.9953	35.4517	30.9652	28.5172
 63.8	331.365	1092.1	978.995	457.442	425.344	263.777	105.935	155.707	96.0157	96.2117	79.5181	0	120.909	79.6987	18.2096	12.7404
 66.1	472.556	1351.76	693.725	353.15	210.318	304.26	104.353	60.0199	157.041	32.0288	92.75	37.3141	58.9954	0	19.5035	113.388
 68.5	604.436	1526.09	549.624	349.8	182.609	279.549	96.2422	127.194	37.878	29.4469	49.548	29.3952	59.5677	15.0165	90.9265	0
 71.0	558.273	962.023	798.088	298.071	249.964	188.234	95.7884	145.266	13.9861	69.5861	0.813417	9.3489	101.652	43.5394	26.3845	11.3154
 73.7	369.744	975.88	721.96	353.025	284.486	332.189	160.096	101.082	100.393	72.8034	46.2396	68.1981	26.2313	16.7484	1.15944	0
 76.4	351.718	893.487	459.275	171.933	363.933	261.445	72.6188	18.8747	138.516	26.4832	0	64.1945	23.7959	2.18922	10.1164	40.4785
 79.1	421.978	978.604	754.908	259.4	199.292	260.878	104.324	151.928	66.06	43.5803	0	8.10006	44.5775	48.2878	4.47093	32.9454
 82.0	494.004	696.735	636.846	258.402	304.937	109.801	101.177	20.6667	60.401	79.9676	42.0237	38.9241	37.3514	121.754	33.2479	47.2611
 85.1	494.098	1080.67	751.585	419.074	344.412	100.006	196.515	112.237	67.1618	69.8139	39.1227	0	47.566	57.7761	33.3223	59.846
 88.2	375.032	746.828	362.836	350.726	348.778	91.2387	93.2039	21.3059	0	31.2424	89.4114	17.6072	18.8771	83.0953	85.4443	7.80811
 91.4	270.629	768.741	504.747	243.459	236.933	133.628	155.107	41.9019	39.0753	0	45.7096	30.9154	38.0954	30.2119	67.5538	116.668
 94.7	397.145	1129.47	434.798	394.012	275.764	168.315	80.9255	58.8223	48.7633	62.6277	14.0841	31.4237	17.4819	17.2057	0	27.6218
 98.2	563.909	826.606	415.543	484.811	275.646	103.308	101.968	125.677	25.6474	41.5521	56.8993	15.5622	9.07324	28.0231	5.43133	30.288
101.8	242.177	708.283	573.153	354.572	221.523	175.914	129.137	3.95442	8.28586	58.2353	54.74	62.7091	0	26.1352	53.5523	34.5547
105.5	401.806	775.516	597.759	298.14	311.057	178.185	96.656	121.157	26.4823	30.0878	110.716	41.5262	78.8251	81.7104	61.9784	40.8061
109.4	837.619	1293.24	532.17	477.322	286.324	109.709	133.647	102.476	33.4118	50.1177	16.7059	26.2622	50.1177	100.235	83.5296	59.674
