Sample File,D:\OlinCollege\All_data\OlinCollege\Austin Air PREFILTER\Low1.S80,,,,,,,,,,,,,,,,,,,,,
Classifier Model,3080,,,,,,,,,,,,,,,,,,,,,
DMA Model,3085,,,,,,,,,,,,,,,,,,,,,
DMA Inner Radius(cm),0.00937,,,,,,,,,,,,,,,,,,,,,
DMA Outer Radius(cm),0.01905,,,,,,,,,,,,,,,,,,,,,
DMA Characteristic Length(cm),0.04987,,,,,,,,,,,,,,,,,,,,,
CPC Model,3775 Low Flow,,,,,,,,,,,,,,,,,,,,,
Gas Viscosity (kg/(m*s)),1.82E-05,,,,,,,,,,,,,,,,,,,,,
Mean Free Path (m),6.64E-08,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Aggregate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,TRUE,,,,,,,,,,,,,,,,,,,,,
Gas Density,0.0012,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Date,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017,3/17/2017
Start Time,16:31:00,16:36:04,16:41:04,16:46:04,16:51:04,16:56:04,17:01:04,17:06:04,17:11:04,17:16:04,17:21:04,17:26:04,17:31:04,17:36:04,17:41:04,17:46:04,17:51:04,17:56:04,18:01:04,18:06:04,18:11:04,18:16:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,
14.6,3386.15,5619.87,601554,954396,945259,838016,682442,546004,335237,228231,141135,91595.1,62383.9,40803,26410.7,19802.4,15639.4,8261.45,6146.21,3535.06,3301.48,2015.49
15.1,4990.35,12781.8,552643,797337,852774,764380,631969,505841,341843,219457,140063,98394.6,68610.9,43010.6,32750.1,17187.3,12573.1,11503.6,7543.94,5474.28,2890.08,2691.21
15.7,4084.36,21795.2,460243,686652,779263,717914,628557,495900,345175,220440,138405,97554.3,66687.3,45089.8,27850.3,22670.4,13089.3,9924.91,6575.45,5144.81,3573.82,3059.1
16.3,5336.55,33040.3,402247,599205,660183,646560,596134,474435,324282,219129,146184,95216.3,67211.1,43949.3,29853.2,21090.4,15698.8,10101.1,7288.42,6305.77,3913.91,2254.15
16.8,3608.28,45801.1,357449,508221,593628,609741,529444,447235,306106,200749,142424,96364.1,66213.4,45231.5,33049.1,21898.3,14100.8,10355.7,7407.58,5644.57,3828.85,2755.57
17.5,4289.81,68584,306611,429302,519221,540431,513722,421455,295337,189975,131710,91078.6,66263.8,43479,30239.9,24682.5,15234,11926.9,7475.5,4741.86,4084.05,3233.44
18.1,5765.06,65849.6,260464,348649,430424,472585,467548,391682,278833,188864,132988,92072.4,63023.6,44806.1,30546.6,20465.5,14177.3,10913.6,7453.76,6709.89,3554.59,2179.2
18.8,5611.58,72393,226277,291619,361268,411798,422638,367926,255378,175704,125175,89872.9,58923.3,41968,30582.8,19558.3,13841.4,10652.4,7391.69,7035.73,3811.28,2715.01
19.5,5741.07,69201.2,203765,247144,310282,359594,383621,340972,239452,162624,114109,86248.3,56124.5,42827.5,30646.8,20696.6,14669.2,12233.6,9792.1,6087.79,5065.75,3840.86
20.2,4930.5,56308.8,172647,216299,270546,303676,332012,310253,218928,155503,105731,74896.8,59261.4,40198.3,29284.6,21308.1,13939.5,10166.4,8750.09,5754.67,3900.08,4456.15
