Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017
Start Time,15:09:47,15:14:50,15:19:50,15:24:51,15:29:50,15:34:50,15:39:50,15:44:50,15:49:50,15:54:50,15:59:50,16:04:50,16:09:51,16:14:50,16:19:50,16:24:51,16:29:51,16:34:51,16:39:51,16:44:50,16:49:51,16:54:51,16:59:51,17:04:51
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
13.1,6361.31,18351.6,1.19E+06,2.37E+06,2.08E+06,1.54E+06,1.12E+06,786299,561174,353525,194674,119160,83939.2,52709.4,37931.8,19420.7,17319.3,10928.3,6138.85,5993.38,3469.81,1868.28,1675.51,1261.79
13.6,1812.59,25940.9,1.03E+06,2.12E+06,1.95E+06,1.51E+06,1.10E+06,789082,542497,363835,198718,127817,80806.1,55461.9,37455.5,22269.7,17835.7,11422.8,6859.72,7243.1,3179.9,2589.8,800.199,176.661
14.1,3359.37,10350.7,776738,1.92E+06,1.83E+06,1.49E+06,1.11E+06,784275,524809,339898,198752,135719,90012.3,53181.6,41253.1,23856.9,16604.7,12708.1,7258.7,5174.08,3707.09,1873.98,788.808,962.668
14.6,744.573,6036.18,575966,1.75E+06,1.75E+06,1.45E+06,1.07E+06,794004,548813,355524,218148,137730,97899.9,61031.7,43684.9,25000.9,18421.5,13845.8,7117.47,6185.1,3551.97,1734.57,1301.35,1348.69
15.1,1931.22,2686.71,480763,1.51E+06,1.64E+06,1.38E+06,1.07E+06,817924,566937,369793,232939,150160,93993.9,63584.6,40956.9,28450.8,17159.6,13675.7,7543.12,6748.82,3889.37,3033.01,1962.65,1238.6
15.7,2165.64,3318.54,451025,1.27E+06,1.51E+06,1.34E+06,1.10E+06,811206,594802,366509,228674,151445,98722.8,71745,42845.6,27771.8,21619.8,14172,9282.46,6478.63,5105.45,2997.37,1659.27,1276.36
16.3,1542.83,3438.06,405191,1.05E+06,1.38E+06,1.30E+06,1.07E+06,804209,602074,365809,251125,159226,97051.7,75071.9,46754.3,33947.6,22354.5,14097.7,9692.09,4953.19,5336.55,2848.55,2609.82,1541.2
16.8,2946.58,9880.12,342824,891412,1.22E+06,1.22E+06,1.04E+06,802291,600487,360787,244886,165908,105119,70646,51468,34742.3,24425.4,14238.7,10826.4,7426.19,4321.17,4429.93,2174.6,1293.85
17.5,1570.78,49661.3,301417,743459,1.08E+06,1.15E+06,1.01E+06,817305,614866,393681,261474,172387,111727,81800.9,52185.7,32145.4,27673.7,15551.7,11796.5,8631.14,4536.1,3933.42,2232.2,2437.96
18.1,2412.64,87059.4,278709,594066,961396,1.04E+06,962228,809029,621340,408023,260639,182120,112357,83669.8,56659.2,39488,29645.2,16764.8,11520.2,8555.85,6345.39,3716.92,3246.34,1506.45
