Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017,3/28/2017
Start Time,9:42:00,9:47:04,9:52:04,9:57:04,10:02:04,10:07:04,10:12:04,10:17:04,10:22:04,10:27:04,10:32:04,10:37:04,10:42:04,10:47:04,10:52:04,10:57:04,11:02:04,11:07:04,11:12:04,11:17:04,11:22:04,11:27:04,11:32:04,11:37:04,11:42:04
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,,
13.1,9030.35,8662.42,9917.19,10146.7,8105.28,8970.96,8574.84,8662.42,7668.89,8066.52,6659.26,17731.5,15688.1,18253.5,13937.1,14059.9,12293.8,14976.4,10129.1,10302.7,9175.81,7400.63,6669.84,8692.12,8346.86
13.6,7036.38,8472.66,8896.55,8149.4,8391.15,8143.92,9578.6,8956.66,6653,8096.35,6805.08,14083.2,15533.6,14272.4,9624.58,14809.5,11064.1,10278.2,11882.3,10110.2,9986.57,11629.6,7490.33,9055.69,7543.38
14.1,8230.57,8200.29,8047.51,9489.6,7261.39,9385.49,6862.32,7756.52,6895.28,6277.64,7033.49,16742.9,13691.8,12876.6,11679.5,10174.3,9022.06,8907.47,9658.09,8725.7,8239.76,8554.52,6136.75,6913.67,7279.78
14.6,6444.04,8537.3,6819.64,6070,6240.89,7674.24,7345.98,6679.18,8209.04,7235.95,7972.07,12823.6,14081,11742.3,10512.1,10205.8,8843.58,9447.69,9061.81,6960.1,7290.19,7972.07,7015.89,5440.52,6702.98
15.1,6163.21,7539.44,7334.44,7166.19,8226.74,6407.02,7197.63,5403.22,7100.44,4684.48,8542.42,13496,11805.7,10912.6,8746.6,7441.44,8023.37,7823.68,9056.97,6992.63,8196.93,6615.7,6401.71,5994.15,5724.22
15.7,3771.63,5976.53,5844.72,6474.46,7209.36,5994.73,4854.45,4537.45,6602.1,4889.54,8133.73,12164.9,11082,9255.82,9616.35,8516.64,7244.45,6038.36,6509.55,5999,6351,5871.37,5074.63,4696,4502.45
16.3,5628.66,7845.34,5951.74,5779.81,4745.41,5099.45,4795.53,5745.59,6375.84,4888.01,5661.26,12054.6,9631.8,7882.82,7543.05,8860.58,7437.93,8376.19,6575.47,7403.71,6018.55,5151.19,5071.74,5120.23,5714.63
16.8,5261.02,4933.2,4790.33,6665.15,4819.88,6276.72,5073.03,5012.42,5779.85,6029.97,6304.75,8676.76,10851.4,9272.97,8153.05,6997.51,7570.57,6283.11,6556.38,6638.63,4928.65,5153.76,6140.25,4740.66,4518.58
17.5,4422.22,5054.11,5375.71,4890.53,3863.68,4842.78,3189.3,4317.38,4684.77,5009.98,5682.4,9477.99,6786.52,8188.44,8017.47,7389.19,6516.44,6275.73,5390.32,6652.46,5524.38,4569.24,4789.61,4923.67,4468.01
18.1,3304.91,6655.01,4736.55,5594.15,4691.64,4066.39,3950.36,3813.02,4729.18,3706.95,6205.74,8146.43,6888.46,7159.16,7135.55,5758.78,4931.36,5872.51,4762.75,5906.08,4571.92,4513.07,4211.1,4156.22,4197.45
18.8,4447.34,4897.41,4366.65,4776.02,4019.3,4810.78,3885.2,3817.23,4460.05,4208.67,6729.09,9081.47,6879.59,6824.33,5775.52,6710.43,6476.98,6067.61,5589.54,4832.82,3218.5,3345.11,4221.38,3591.27,3727.22
19.5,3365.83,4105.71,3249.13,4061.82,3293.02,4390.42,3704.31,3345.97,2215.47,4000.63,5825.48,7229.08,7408.61,5991.77,5191.5,5909.9,5983.52,5046.71,5709.61,3461.03,3819.37,4516.18,3493.31,2480.33,3534.66
20.2,3376.78,4425.84,4039.96,4962.04,4298.85,3424.5,4028.29,4264.86,3720.45,3552.72,6358.46,5772.08,7023.71,6736.14,5723.13,5645.1,4342.89,6073.78,5296.5,3882.66,3881.44,3583.03,3613.34,4485.23,2503.65
20.9,3252.87,3876.99,4153.05,3919.25,4274.84,3967.65,3117.74,3946.45,2375.51,3745.47,5850.26,7863.47,6665.44,5325.06,5411.79,3941.4,5316.47,5188.28,3966.3,4268.95,3925.46,3443.41,3253.64,3159.75,2998.42
21.7,2786.04,3729.06,4263.39,3303.13,3295.73,3933.13,2920.42,2978.74,4736.22,2966.89,6278.01,6961.78,5165.24,5561.15,5521.28,4249.47,3838.99,3692.77,3716.83,4072.84,3837.25,3090.03,3142.46,4079.47,3374.09
22.5,2795.57,3591.53,3956.53,3525.33,3101.34,2997.4,2626.63,2179.23,2545.98,2454.64,5688.99,6865.62,5974.16,5014.55,4013.96,5012.97,3372.48,4298.44,3509.88,3838.91,3443.11,3063.33,2780.74,2878.54,2972.27
23.3,2650.61,3567.25,3779.17,3026.04,3106.75,2898.11,2484.81,3493.76,1890.86,2293.62,5459.28,5966.48,4630.81,4667.11,4485.63,4426.78,4269.15,3264.75,3697.23,3853.33,2877.28,2890.1,3089.32,3499.9,2681.96
24.1,2938.06,2761.94,2494.55,3065.38,3179.48,3824.3,3132.66,2991.15,2314.06,3664.91,5548.64,5797.09,5060.17,4181.3,4858.62,4331.21,3590.17,3922.81,2963.92,2979.38,3092.77,2809.96,2681.02,2277.38,3238.18
25,2126.49,3271.51,2485.68,2948.2,3182.93,2800.65,2182.97,2965.69,2608.48,2644.44,5328.95,4629.84,4555.18,3010.42,3452.63,3955.67,3780.48,3559.55,2701.14,3727.21,3759.99,2528.19,2431.21,2374.84,2127.41
25.9,2680.63,2884.04,2247.41,2121.33,2126.02,2149.74,2307.52,2766.45,2190.25,2679.92,4448.84,4782.11,4413.83,4259.05,4123.33,3703.36,3342.93,2395.17,2657.07,3428.68,2396.5,2716.53,2510.22,1882.72,1902.1
26.9,1837.39,2590.25,2340.13,3147.31,2454.16,2168.83,2204.66,1545.61,1820.6,2019.52,4742.83,4928.53,4281.21,3399.15,3666.49,2924.55,3422.35,3178.62,2712.1,2312.97,2568.62,2615.79,2431.82,1871.24,1914.73
