Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\Low 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	11:40:53	11:45:57	11:50:57	11:55:57	12:00:57	12:05:57	12:10:57	12:15:57	12:20:57	12:25:57	12:30:57	12:35:57	12:40:57	12:45:57	12:50:57	12:55:57	13:00:57	13:05:57	13:10:57	13:15:57	13:20:57	13:25:57	13:30:57	13:35:57	13:40:57
Diameter Midpoint
 14.6	6701.16	4130.72	7173.26	6623.39	7134.38	7462.64	6083.52	6176.64	7147.9	6741.87	20961.5	15318.1	11689.9	11634.1	11750.7	12376.8	10661	10371.6	9193.82	10222.7	7665.79	8882.47	8742.01	10153.4	9696.36
 15.1	4270.8	3547.57	4541.55	6264.9	5127.98	6264.08	7401	6748.82	7227.44	6576.08	16315.9	11882.1	10846.9	12534.3	10300.1	12319.5	9017.35	10886.5	7951.49	9914.15	6335.96	8746.6	8813.17	6754.14	6335.14
 15.7	5241.63	5968.09	6324.35	4607.62	4444.9	4889.54	5550.09	6060.64	6095.73	5941.44	15487.6	11333.1	11843.6	10126.9	9383.55	8300.63	8727.07	9533.56	7534.81	7442.26	9704.63	6355.27	7116.82	8142.18	5646.91
 16.3	5323.12	3288.55	5862.51	5444.93	5829.92	6309.03	4269.57	3676.8	5302.33	4678.6	14541	10461.7	9867.27	10156.1	10661.3	7054.57	10035.9	7795.23	9065.1	8319.55	6575.47	7608.23	8625.1	7254.2	6132.21
 16.8	3308.5	3056.87	6447.61	6385.48	4271.5	5590.35	5152.25	5152.25	3499.51	3498	13723.3	10711.5	8808.68	8538.45	8620.7	8897.33	9833.81	7275.66	8291.36	7660.73	5784.4	6337.33	6143.28	7489.83	6888.75
 17.5	4262.25	4804.22	4978.8	5592.47	5465.64	5921.3	5230.66	4231.07	4128.19	5304.01	9814.2	10253.3	9413.67	9682.1	8298.55	8096.4	7108.12	5805.46	7989.91	7447.94	7021.81	7095.16	6788.48	6165.62	8021.09
 18.1	4475.81	3524.7	4858.86	3816.71	4752.79	3336.17	3510.77	3665.72	3599.5	4393.35	9355.98	9021.36	9195.03	8336.06	6164.51	6149.49	6623.75	6504.03	5800.01	6194.4	5333.12	6033.45	5439.19	4819.01	5350.74
 18.8	2048.3	2759.09	4645.3	4276.64	4360.7	4524.64	3187.13	3600.6	2920.46	3240.54	9366.79	7609.85	7979.97	7623.29	6549.06	6353.75	7790.61	6675.67	5384.09	7039.11	5788.23	5766.19	5150.64	4636.7	4199.34
 19.5	2332.17	3124.19	4958.93	3989.02	3799.51	4126.38	3313.69	3960.1	3461.85	3746.56	7587.42	8113.77	7786.89	6226.89	6267.42	5487	5351.27	6964.23	7004.75	5299.96	4579.92	4873.7	4714.75	3872.32	6091.16
 20.2	2504.88	2553.83	3737.87	3737.87	3107.45	4107.56	2553.83	3415.29	4058.61	2506.11	8386.54	7021.65	5782.52	7148.64	5626.45	6812.94	5135.52	4926.82	4989.89	4886.06	5721.9	3408.31	5042.53	4087.69	4599.32
 20.9	2261.63	2409.53	3218.42	3116.41	2853.7	2078.76	3415.08	4111.37	2805.28	2297.69	6999.97	6453.08	7379.04	7099.69	6204.43	6461.34	6191.16	4448.34	4776.88	4418.08	4485.26	4970.83	4784.39	2994.34	3821.27
 21.7	1922.89	2333.85	3237.78	3763.78	3735.02	2993.42	3695.12	3454.44	3289.25	2354.4	8591.79	6320.9	6670.49	6023.85	4865.49	4312.87	5471.17	4889.98	4802.76	5690.07	4117.7	3898.12	5117.46	3666.25	3742.6
 22.5	1873.37	2524.96	2529.35	2677	2832.38	3373.78	2714.85	2679.97	3205.86	2124.59	6839.83	6288.48	6522.97	4398.18	5552.75	4161.58	3536.53	4487.54	4055.84	3685.4	4065.17	3364.46	4170.02	4275.06	4007.76
 23.3	1977	2083.2	2459.47	3026.47	2919.11	2475.69	2802.39	2949.1	2574.17	1924.22	6391.8	5396.83	5170.11	5623.41	3509.19	4212.2	3158.07	4190.8	3144.23	4795.24	3072.65	4269.6	4259.51	2970.28	3114.28
 24.1	1732.13	2229.09	2998.82	2457.79	3219.02	1868.68	2754.19	2301.45	2029.2	2457.98	6021.4	5899.23	4602.24	4763.73	4483.43	5038.92	4731.71	4392.86	2557.65	4470.34	4102.69	3525.9	3031.91	2657.21	3002.52
 25.0	1812.49	2323.76	2298.57	2627.3	2923.64	2246.83	2347.96	2577.68	1882.9	2645.3	6428.24	6129.93	4360.56	4005.51	4240.01	3634.15	2894.17	3480.67	4191.79	3605.63	3146.2	2780.59	3080.16	2964.85	3101.12
 25.9	2123.7	2347.88	2670.77	2317.46	2399.89	2130.97	2286.91	2545.87	2756.83	2033.71	5172.4	4352.83	4858.68	4224.9	4155.46	4360.99	4783.29	3473.03	2657.73	3542.19	3853.09	2837.71	3504.09	2781.79	2958.25
 26.9	1703.31	1675.5	2442.3	2131.11	2454.16	1927.41	1311.39	1965.11	2609.72	1747.56	5321.1	3915.89	5265.71	4297.64	3939.29	4344.93	3188.84	3533.16	2608.16	3334	2744.51	3011.22	3503.7	2525.81	3298.57
 27.9	1435.77	2322.11	1953.88	1738.35	2000.78	2229.65	1858.96	1979.31	2276.81	1457.81	4351.77	4651.7	3842.1	3775.49	3671.23	3874.79	2874.83	3323.58	2732.09	2665.53	2535.8	2850.78	2473.08	2132.08	2724.64
 28.9	1435.07	1690.62	2027.48	2081.6	2318.62	1674.58	1960.12	1554.17	1990.46	1669.2	4844.99	3739.04	3300.84	3640.58	3055.86	2677.81	2378.23	3169.73	3616.09	3552.23	1990.84	2412.31	2765.86	2119.01	2392.74
 30.0	1270.36	1356.54	2522.3	2123.87	1665.44	1438.72	1729.24	2180.47	2169.5	1613.8	5132.44	3798.46	3961.51	3226.2	3131.54	2580.68	3035.89	2832.87	2831.77	2556.62	2344.03	2330.7	2002	2387.29	1927.63
 31.1	1226.74	1908.87	1953.75	1728.25	1603.45	1615.96	2144.28	1567.88	1669.4	1570.94	4239.4	3316.98	3391.6	2813.53	2501.7	3057.04	2836.08	3043.85	2126.16	2757.16	2527.52	2125.3	2537.31	1990.51	1599.39
 32.2	1234.42	1616.54	1777.67	1840.77	1885.74	2019.4	2056.11	1671.2	1299.89	1346.73	4752.77	3778.87	2799.12	2833.69	3382.25	2138.64	2596.36	2480.94	2223.76	2183.99	1841.84	2551.61	2058.69	2352.37	2035.02
 33.4	989.882	1534.88	1743.74	1294.28	1668.2	1650.77	1614.94	1315.04	1419.56	1310.1	3628.02	3216.34	3303.17	2773.96	2828.63	2252.58	2518.48	2144.54	2490.46	2543.13	3314.67	1713.31	2234.82	2526.68	1601.67
 34.6	736.14	1280.57	1677.4	1694.16	1604.2	1480.47	1302.96	1458.38	2089.24	1509.01	4672.75	2581.1	2717.69	2770.91	2324.19	2620.33	2411.5	2340.65	2306.5	2457.07	1904.49	2075.11	2130.65	2575.23	1589.6
