Sample File	D:\OlinCollege\All_data\OlinCollege\Sham!\High 2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Date	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17	03/29/17
Start Time	13:50:22	13:55:26	14:00:26	14:05:26	14:10:26	14:15:26	14:20:26	14:25:26	14:30:26	14:35:26	14:40:26	14:45:26	14:50:26	14:55:26	15:00:26	15:05:26	15:10:26	15:15:26	15:20:26	15:25:26	15:30:26	15:35:26	15:40:26	15:45:26	15:50:26
Diameter Midpoint
 14.6	7056.61	9053.36	8082.1	8325.69	7384.87	9083.79	8019.41	7197.07	7972.07	5190.03	9775.96	11500.2	8758.92	10475	9022.93	8418.82	8686.21	7445.73	6741.87	7533.78	7266.38	6044.64	5542.1	6623.39	5032.67
 15.1	5550.66	7680.75	7681.56	6992.63	6819.89	6814.57	5887.15	6096.65	5168.41	7676.25	10673.3	9842.27	9914.15	7550.06	7161.69	7920.87	9404.09	7915.56	4862.54	7237.25	5265.6	7024.07	6438.46	6335.96	6508.7
 15.7	6857.37	6417	7851.82	5198.1	5994.73	5945.71	5364.99	6583.9	5809.64	4924.62	7851.82	9972.61	7847.55	7689.09	6804.08	6958.36	7275.37	7151.9	5673.56	4912.01	6834.9	6421.17	4885.27	5329.91	5334.18
 16.3	6609.69	6778.35	5391.56	6489.5	4154.27	7577.27	4914.08	4970.71	5982.7	4615.05	7640.82	9058.18	9252.09	8150.89	7614.75	7168.24	5389.93	5152.82	5219.63	4204.39	4678.6	6424.32	4594.27	5541.07	4647.64
 16.8	6635.6	6337.33	5591.87	5622.93	4296.5	4461	4631.9	5070	5674.12	3717.05	7440.16	8808.68	7075.22	7246.11	5941.32	5313.72	6505.2	5483.1	3717.05	5313.72	4931.68	3637.83	6003.45	4600.83	3746.6
 17.5	5667.79	5449.07	5112.86	3644.96	4909.06	5140.43	4365.13	6878.4	4479.01	4554.32	9858.33	7282.7	7063.98	7479.12	6635.89	6035.17	5232.31	6744.34	4539.71	3580.64	5259.88	5114.82	3994.13	3878.29	4497.54
 18.1	4691.64	4495.74	5168.49	4976.27	4968.62	4035.13	3428.59	4838.94	4911.43	5189.79	6719.85	8312.45	5780.08	6119.6	4485.77	4060.12	6098.29	5778.7	6108.26	4324.83	5501.73	5120.98	4787.74	3822.99	4169.87
 18.8	5033.36	5496.14	4550.06	4752.14	4351.37	4171.34	4875.37	3515.81	4313.24	2836.4	7566.49	7452.59	6144.91	6091.49	5213.39	5549.56	5284.74	5183.55	4509.36	5222.72	4267.31	4950.83	3389.2	4032.02	2939.12
 19.5	5497.7	4548.46	5455.54	3778.84	5318.99	3598.4	4262.93	3860.71	3945.94	3281.41	7080.93	6070.49	4113.96	4810.77	4926.65	5624.37	4718.11	4980.51	4664.34	4303.46	5054.14	3493.31	4390.42	2850.27	4611.39
 20.2	4267.31	3395.42	4010.88	3426.96	2950.15	4010.88	3585.48	4039.96	3106.22	2899.97	6487.91	4603.01	6655.65	5008.53	5041.3	4244.99	3651.85	3961.93	4454.92	3168.07	3140.21	2743.9	3108.68	3028.18	3057.27
 20.9	4821.03	4717.15	4140.61	3105.8	5004.42	2211.04	3328.82	3801.25	3043.98	2935.7	6671.08	6240.88	4548.54	4707.64	4596.97	3896.51	3551.06	3629.71	3602.61	3444.12	3891.76	3403.19	2925.62	2968.38	2852.37
 21.7	4184.86	3746.95	3558.43	3275.2	3366.22	3056	2592.74	3260.82	3703.51	3729.19	5028.96	4867.45	5414.36	5432.88	4672.77	3096.58	5035.03	3900.12	3934.42	2961.79	2748.18	3223.93	2272.91	2359.6	2686.04
 22.5	4083.01	3961.71	3789.66	3421.69	2480.36	3236.43	2898.72	2734.83	3130.51	2563.74	5640.63	3697.74	4014.85	5066.33	4029	3430.9	2592.46	3083.34	3245.9	3451.2	2918.92	3321.01	2853.55	3066.84	2510.66
 23.3	3731.81	3124.39	3569.61	3126.18	2933.83	3230.4	2918.2	2335.14	2507.34	2544.64	4135.04	5425.84	4595.37	3474.75	3411.15	2895.03	3441.69	3714.17	3016.52	2355.43	3095.38	3507.75	2590.72	2470.21	2796.62
 24.1	4347.8	3268.94	3457.34	2512.65	2229.8	2398.11	2727.47	2607.72	2198.65	2183.44	4631.72	4203.27	3929.54	3222.81	3763.31	2916.52	3478.41	2354.83	2759.42	2671.25	2789.79	3175.45	2256.46	2286.44	2139.85
 25.0	2854.41	2806.36	3458.31	2957.85	3152.2	2479.83	2147	2429.98	2456.33	1917.46	4407.79	4101.13	4139.62	3176.53	3192.95	2807.43	3320.71	2454.95	2399.25	2412.79	2372.35	2684.83	1899.52	2191.99	2352.79
 25.9	2791.62	3073.31	2958.04	2818.21	2384.86	2273.29	2781.86	2645.29	2308.7	2696.53	4682.39	4233	3608.08	3638.49	3373.43	2807.91	2969	2232.21	2474.57	2318.82	1467.28	2018.38	2318.46	1849.4	2362.63
 26.9	3215.36	2285.38	2901.72	2741.64	1528.13	2857.74	1892.41	2006.62	1919.4	2285.26	4105.43	2914.74	3280.21	3033.63	2350.61	2644.43	2550.58	2582.39	2564.56	3047.59	2345.16	3283.72	2133.11	2162.5	2049.81
 27.9	2587.18	2357.06	3239.02	2062.55	1929.53	2633.83	2012.34	2138.61	1546.92	2447.73	3677.76	3622.01	3197.64	3600.29	1748.45	2101.79	2720.06	1878.11	2150.94	2007.25	2525.13	2376.82	1367.93	1411.16	1918.43
 28.9	2751.86	2387.91	1919.79	1976.36	1883.64	2760.41	1919.81	2646.3	1853.23	1665.82	3161.83	3178.97	2733.53	2747.77	2346.37	2475.75	2548.24	2260.32	1866.12	1809.52	2180.17	1647.6	2001.22	2272.36	1455.3
 30.0	2476.28	2219.04	2534.06	1809.42	2355.49	1938.43	1849.35	1469.83	1791.59	1780.03	3363.19	2852.15	3106.33	2432.4	3194.8	2552.98	2716.28	2403.9	2063.33	2097.74	1882.89	1860.93	1774.28	1786.32	1853.21
 31.1	2238.23	1753.07	1925.38	2104.93	2753.42	2160.48	1810.53	1945.39	1586.94	1930.83	3123.42	2961.47	2452.66	2767.37	1892.65	2454.48	2236.41	1990.39	2280.48	2151.02	1847.11	1860.92	1281.05	1727.37	1313.86
 32.2	2462.52	2022.22	1787.64	2064.83	1768.34	1766.83	2006.43	1869.08	1855.08	1769.54	2486.96	3301.85	2593.41	2870.87	2214.99	1674.75	2084.64	2165.75	1800.6	1350.51	1664.23	1840.58	1665.25	1154.75	1456.76
 33.4	2124.64	1866.34	1730.39	1371.52	1717.17	1643.96	1652.33	1662.75	1654.05	1746.49	2979.47	2175.37	2085.49	2656.21	1891.57	1702.58	1931.96	2313.27	2245.87	1468.28	2132.07	1734	1009.79	1579.25	1578.37
 34.6	2218.43	1885.42	1822.78	1862.57	1678.98	1684.73	1608.54	2064.15	1224.12	1508.74	3155.33	2888.77	2517.11	2458.77	2083.74	1948.2	1661.41	2008.18	2027.15	1926.69	1434.77	1301.23	1578.35	1833.08	1243.27
 35.9	1979.22	1967.98	1837.42	1630.4	1105.84	1358.11	1731.97	1506.02	1337.03	1071.46	2337.26	2244.82	1989.53	1787.34	2061.84	1952	1999.97	1804.25	1470.68	1875.99	1613.12	1458.34	1437.49	1169.85	1097.07
 37.2	1712.76	2266.42	1826.03	1933.47	1536.44	1374.53	1302.68	1264.16	1659.84	1344.72	2815.5	2256.99	1936.9	1611.01	2081.93	1899.76	1806.89	1702.94	1694.46	1618.46	1498.34	1427.28	881.427	1428.88	1149.52
 38.5	1154.83	1444.72	1665.56	1358.8	1392.61	1349.67	1095.3	1311	1154.69	764.811	2313.88	1803.79	1775.32	1801.43	1566.09	1514.86	1283.64	1518.93	1518.27	1345.37	1163.42	1534.99	1087.55	1547.95	1347.44
